vertex_1,vertex_2,is_treated
0,63,1
27,63,1
29,63,1
67,63,1
0,81,1
23,81,1
27,81,1
84,81,1
0,94,1
17,94,1
86,94,1
1,38,0
7,38,0
14,38,0
1,39,0
10,39,0
19,39,0
41,39,0
2,54,1
74,54,1
76,54,1
85,54,1
3,25,0
16,25,0
34,25,0
37,25,0
49,25,0
3,34,0
25,34,0
45,34,0
4,67,1
24,67,1
63,67,1
5,37,0
25,37,0
43,37,0
53,37,0
55,37,0
59,37,0
5,53,1
37,53,1
5,75,1
12,75,1
6,16,0
25,16,0
49,16,0
6,43,0
28,43,0
36,43,0
37,43,0
48,43,0
6,65,1
8,12,0
51,12,0
58,12,0
60,12,0
61,12,0
75,12,0
9,40,0
51,40,0
9,42,0
57,42,0
79,42,0
9,56,1
9,58,1
12,58,1
48,58,1
10,26,0
11,13,0
11,49,0
16,49,0
25,49,0
12,8,0
12,51,1
40,51,1
12,60,1
19,60,1
48,60,1
12,61,1
13,11,0
49,11,0
14,30,0
14,70,1
28,70,1
15,79,1
21,79,1
24,79,1
31,79,1
33,79,1
42,79,1
89,79,1
15,82,1
22,82,1
64,82,1
16,6,0
43,6,0
65,6,0
18,41,0
39,41,0
47,41,0
57,41,0
18,44,0
19,73,1
20,28,0
43,28,0
70,28,0
25,3,0
34,3,0
26,10,0
39,10,0
27,95,1
35,95,1
85,95,1
28,20,0
30,14,0
38,14,0
70,14,0
31,77,1
35,77,1
46,77,1
74,77,1
31,86,1
94,86,1
31,96,1
64,96,1
76,96,1
32,92,1
66,92,1
34,45,0
37,5,0
53,5,0
75,5,0
37,55,1
37,59,1
38,1,0
39,1,0
38,7,0
39,19,0
60,19,0
73,19,0
40,9,0
42,9,0
56,9,0
58,9,0
41,18,0
44,18,0
41,47,0
41,57,1
42,57,1
43,36,0
43,48,0
58,48,0
60,48,0
50,83,1
71,83,1
93,83,1
50,88,1
50,90,1
52,74,1
54,74,1
77,74,1
52,87,1
71,87,1
97,87,1
52,98,1
54,2,0
54,76,1
96,76,1
54,85,1
95,85,1
62,89,1
69,89,1
79,89,1
63,0,0
81,0,0
94,0,0
63,27,0
81,27,0
95,27,0
63,29,0
64,99,1
71,99,1
80,99,1
91,99,1
66,68,1
72,68,1
78,68,1
67,4,0
67,24,0
79,24,0
68,66,1
92,66,1
68,72,1
93,72,1
68,78,1
72,93,1
83,93,1
74,52,1
87,52,1
98,52,1
77,31,0
79,31,0
86,31,0
96,31,0
77,35,0
95,35,0
77,46,0
79,15,0
82,15,0
79,21,0
79,33,0
81,23,0
81,84,1
82,22,0
82,64,1
96,64,1
99,64,1
83,50,1
88,50,1
90,50,1
83,71,1
87,71,1
99,71,1
87,97,1
89,62,1
89,69,1
92,32,0
94,17,0
99,80,1
99,91,1
