vertex_1,vertex_2,is_treated
0,16,0
0,27,0
9,27,0
29,27,0
55,27,0
59,27,0
97,27,0
0,28,0
46,28,0
51,28,0
58,28,0
0,58,1
28,58,1
39,58,1
43,58,1
47,58,1
1,36,0
14,36,0
1,39,0
32,39,0
58,39,0
1,42,0
9,42,0
30,42,0
1,48,0
33,48,0
2,34,0
2,57,1
4,57,1
3,82,1
37,82,1
74,82,1
4,30,0
17,30,0
42,30,0
59,30,0
5,7,0
5,61,1
26,61,1
6,50,1
10,50,1
47,50,1
94,50,1
6,83,1
96,83,1
7,5,0
61,5,0
8,9,0
27,9,0
42,9,0
8,43,0
58,43,0
9,8,0
43,8,0
11,65,1
15,65,1
69,65,1
11,94,1
50,94,1
12,60,1
26,60,1
38,60,1
47,60,1
97,60,1
12,91,1
22,91,1
80,91,1
12,95,1
67,95,1
90,95,1
13,64,1
76,64,1
13,71,1
21,71,1
75,71,1
16,0,0
27,0,0
28,0,0
58,0,0
17,18,0
31,18,0
44,18,0
17,25,0
33,25,0
74,25,0
18,17,0
25,17,0
30,17,0
18,31,0
77,31,0
18,44,0
32,44,0
19,88,1
24,88,1
35,88,1
41,88,1
49,88,1
92,88,1
20,54,1
21,54,1
45,54,1
66,54,1
22,76,1
64,76,1
23,69,1
65,69,1
23,97,1
27,97,1
40,97,1
60,97,1
25,33,0
47,33,0
48,33,0
25,74,1
82,74,1
26,29,0
27,29,0
26,59,1
27,59,1
30,59,1
46,59,1
27,55,1
28,46,0
51,46,0
59,46,0
62,46,0
87,46,0
28,51,1
46,51,1
29,26,0
59,26,0
60,26,0
61,26,0
30,4,0
57,4,0
31,77,1
99,77,1
33,47,0
50,47,0
58,47,0
60,47,0
34,2,0
57,2,0
36,1,0
39,1,0
42,1,0
48,1,0
36,14,0
37,56,1
72,56,1
39,32,0
44,32,0
46,62,1
46,87,1
49,87,1
53,87,1
50,6,0
83,6,0
50,10,0
52,68,1
52,98,1
89,98,1
53,70,1
53,89,1
84,89,1
98,89,1
53,93,1
54,20,0
54,21,0
71,21,0
54,45,0
54,66,1
56,37,0
82,37,0
56,72,1
60,12,0
91,12,0
95,12,0
60,38,0
63,67,1
81,67,1
95,67,1
64,13,0
71,13,0
65,11,0
94,11,0
65,15,0
67,63,1
67,81,1
68,52,1
98,52,1
69,23,0
97,23,0
70,53,1
87,53,1
89,53,1
93,53,1
71,75,1
73,79,1
73,84,1
89,84,1
76,22,0
91,22,0
77,99,1
78,99,1
85,99,1
86,99,1
79,73,1
84,73,1
82,3,0
83,96,1
87,49,0
88,49,0
88,19,0
88,24,0
88,35,0
88,41,0
88,92,1
91,80,1
95,90,1
97,40,0
99,78,1
99,85,1
99,86,1
