vertex_1,vertex_2,is_treated
0,39,0
40,39,0
48,39,0
0,60,1
43,60,1
48,60,1
0,64,1
3,64,1
1,98,1
24,98,1
42,98,1
82,98,1
2,17,0
5,17,0
6,17,0
21,17,0
33,17,0
43,17,0
2,20,0
22,20,0
31,20,0
2,23,0
27,23,0
3,9,0
14,9,0
3,66,1
6,66,1
45,66,1
4,56,1
65,56,1
86,56,1
5,14,0
9,14,0
63,14,0
5,18,0
5,19,0
28,19,0
6,76,1
30,76,1
45,76,1
7,33,0
17,33,0
8,26,0
43,26,0
8,27,0
23,27,0
9,3,0
64,3,0
66,3,0
10,89,1
71,89,1
11,13,0
68,13,0
11,40,0
39,40,0
55,40,0
79,40,0
11,45,0
59,45,0
66,45,0
76,45,0
79,45,0
12,74,1
29,74,1
36,74,1
38,74,1
46,74,1
58,74,1
91,74,1
92,74,1
95,74,1
12,75,1
28,75,1
34,75,1
65,75,1
13,11,0
40,11,0
45,11,0
13,68,1
14,5,0
17,5,0
18,5,0
19,5,0
14,63,1
30,63,1
15,37,0
54,37,0
15,73,1
15,79,1
40,79,1
45,79,1
16,57,1
80,57,1
86,57,1
17,2,0
20,2,0
23,2,0
17,6,0
66,6,0
76,6,0
17,21,0
61,21,0
17,43,0
26,43,0
60,43,0
19,28,0
69,28,0
75,28,0
78,28,0
20,22,0
78,22,0
20,31,0
21,61,1
22,78,1
28,78,1
24,72,1
29,72,1
88,72,1
24,97,1
70,97,1
25,67,1
35,67,1
71,67,1
26,8,0
27,8,0
28,69,1
29,70,1
97,70,1
29,80,1
57,80,1
30,47,0
41,47,0
32,85,1
44,85,1
49,85,1
86,85,1
33,7,0
34,52,1
62,52,1
34,90,1
93,90,1
35,62,1
52,62,1
35,81,1
71,81,1
37,15,0
73,15,0
79,15,0
37,54,1
39,0,0
60,0,0
64,0,0
39,48,0
60,48,0
40,55,1
42,50,1
87,50,1
44,93,1
90,93,1
45,59,1
47,30,0
63,30,0
76,30,0
47,41,0
50,42,0
98,42,0
50,87,1
94,87,1
51,71,1
67,71,1
81,71,1
89,71,1
51,95,1
74,95,1
96,95,1
52,34,0
75,34,0
90,34,0
53,77,1
99,77,1
53,84,1
56,4,0
56,65,1
75,65,1
56,86,1
57,86,1
85,86,1
57,16,0
58,83,1
62,35,0
67,35,0
81,35,0
67,25,0
70,29,0
72,29,0
74,29,0
80,29,0
71,51,1
95,51,1
72,24,0
97,24,0
98,24,0
72,88,1
99,88,1
74,12,0
75,12,0
74,36,0
74,38,0
74,46,0
74,58,1
83,58,1
74,91,1
94,91,1
74,92,1
99,92,1
77,53,1
84,53,1
77,99,1
88,99,1
92,99,1
85,32,0
85,44,0
93,44,0
85,49,0
87,94,1
91,94,1
89,10,0
95,96,1
98,1,0
98,82,1
