vertex_1,vertex_2,is_treated
0,90,1
40,90,1
71,90,1
1,11,0
7,11,0
23,11,0
1,45,0
2,75,1
31,75,1
40,75,1
68,75,1
87,75,1
3,25,0
4,25,0
3,32,0
27,32,0
54,32,0
59,32,0
71,32,0
4,33,0
8,33,0
50,33,0
4,47,0
15,47,0
24,47,0
30,47,0
41,47,0
4,49,0
27,49,0
5,7,0
11,7,0
39,7,0
46,7,0
5,61,1
37,61,1
56,61,1
58,61,1
99,61,1
5,65,1
6,23,0
11,23,0
42,23,0
43,23,0
6,43,0
20,43,0
23,43,0
28,43,0
6,60,1
7,5,0
61,5,0
65,5,0
7,39,0
18,39,0
7,46,0
20,46,0
8,20,0
16,20,0
43,20,0
46,20,0
53,20,0
9,27,0
32,27,0
49,27,0
10,78,1
44,78,1
72,78,1
94,78,1
10,93,1
80,93,1
11,1,0
45,1,0
12,71,1
26,71,1
32,71,1
90,71,1
12,79,1
73,79,1
12,85,1
76,85,1
12,97,1
56,97,1
58,97,1
13,69,1
77,69,1
13,70,1
35,70,1
48,70,1
84,70,1
13,89,1
62,89,1
14,26,0
71,26,0
15,51,1
15,64,1
17,76,1
21,76,1
34,76,1
41,76,1
85,76,1
18,52,1
30,52,1
41,52,1
18,55,1
18,59,1
32,59,1
19,87,1
22,87,1
36,87,1
40,87,1
75,87,1
20,8,0
33,8,0
20,16,0
20,53,1
22,67,1
82,67,1
22,73,1
37,73,1
79,73,1
98,73,1
22,81,1
83,81,1
22,96,1
58,96,1
66,96,1
23,6,0
43,6,0
60,6,0
23,42,0
25,3,0
32,3,0
25,4,0
33,4,0
47,4,0
49,4,0
26,14,0
27,9,0
28,29,0
38,29,0
29,28,0
43,28,0
29,38,0
32,54,1
33,50,1
36,88,1
92,88,1
39,18,0
52,18,0
55,18,0
59,18,0
41,57,1
47,15,0
51,15,0
64,15,0
47,24,0
47,30,0
52,30,0
47,41,0
52,41,0
57,41,0
76,41,0
56,91,1
74,91,1
58,83,1
81,83,1
58,86,1
72,86,1
77,86,1
61,37,0
73,37,0
61,56,1
91,56,1
97,56,1
61,58,1
83,58,1
86,58,1
96,58,1
97,58,1
61,99,1
62,80,1
74,80,1
93,80,1
63,66,1
96,66,1
63,72,1
78,72,1
86,72,1
63,95,1
66,63,1
72,63,1
95,63,1
67,22,0
73,22,0
81,22,0
87,22,0
96,22,0
67,82,1
68,92,1
88,92,1
69,13,0
70,13,0
89,13,0
69,77,1
86,77,1
70,35,0
70,48,0
70,84,1
71,12,0
79,12,0
85,12,0
97,12,0
73,98,1
75,2,0
75,31,0
75,40,0
87,40,0
90,40,0
75,68,1
92,68,1
76,17,0
76,21,0
76,34,0
78,10,0
93,10,0
78,44,0
78,94,1
80,62,1
89,62,1
80,74,1
91,74,1
87,19,0
87,36,0
88,36,0
90,0,0
