vertex_1,vertex_2,is_treated
0,15,0
1,15,0
46,15,0
2,67,1
49,67,1
52,67,1
2,74,1
12,74,1
85,74,1
2,77,1
25,77,1
44,77,1
85,77,1
3,10,0
13,10,0
3,26,0
18,26,0
4,27,0
19,27,0
64,27,0
83,27,0
5,72,1
60,72,1
6,17,0
9,17,0
12,17,0
6,20,0
43,20,0
6,65,1
9,65,1
46,65,1
47,65,1
7,14,0
36,14,0
62,14,0
7,52,1
34,52,1
35,52,1
39,52,1
67,52,1
8,63,1
46,63,1
71,63,1
8,79,1
41,79,1
91,79,1
8,92,1
86,92,1
9,42,0
43,42,0
45,42,0
57,42,0
10,3,0
26,3,0
10,13,0
31,13,0
43,13,0
11,99,1
90,99,1
12,69,1
18,69,1
13,31,0
16,31,0
13,43,0
20,43,0
42,43,0
66,43,0
14,7,0
52,7,0
14,36,0
50,36,0
87,36,0
14,62,1
15,0,0
15,1,0
15,46,0
63,46,0
65,46,0
17,6,0
20,6,0
65,6,0
17,9,0
42,9,0
65,9,0
17,12,0
69,12,0
74,12,0
18,51,1
18,76,1
37,76,1
41,76,1
89,76,1
19,56,1
35,56,1
21,58,1
40,58,1
60,58,1
22,47,0
35,47,0
65,47,0
23,29,0
48,29,0
80,29,0
23,54,1
23,89,1
76,89,1
24,73,1
90,73,1
26,18,0
51,18,0
69,18,0
76,18,0
27,4,0
27,19,0
56,19,0
27,64,1
35,64,1
27,83,1
68,83,1
28,84,1
96,84,1
28,87,1
33,87,1
36,87,1
82,87,1
29,23,0
54,23,0
89,23,0
29,48,0
32,48,0
29,80,1
55,80,1
82,80,1
30,45,0
42,45,0
31,16,0
32,53,1
35,53,1
32,78,1
90,78,1
33,70,1
39,70,1
81,70,1
36,50,1
38,55,1
39,55,1
80,55,1
39,98,1
82,98,1
40,94,1
61,94,1
41,61,1
94,61,1
42,57,1
43,66,1
45,30,0
47,22,0
47,35,0
52,35,0
53,35,0
56,35,0
64,35,0
48,32,0
53,32,0
78,32,0
52,34,0
52,39,0
55,39,0
70,39,0
98,39,0
55,38,0
58,21,0
58,40,0
94,40,0
58,60,1
68,60,1
72,60,1
59,75,1
96,75,1
59,96,1
75,96,1
84,96,1
60,68,1
83,68,1
61,41,0
76,41,0
79,41,0
63,8,0
79,8,0
92,8,0
63,71,1
67,2,0
74,2,0
77,2,0
67,49,0
70,33,0
87,33,0
70,81,1
88,81,1
72,5,0
73,24,0
73,90,1
78,90,1
99,90,1
74,85,1
77,85,1
97,85,1
75,59,1
96,59,1
76,37,0
77,25,0
77,44,0
79,91,1
80,82,1
87,82,1
95,82,1
98,82,1
81,88,1
82,95,1
84,28,0
87,28,0
85,97,1
86,93,1
92,86,1
93,86,1
99,11,0
