vertex_1,vertex_2,is_treated
0,71,1
14,71,1
88,71,1
1,33,0
37,33,0
2,80,1
14,80,1
43,80,1
84,80,1
3,10,0
37,10,0
3,15,0
32,15,0
50,15,0
54,15,0
59,15,0
3,20,0
6,20,0
23,20,0
3,21,0
6,21,0
44,21,0
48,21,0
3,26,0
57,26,0
4,28,0
48,28,0
4,35,0
5,67,1
13,67,1
14,67,1
30,67,1
45,67,1
96,67,1
6,32,0
15,32,0
22,32,0
6,37,0
10,37,0
33,37,0
7,76,1
12,76,1
13,76,1
24,76,1
51,76,1
7,83,1
36,83,1
46,83,1
98,83,1
7,95,1
17,95,1
92,95,1
8,46,0
53,46,0
59,46,0
60,46,0
83,46,0
9,23,0
20,23,0
9,38,0
9,57,1
26,57,1
9,70,1
12,70,1
42,70,1
51,70,1
10,3,0
15,3,0
20,3,0
21,3,0
26,3,0
11,48,0
21,48,0
28,48,0
11,49,0
41,49,0
56,49,0
12,84,1
19,84,1
80,84,1
13,92,1
95,92,1
96,92,1
14,72,1
29,72,1
69,72,1
14,79,1
19,79,1
62,79,1
15,50,1
15,54,1
22,54,1
15,59,1
46,59,1
16,85,1
22,85,1
40,85,1
77,85,1
18,90,1
74,90,1
78,90,1
82,90,1
20,6,0
21,6,0
32,6,0
37,6,0
21,44,0
63,44,0
66,44,0
22,56,1
49,56,1
23,9,0
38,9,0
57,9,0
70,9,0
25,34,0
42,34,0
27,77,1
85,77,1
28,4,0
35,4,0
31,42,0
34,42,0
70,42,0
31,47,0
64,47,0
31,60,1
41,60,1
46,60,1
32,22,0
54,22,0
56,22,0
85,22,0
33,1,0
34,25,0
39,74,1
45,74,1
90,74,1
39,82,1
90,82,1
41,55,1
41,61,1
42,31,0
47,31,0
60,31,0
44,63,1
44,66,1
46,8,0
46,53,1
47,64,1
48,11,0
49,11,0
49,41,0
55,41,0
60,41,0
61,41,0
52,94,1
65,94,1
87,94,1
98,94,1
58,62,1
79,62,1
86,62,1
91,62,1
58,81,1
65,81,1
58,97,1
62,58,1
81,58,1
97,58,1
62,86,1
62,91,1
89,91,1
67,5,0
67,13,0
76,13,0
92,13,0
67,14,0
71,14,0
72,14,0
79,14,0
80,14,0
67,30,0
67,45,0
74,45,0
67,96,1
92,96,1
99,96,1
68,99,1
96,99,1
70,12,0
76,12,0
84,12,0
70,51,1
76,51,1
71,0,0
71,88,1
93,88,1
72,29,0
72,69,1
73,93,1
88,93,1
74,39,0
82,39,0
75,89,1
91,89,1
76,7,0
83,7,0
95,7,0
76,24,0
77,27,0
79,19,0
84,19,0
80,2,0
80,43,0
81,65,1
94,65,1
83,36,0
83,98,1
94,98,1
85,16,0
85,40,0
89,75,1
90,18,0
90,78,1
93,73,1
94,52,1
94,87,1
95,17,0
99,68,1
