vertex_1,vertex_2,is_treated
0,72,1
71,72,1
0,95,1
66,95,1
1,7,0
15,7,0
56,7,0
1,18,0
1,32,0
16,32,0
62,32,0
1,42,0
5,42,0
23,42,0
28,42,0
35,42,0
2,41,0
9,41,0
2,53,1
17,53,1
22,53,1
39,53,1
2,62,1
15,62,1
26,62,1
32,62,1
3,15,0
7,15,0
50,15,0
54,15,0
62,15,0
4,22,0
53,22,0
4,39,0
53,39,0
89,39,0
6,8,0
40,8,0
6,38,0
19,38,0
46,38,0
7,1,0
18,1,0
32,1,0
42,1,0
7,56,1
16,56,1
45,56,1
8,6,0
38,6,0
8,40,0
31,40,0
35,40,0
9,31,0
29,31,0
37,31,0
40,31,0
9,65,1
10,77,1
21,77,1
68,77,1
10,80,1
79,80,1
10,87,1
33,87,1
73,87,1
11,58,1
21,58,1
79,58,1
11,85,1
78,85,1
11,91,1
34,91,1
98,91,1
12,26,0
25,26,0
62,26,0
13,86,1
48,86,1
94,86,1
13,98,1
14,98,1
34,98,1
49,98,1
91,98,1
15,3,0
15,50,1
15,54,1
17,23,0
37,23,0
42,23,0
46,23,0
17,47,0
46,47,0
19,36,0
20,74,1
49,74,1
79,74,1
21,89,1
33,89,1
39,89,1
51,89,1
83,89,1
22,4,0
39,4,0
23,17,0
47,17,0
53,17,0
23,37,0
31,37,0
23,46,0
38,46,0
47,46,0
63,46,0
24,82,1
43,82,1
49,82,1
64,82,1
26,12,0
26,25,0
27,76,1
33,76,1
34,76,1
44,76,1
83,76,1
27,84,1
66,84,1
97,84,1
30,45,0
55,45,0
56,45,0
30,59,1
31,9,0
41,9,0
65,9,0
31,29,0
32,16,0
56,16,0
33,73,1
87,73,1
36,19,0
38,19,0
40,35,0
42,35,0
41,2,0
53,2,0
62,2,0
42,5,0
42,28,0
44,90,1
78,90,1
45,30,0
59,30,0
45,55,1
46,63,1
51,52,1
51,78,1
85,78,1
90,78,1
51,99,1
92,99,1
96,99,1
52,51,1
78,51,1
89,51,1
99,51,1
57,94,1
86,94,1
58,11,0
85,11,0
91,11,0
58,21,0
77,21,0
89,21,0
58,79,1
60,79,1
74,79,1
80,79,1
60,81,1
61,69,1
70,69,1
71,69,1
66,96,1
75,96,1
99,96,1
67,68,1
71,68,1
77,68,1
68,67,1
68,71,1
69,71,1
72,71,1
88,71,1
69,61,1
69,70,1
71,88,1
72,0,0
95,0,0
73,33,0
76,33,0
87,33,0
89,33,0
74,20,0
74,49,0
82,49,0
98,49,0
75,93,1
76,27,0
84,27,0
76,34,0
91,34,0
98,34,0
76,44,0
90,44,0
76,83,1
89,83,1
77,10,0
80,10,0
87,10,0
79,60,1
81,60,1
82,24,0
82,43,0
82,64,1
84,66,1
95,66,1
96,66,1
84,97,1
86,13,0
98,13,0
86,48,0
93,75,1
96,75,1
94,57,1
98,14,0
99,92,1
