vertex_1,vertex_2,is_treated
0,28,0
63,28,0
72,28,0
0,62,1
6,62,1
17,62,1
0,73,1
18,73,1
34,73,1
1,2,0
6,2,0
17,2,0
1,47,0
55,47,0
2,1,0
47,1,0
2,6,0
62,6,0
2,17,0
62,17,0
3,82,1
13,82,1
78,82,1
4,15,0
32,15,0
4,53,1
5,59,1
66,59,1
76,59,1
7,90,1
85,90,1
8,46,0
20,46,0
24,46,0
48,46,0
8,61,1
9,61,1
43,61,1
8,63,1
28,63,1
9,25,0
39,25,0
49,25,0
9,49,0
25,49,0
10,50,1
93,50,1
10,66,1
59,66,1
10,96,1
23,96,1
58,96,1
11,29,0
21,29,0
11,36,0
65,36,0
11,68,1
38,68,1
77,68,1
11,89,1
45,89,1
99,89,1
12,52,1
64,52,1
12,57,1
56,57,1
80,57,1
12,77,1
40,77,1
45,77,1
68,77,1
13,81,1
14,81,1
97,81,1
14,79,1
56,79,1
14,85,1
90,85,1
15,4,0
53,4,0
15,32,0
43,32,0
16,19,0
70,19,0
16,27,0
16,55,1
47,55,1
48,55,1
18,39,0
25,39,0
19,16,0
27,16,0
55,16,0
19,70,1
35,70,1
20,72,1
28,72,1
21,24,0
46,24,0
21,41,0
35,41,0
44,41,0
22,43,0
32,43,0
61,43,0
22,65,1
33,65,1
36,65,1
92,65,1
22,69,1
24,21,0
29,21,0
41,21,0
25,9,0
49,9,0
61,9,0
26,64,1
37,64,1
45,64,1
52,64,1
28,0,0
62,0,0
73,0,0
29,11,0
36,11,0
68,11,0
89,11,0
30,67,1
33,67,1
75,67,1
99,67,1
31,48,0
46,48,0
55,48,0
34,42,0
74,42,0
34,60,1
37,91,1
71,91,1
39,18,0
73,18,0
41,35,0
70,35,0
41,44,0
42,34,0
60,34,0
73,34,0
42,74,1
43,22,0
65,22,0
69,22,0
45,86,1
88,86,1
46,8,0
61,8,0
63,8,0
46,20,0
72,20,0
48,31,0
50,10,0
66,10,0
96,10,0
50,93,1
51,75,1
67,75,1
52,12,0
57,12,0
77,12,0
54,78,1
82,78,1
92,78,1
54,95,1
84,95,1
98,95,1
57,56,1
79,56,1
57,80,1
58,71,1
91,71,1
59,5,0
59,76,1
64,26,0
64,37,0
91,37,0
64,45,0
77,45,0
86,45,0
89,45,0
65,33,0
67,33,0
65,92,1
78,92,1
99,92,1
67,30,0
67,99,1
83,99,1
89,99,1
92,99,1
68,38,0
71,58,1
96,58,1
75,51,1
77,40,0
78,54,1
95,54,1
79,14,0
81,14,0
85,14,0
81,13,0
82,13,0
81,97,1
82,3,0
83,87,1
83,94,1
86,88,1
87,83,1
94,83,1
99,83,1
90,7,0
95,84,1
95,98,1
96,23,0
