vertex_1,vertex_2,is_treated
0,5,0
4,5,0
15,5,0
0,51,1
2,51,1
0,78,1
11,78,1
1,65,1
20,65,1
39,65,1
62,65,1
1,75,1
9,75,1
43,75,1
50,75,1
2,28,0
70,28,0
77,28,0
2,34,0
23,34,0
2,52,1
82,52,1
3,44,0
18,44,0
48,44,0
3,55,1
81,55,1
3,64,1
4,15,0
5,15,0
41,15,0
5,0,0
51,0,0
78,0,0
5,4,0
15,4,0
6,97,1
18,97,1
67,97,1
90,97,1
7,37,0
22,37,0
8,10,0
8,17,0
38,17,0
59,17,0
68,17,0
8,32,0
9,96,1
79,96,1
92,96,1
10,8,0
17,8,0
32,8,0
11,46,0
14,46,0
11,89,1
16,89,1
98,89,1
12,35,0
57,35,0
13,73,1
45,73,1
60,73,1
13,99,1
93,99,1
15,41,0
72,41,0
17,38,0
27,38,0
31,38,0
17,59,1
24,59,1
17,68,1
84,68,1
18,42,0
71,42,0
18,71,1
42,71,1
19,26,0
30,26,0
19,79,1
40,79,1
96,79,1
21,61,1
25,61,1
47,61,1
94,61,1
21,87,1
69,87,1
22,53,1
24,53,1
22,77,1
28,77,1
22,82,1
33,82,1
52,82,1
23,40,0
79,40,0
23,49,0
70,49,0
24,36,0
29,36,0
25,94,1
61,94,1
85,94,1
26,19,0
79,19,0
26,30,0
27,58,1
48,58,1
28,2,0
34,2,0
51,2,0
52,2,0
28,70,1
49,70,1
29,54,1
34,23,0
40,23,0
49,23,0
35,12,0
35,57,1
48,57,1
36,24,0
53,24,0
59,24,0
36,29,0
54,29,0
37,7,0
37,22,0
53,22,0
77,22,0
82,22,0
38,27,0
58,27,0
38,31,0
39,90,1
97,90,1
98,90,1
41,72,1
42,18,0
44,18,0
71,18,0
97,18,0
44,3,0
55,3,0
64,3,0
44,48,0
57,48,0
58,48,0
45,63,1
83,63,1
45,66,1
91,66,1
46,11,0
78,11,0
89,11,0
46,14,0
47,74,1
88,74,1
50,85,1
94,85,1
55,81,1
56,81,1
67,81,1
60,88,1
74,88,1
61,21,0
87,21,0
61,25,0
94,25,0
61,47,0
74,47,0
62,84,1
68,84,1
63,45,0
66,45,0
73,45,0
63,83,1
80,83,1
65,1,0
75,1,0
65,20,0
65,39,0
90,39,0
65,62,1
84,62,1
66,91,1
76,91,1
67,95,1
73,13,0
99,13,0
73,60,1
88,60,1
75,9,0
96,9,0
75,43,0
75,50,1
85,50,1
80,86,1
81,56,1
81,67,1
95,67,1
97,67,1
82,33,0
83,80,1
86,80,1
87,69,1
89,16,0
89,98,1
90,98,1
91,76,1
92,93,1
99,93,1
93,92,1
96,92,1
97,6,0
