vertex_1,vertex_2,is_treated
0,6,0
37,6,0
0,39,0
21,39,0
25,39,0
48,39,0
61,39,0
1,97,1
17,97,1
77,97,1
81,97,1
2,33,0
49,33,0
2,42,0
15,42,0
60,42,0
2,50,1
2,61,1
11,61,1
14,61,1
39,61,1
2,86,1
26,86,1
36,86,1
94,86,1
3,11,0
53,11,0
61,11,0
4,40,0
73,40,0
4,46,0
9,46,0
5,49,0
9,49,0
33,49,0
5,72,1
6,0,0
39,0,0
6,37,0
10,37,0
19,37,0
7,52,1
38,52,1
80,52,1
8,12,0
15,12,0
62,12,0
8,47,0
9,13,0
9,18,0
48,18,0
10,27,0
32,27,0
10,65,1
28,65,1
10,67,1
10,75,1
10,83,1
19,83,1
28,83,1
11,3,0
11,53,1
12,8,0
47,8,0
12,15,0
42,15,0
12,62,1
36,62,1
56,62,1
13,9,0
18,9,0
46,9,0
49,9,0
14,24,0
73,24,0
14,51,1
16,63,1
23,63,1
34,63,1
56,63,1
99,63,1
16,87,1
89,87,1
16,91,1
17,91,1
20,91,1
31,91,1
88,91,1
16,95,1
57,95,1
90,95,1
18,48,0
39,48,0
60,48,0
19,55,1
19,79,1
19,85,1
21,66,1
21,69,1
22,74,1
59,74,1
22,99,1
41,99,1
63,99,1
24,14,0
51,14,0
61,14,0
24,73,1
40,73,1
26,93,1
45,93,1
90,93,1
27,10,0
37,10,0
65,10,0
67,10,0
75,10,0
83,10,0
27,32,0
28,35,0
29,35,0
30,88,1
38,88,1
91,88,1
30,98,1
31,98,1
84,98,1
33,2,0
42,2,0
50,2,0
61,2,0
86,2,0
34,78,1
59,78,1
35,28,0
65,28,0
83,28,0
35,29,0
36,96,1
84,96,1
37,19,0
55,19,0
79,19,0
83,19,0
85,19,0
38,58,1
81,58,1
39,21,0
66,21,0
69,21,0
39,25,0
40,4,0
46,4,0
42,60,1
48,60,1
43,80,1
52,80,1
44,82,1
68,82,1
71,82,1
45,76,1
59,76,1
45,77,1
97,77,1
49,5,0
72,5,0
52,7,0
52,38,0
58,38,0
88,38,0
54,57,1
71,57,1
95,57,1
56,64,1
56,81,1
58,81,1
97,81,1
57,54,1
57,71,1
70,71,1
82,71,1
59,70,1
71,70,1
62,36,0
86,36,0
96,36,0
62,56,1
63,56,1
64,56,1
81,56,1
63,16,0
87,16,0
91,16,0
95,16,0
63,23,0
63,34,0
78,34,0
70,59,1
74,59,1
76,59,1
78,59,1
74,22,0
99,22,0
76,45,0
77,45,0
93,45,0
80,43,0
82,44,0
82,68,1
84,89,1
87,89,1
90,89,1
86,26,0
93,26,0
86,94,1
92,94,1
88,30,0
98,30,0
89,84,1
96,84,1
98,84,1
89,90,1
93,90,1
95,90,1
91,17,0
97,17,0
91,20,0
91,31,0
98,31,0
94,92,1
97,1,0
99,41,0
