vertex_1,vertex_2,is_treated
0,53,1
11,53,1
38,53,1
52,53,1
71,53,1
0,74,1
3,74,1
8,74,1
90,74,1
0,97,1
1,97,1
8,97,1
22,97,1
93,97,1
2,57,1
10,57,1
75,57,1
89,57,1
4,14,0
64,14,0
66,14,0
67,14,0
73,14,0
4,70,1
5,98,1
22,98,1
23,98,1
87,98,1
6,13,0
59,13,0
66,13,0
6,32,0
33,32,0
7,20,0
25,20,0
35,20,0
7,62,1
9,45,0
9,78,1
29,78,1
36,78,1
10,79,1
71,79,1
84,79,1
11,52,1
53,52,1
11,88,1
19,88,1
44,88,1
82,88,1
12,21,0
29,21,0
12,24,0
12,27,0
18,27,0
28,27,0
43,27,0
13,6,0
32,6,0
13,59,1
76,59,1
13,66,1
14,66,1
14,4,0
70,4,0
14,64,1
29,64,1
14,67,1
17,67,1
14,73,1
15,25,0
20,25,0
34,25,0
15,80,1
23,80,1
40,80,1
41,80,1
44,80,1
68,80,1
16,89,1
44,89,1
57,89,1
17,49,0
33,49,0
47,49,0
17,54,1
36,54,1
19,48,0
19,65,1
61,65,1
20,7,0
62,7,0
20,35,0
34,35,0
21,12,0
24,12,0
27,12,0
21,29,0
64,29,0
78,29,0
22,56,1
23,56,1
92,56,1
22,91,1
55,91,1
23,69,1
96,69,1
23,83,1
37,83,1
60,83,1
25,15,0
80,15,0
25,34,0
35,34,0
46,34,0
26,50,1
37,50,1
51,50,1
26,86,1
87,86,1
27,18,0
27,28,0
39,28,0
27,43,0
33,43,0
28,39,0
31,39,0
30,36,0
54,36,0
58,36,0
77,36,0
78,36,0
30,63,1
32,33,0
43,33,0
49,33,0
34,46,0
72,46,0
36,30,0
63,30,0
36,58,1
36,77,1
39,31,0
42,47,0
49,47,0
44,81,1
94,81,1
45,9,0
78,9,0
46,72,1
47,42,0
48,19,0
65,19,0
88,19,0
49,17,0
54,17,0
67,17,0
50,26,0
86,26,0
50,37,0
83,37,0
50,51,1
95,51,1
51,95,1
52,11,0
53,11,0
88,11,0
53,0,0
74,0,0
97,0,0
53,38,0
53,71,1
79,71,1
56,22,0
91,22,0
97,22,0
98,22,0
56,23,0
69,23,0
80,23,0
83,23,0
98,23,0
56,92,1
96,92,1
57,2,0
57,10,0
79,10,0
57,75,1
59,76,1
93,76,1
99,76,1
60,85,1
61,87,1
86,87,1
98,87,1
61,90,1
74,90,1
99,90,1
65,61,1
87,61,1
90,61,1
69,96,1
92,96,1
74,3,0
74,8,0
97,8,0
76,93,1
97,93,1
76,99,1
90,99,1
79,84,1
80,40,0
80,41,0
80,44,0
81,44,0
88,44,0
89,44,0
80,68,1
81,94,1
83,60,1
85,60,1
88,82,1
89,16,0
91,55,1
97,1,0
98,5,0
