vertex_1,vertex_2,is_treated
0,14,0
4,14,0
0,54,1
23,54,1
29,54,1
0,70,1
32,70,1
1,19,0
1,57,1
8,57,1
1,62,1
2,43,0
8,43,0
2,53,1
16,53,1
26,53,1
38,53,1
2,63,1
2,66,1
3,55,1
42,55,1
67,55,1
74,55,1
3,94,1
60,94,1
4,6,0
34,6,0
4,90,1
13,90,1
17,90,1
91,90,1
5,46,0
25,46,0
36,46,0
6,4,0
14,4,0
90,4,0
6,34,0
20,34,0
7,26,0
53,26,0
8,59,1
8,64,1
9,87,1
37,87,1
42,87,1
97,87,1
10,80,1
21,80,1
44,80,1
48,80,1
50,80,1
11,36,0
46,36,0
47,36,0
11,40,0
45,40,0
11,41,0
32,41,0
35,41,0
38,41,0
11,45,0
40,45,0
12,27,0
12,30,0
20,30,0
23,30,0
12,38,0
41,38,0
49,38,0
53,38,0
13,73,1
56,73,1
69,73,1
82,73,1
13,96,1
33,96,1
79,96,1
14,0,0
54,0,0
70,0,0
15,50,1
51,50,1
80,50,1
16,20,0
30,20,0
34,20,0
49,20,0
17,97,1
87,97,1
18,56,1
28,56,1
37,56,1
68,56,1
73,56,1
19,1,0
57,1,0
62,1,0
20,16,0
53,16,0
20,49,0
38,49,0
21,61,1
98,61,1
22,35,0
29,35,0
41,35,0
23,47,0
36,47,0
58,47,0
23,65,1
23,71,1
24,76,1
98,76,1
26,7,0
27,12,0
30,12,0
38,12,0
28,78,1
39,78,1
44,78,1
83,78,1
29,88,1
79,88,1
30,23,0
47,23,0
54,23,0
65,23,0
71,23,0
31,69,1
60,69,1
73,69,1
35,22,0
35,29,0
54,29,0
88,29,0
36,11,0
40,11,0
41,11,0
45,11,0
39,89,1
81,89,1
93,89,1
41,32,0
70,32,0
42,95,1
91,95,1
42,99,1
52,99,1
85,99,1
43,2,0
53,2,0
63,2,0
66,2,0
43,8,0
57,8,0
59,8,0
64,8,0
46,5,0
46,25,0
47,58,1
50,15,0
50,51,1
52,86,1
84,86,1
55,3,0
94,3,0
55,42,0
87,42,0
95,42,0
99,42,0
55,67,1
74,67,1
55,74,1
67,74,1
56,18,0
56,28,0
78,28,0
56,37,0
87,37,0
56,68,1
98,68,1
61,21,0
80,21,0
61,98,1
68,98,1
76,98,1
84,98,1
69,31,0
69,60,1
94,60,1
72,81,1
89,81,1
73,13,0
90,13,0
96,13,0
73,82,1
83,82,1
75,85,1
99,85,1
76,24,0
77,83,1
78,83,1
82,83,1
78,39,0
89,39,0
78,44,0
80,44,0
80,10,0
80,48,0
81,72,1
83,77,1
85,75,1
86,52,1
99,52,1
86,84,1
98,84,1
87,9,0
88,79,1
96,79,1
89,93,1
90,17,0
97,17,0
90,91,1
92,91,1
95,91,1
91,92,1
96,33,0
