vertex_1,vertex_2,is_treated
0,7,0
56,7,0
83,7,0
0,11,0
18,11,0
1,68,1
3,68,1
22,68,1
47,68,1
67,68,1
2,17,0
8,17,0
26,17,0
3,73,1
6,73,1
9,73,1
10,73,1
85,73,1
3,76,1
6,76,1
25,76,1
36,76,1
93,76,1
4,81,1
43,81,1
70,81,1
5,74,1
19,74,1
57,74,1
5,79,1
99,79,1
6,62,1
47,62,1
52,62,1
6,67,1
35,67,1
36,67,1
68,67,1
6,96,1
19,96,1
72,96,1
7,0,0
11,0,0
7,56,1
14,56,1
7,83,1
25,83,1
47,83,1
95,83,1
8,18,0
11,18,0
31,18,0
9,69,1
45,69,1
53,69,1
12,20,0
32,20,0
64,20,0
12,44,0
37,44,0
13,23,0
21,23,0
33,23,0
66,23,0
13,41,0
33,41,0
13,87,1
82,87,1
14,26,0
17,26,0
14,28,0
42,28,0
14,65,1
24,65,1
32,65,1
15,48,0
15,51,1
24,51,1
27,51,1
16,38,0
27,38,0
16,42,0
21,42,0
28,42,0
61,42,0
17,2,0
17,8,0
18,8,0
18,31,0
20,12,0
44,12,0
20,32,0
55,32,0
60,32,0
61,32,0
64,32,0
65,32,0
20,64,1
32,64,1
21,39,0
24,39,0
23,13,0
41,13,0
87,13,0
23,21,0
39,21,0
42,21,0
23,33,0
41,33,0
46,33,0
23,66,1
24,55,1
32,55,1
24,63,1
27,63,1
49,63,1
25,98,1
97,98,1
26,14,0
28,14,0
56,14,0
65,14,0
29,34,0
29,61,1
32,61,1
42,61,1
30,82,1
87,82,1
32,60,1
33,46,0
34,29,0
61,29,0
36,86,1
91,86,1
38,16,0
42,16,0
38,27,0
51,27,0
63,27,0
39,24,0
51,24,0
55,24,0
63,24,0
65,24,0
40,49,0
63,49,0
44,37,0
48,15,0
51,15,0
49,40,0
50,53,1
69,53,1
77,53,1
92,53,1
52,54,1
53,50,1
53,77,1
97,77,1
53,92,1
70,92,1
54,52,1
62,52,1
57,84,1
75,84,1
58,80,1
70,80,1
71,80,1
88,80,1
59,78,1
99,78,1
62,6,0
67,6,0
73,6,0
76,6,0
96,6,0
62,47,0
68,47,0
83,47,0
67,35,0
67,36,0
76,36,0
86,36,0
68,1,0
68,3,0
73,3,0
76,3,0
68,22,0
69,9,0
73,9,0
69,45,0
70,90,1
71,89,1
73,10,0
73,85,1
74,5,0
79,5,0
74,19,0
96,19,0
74,57,1
84,57,1
76,25,0
83,25,0
98,25,0
76,93,1
77,97,1
94,97,1
98,97,1
78,59,1
78,99,1
79,99,1
80,58,1
80,70,1
81,70,1
90,70,1
92,70,1
80,71,1
89,71,1
80,88,1
81,4,0
81,43,0
82,30,0
83,95,1
84,75,1
86,91,1
96,72,1
97,94,1
