vertex_1,vertex_2,is_treated
0,22,0
17,22,0
59,22,0
0,56,1
17,56,1
44,56,1
0,57,1
10,57,1
14,57,1
0,66,1
42,66,1
1,35,0
1,39,0
11,39,0
12,39,0
1,73,1
2,12,0
39,12,0
2,48,0
62,48,0
65,48,0
3,14,0
57,14,0
3,37,0
4,33,0
31,33,0
78,33,0
4,53,1
24,53,1
5,31,0
23,31,0
33,31,0
76,31,0
6,17,0
15,17,0
22,17,0
56,17,0
6,30,0
9,30,0
65,30,0
6,50,1
20,50,1
7,43,0
16,43,0
8,82,1
20,82,1
36,82,1
89,82,1
10,40,0
11,19,0
24,19,0
76,19,0
11,24,0
16,24,0
19,24,0
53,24,0
70,24,0
78,24,0
96,24,0
11,52,1
12,2,0
48,2,0
13,91,1
27,91,1
69,91,1
14,3,0
37,3,0
15,32,0
63,32,0
78,32,0
15,44,0
56,44,0
59,44,0
17,6,0
30,6,0
50,6,0
17,15,0
32,15,0
44,15,0
18,60,1
38,60,1
54,60,1
18,68,1
58,68,1
98,68,1
18,69,1
47,69,1
91,69,1
97,69,1
18,99,1
55,99,1
19,11,0
24,11,0
39,11,0
52,11,0
19,76,1
20,76,1
31,76,1
20,21,0
41,21,0
21,20,0
50,20,0
76,20,0
82,20,0
21,41,0
78,41,0
22,0,0
56,0,0
57,0,0
66,0,0
22,59,1
44,59,1
23,42,0
61,42,0
66,42,0
24,16,0
43,16,0
24,70,1
24,78,1
32,78,1
33,78,1
41,78,1
24,96,1
36,96,1
55,96,1
25,71,1
46,71,1
74,71,1
25,93,1
27,93,1
45,93,1
85,93,1
26,80,1
51,80,1
83,80,1
28,86,1
98,86,1
29,85,1
93,85,1
30,9,0
30,65,1
48,65,1
31,5,0
31,23,0
42,23,0
32,63,1
33,4,0
53,4,0
34,77,1
83,77,1
88,77,1
34,81,1
95,81,1
35,1,0
39,1,0
73,1,0
40,10,0
57,10,0
42,61,1
43,7,0
48,62,1
49,84,1
51,84,1
54,55,1
94,55,1
96,55,1
99,55,1
54,92,1
55,54,1
60,54,1
92,54,1
55,94,1
67,94,1
60,18,0
68,18,0
69,18,0
99,18,0
60,38,0
64,83,1
74,83,1
77,83,1
80,83,1
68,58,1
68,98,1
86,98,1
97,98,1
69,47,0
69,97,1
98,97,1
71,25,0
93,25,0
71,46,0
71,74,1
83,74,1
72,95,1
81,95,1
87,95,1
90,95,1
75,79,1
90,79,1
75,89,1
82,89,1
77,34,0
81,34,0
77,88,1
79,75,1
89,75,1
79,90,1
95,90,1
80,26,0
80,51,1
84,51,1
82,8,0
82,36,0
96,36,0
83,64,1
84,49,0
85,29,0
86,28,0
91,13,0
91,27,0
93,27,0
93,45,0
94,67,1
95,72,1
95,87,1
