vertex_1,vertex_2,is_treated
0,8,0
17,8,0
29,8,0
0,26,0
1,26,0
11,26,0
1,30,0
10,30,0
14,30,0
2,3,0
31,3,0
2,7,0
23,7,0
39,7,0
64,7,0
2,87,1
18,87,1
66,87,1
3,2,0
7,2,0
87,2,0
3,31,0
22,31,0
38,31,0
4,61,1
46,61,1
52,61,1
89,61,1
4,70,1
40,70,1
49,70,1
99,70,1
4,81,1
36,81,1
40,81,1
72,81,1
5,29,0
8,29,0
12,29,0
5,54,1
5,74,1
6,22,0
31,22,0
75,22,0
89,22,0
7,23,0
64,23,0
71,23,0
7,39,0
43,39,0
57,39,0
7,64,1
10,64,1
23,64,1
45,64,1
8,0,0
26,0,0
8,17,0
57,17,0
59,17,0
9,68,1
28,68,1
90,68,1
9,79,1
55,79,1
10,51,1
10,77,1
33,77,1
37,77,1
85,77,1
12,21,0
13,45,0
64,45,0
15,78,1
44,78,1
62,78,1
94,78,1
16,27,0
43,27,0
16,42,0
16,47,0
48,47,0
17,57,1
39,57,1
17,59,1
18,93,1
20,93,1
40,93,1
52,93,1
19,48,0
35,48,0
47,48,0
20,50,1
37,50,1
95,50,1
20,60,1
99,60,1
20,83,1
24,83,1
69,83,1
21,12,0
29,12,0
22,6,0
22,75,1
22,89,1
24,89,1
61,89,1
23,71,1
25,98,1
69,98,1
26,1,0
30,1,0
26,11,0
27,16,0
42,16,0
47,16,0
27,43,0
39,43,0
28,62,1
32,62,1
78,62,1
28,99,1
60,99,1
70,99,1
29,5,0
54,5,0
74,5,0
30,10,0
51,10,0
64,10,0
77,10,0
30,14,0
31,38,0
67,38,0
32,97,1
44,97,1
65,97,1
34,73,1
35,73,1
96,73,1
35,53,1
37,85,1
77,85,1
37,86,1
56,86,1
38,67,1
40,91,1
76,91,1
41,69,1
83,69,1
98,69,1
45,13,0
48,19,0
48,35,0
53,35,0
73,35,0
49,76,1
91,76,1
50,20,0
60,20,0
83,20,0
93,20,0
50,37,0
77,37,0
85,37,0
86,37,0
50,95,1
63,95,1
52,56,1
66,56,1
72,56,1
86,56,1
52,82,1
55,80,1
58,80,1
56,52,1
61,52,1
82,52,1
93,52,1
56,66,1
87,66,1
56,72,1
81,72,1
61,4,0
70,4,0
81,4,0
61,46,0
62,28,0
68,28,0
99,28,0
62,32,0
97,32,0
65,84,1
68,9,0
79,9,0
68,90,1
88,90,1
69,41,0
70,40,0
81,40,0
91,40,0
93,40,0
70,49,0
76,49,0
73,34,0
73,96,1
92,96,1
77,33,0
78,15,0
78,44,0
97,44,0
78,94,1
79,55,1
80,55,1
80,58,1
81,36,0
83,24,0
89,24,0
84,65,1
97,65,1
87,18,0
93,18,0
90,88,1
95,63,1
96,92,1
98,25,0
