vertex_1,vertex_2,is_treated
0,12,0
44,12,0
0,53,1
19,53,1
33,53,1
43,53,1
48,53,1
1,30,0
5,30,0
1,60,1
2,79,1
9,79,1
41,79,1
95,79,1
3,49,0
43,49,0
50,49,0
56,49,0
62,49,0
4,47,0
15,47,0
33,47,0
4,64,1
19,64,1
5,40,0
61,40,0
6,38,0
70,38,0
6,61,1
28,61,1
32,61,1
40,61,1
7,27,0
7,33,0
36,33,0
47,33,0
53,33,0
8,29,0
21,29,0
32,29,0
8,80,1
11,80,1
17,80,1
74,80,1
9,86,1
10,86,1
73,86,1
9,97,1
10,97,1
52,97,1
9,99,1
11,99,1
65,99,1
11,85,1
87,85,1
12,0,0
53,0,0
12,44,0
39,44,0
13,66,1
17,66,1
76,66,1
92,66,1
14,16,0
21,16,0
36,16,0
14,39,0
20,39,0
36,39,0
44,39,0
14,69,1
42,69,1
16,14,0
39,14,0
69,14,0
16,21,0
29,21,0
16,36,0
33,36,0
39,36,0
17,58,1
45,58,1
71,58,1
17,77,1
51,77,1
17,95,1
79,95,1
18,88,1
46,88,1
81,88,1
19,28,0
59,28,0
61,28,0
63,28,0
20,42,0
69,42,0
22,48,0
26,48,0
53,48,0
23,90,1
24,90,1
45,90,1
55,90,1
25,75,1
41,75,1
46,75,1
55,75,1
27,7,0
33,7,0
28,19,0
53,19,0
64,19,0
28,59,1
28,63,1
29,8,0
80,8,0
29,32,0
54,32,0
61,32,0
30,1,0
60,1,0
30,5,0
40,5,0
31,74,1
35,74,1
80,74,1
32,54,1
34,78,1
37,78,1
71,78,1
34,87,1
85,87,1
38,6,0
61,6,0
38,70,1
39,20,0
42,20,0
41,67,1
72,67,1
45,51,1
46,51,1
77,51,1
45,71,1
58,71,1
78,71,1
84,71,1
47,4,0
64,4,0
47,15,0
48,22,0
48,26,0
49,3,0
49,43,0
53,43,0
49,50,1
49,56,1
49,62,1
51,45,0
58,45,0
71,45,0
90,45,0
51,46,0
75,46,0
88,46,0
55,68,1
73,68,1
81,68,1
93,68,1
57,82,1
57,92,1
66,92,1
96,92,1
58,17,0
66,17,0
77,17,0
80,17,0
95,17,0
66,13,0
66,76,1
98,76,1
67,41,0
75,41,0
79,41,0
67,72,1
89,72,1
68,55,1
75,55,1
90,55,1
68,73,1
86,73,1
91,73,1
68,81,1
88,81,1
68,93,1
71,84,1
72,89,1
73,91,1
74,31,0
74,35,0
75,25,0
76,98,1
78,34,0
87,34,0
78,37,0
79,2,0
79,9,0
86,9,0
97,9,0
99,9,0
80,11,0
85,11,0
99,11,0
82,57,1
92,57,1
83,94,1
83,96,1
92,96,1
86,10,0
97,10,0
88,18,0
90,23,0
90,24,0
94,83,1
96,83,1
97,52,1
99,65,1
