vertex_1,vertex_2,is_treated
0,20,0
46,20,0
53,20,0
58,20,0
68,20,0
0,48,0
69,48,0
0,66,1
29,66,1
45,66,1
0,88,1
33,88,1
70,88,1
85,88,1
1,15,0
36,15,0
1,84,1
9,84,1
43,84,1
80,84,1
2,82,1
11,82,1
28,82,1
95,82,1
3,27,0
18,27,0
3,44,0
21,44,0
64,44,0
3,49,0
69,49,0
4,5,0
16,5,0
38,5,0
4,41,0
32,41,0
65,41,0
67,41,0
5,4,0
41,4,0
5,16,0
52,16,0
55,16,0
5,38,0
21,38,0
62,38,0
6,18,0
27,18,0
6,22,0
6,31,0
47,31,0
65,31,0
6,45,0
10,45,0
32,45,0
66,45,0
69,45,0
7,59,1
43,59,1
95,59,1
8,91,1
39,91,1
60,91,1
9,89,1
72,89,1
10,25,0
11,71,1
37,71,1
99,71,1
12,76,1
43,76,1
56,76,1
13,63,1
94,63,1
13,85,1
14,85,1
88,85,1
14,73,1
24,73,1
96,73,1
15,1,0
84,1,0
15,36,0
54,36,0
55,36,0
16,52,1
16,55,1
19,55,1
36,55,1
17,42,0
64,42,0
67,42,0
17,46,0
19,46,0
20,46,0
68,46,0
17,68,1
19,68,1
20,68,1
29,68,1
46,68,1
18,6,0
22,6,0
31,6,0
45,6,0
20,0,0
48,0,0
66,0,0
88,0,0
20,53,1
20,58,1
23,29,0
64,29,0
66,29,0
68,29,0
69,29,0
25,10,0
45,10,0
26,61,1
30,61,1
35,61,1
90,61,1
27,3,0
44,3,0
49,3,0
29,23,0
29,64,1
42,64,1
44,64,1
29,69,1
45,69,1
48,69,1
49,69,1
31,47,0
31,65,1
41,65,1
33,90,1
37,90,1
39,90,1
61,90,1
34,86,1
35,86,1
77,86,1
36,54,1
38,21,0
44,21,0
38,62,1
40,97,1
95,97,1
41,32,0
45,32,0
41,67,1
42,67,1
42,17,0
46,17,0
68,17,0
46,19,0
55,19,0
68,19,0
50,75,1
79,75,1
50,98,1
93,98,1
51,57,1
78,57,1
79,57,1
83,57,1
96,57,1
51,79,1
57,79,1
75,79,1
56,81,1
57,51,1
79,51,1
57,78,1
57,83,1
57,96,1
73,96,1
59,7,0
59,43,0
76,43,0
84,43,0
59,95,1
82,95,1
97,95,1
61,26,0
61,30,0
61,35,0
86,35,0
63,13,0
85,13,0
63,94,1
71,11,0
82,11,0
71,37,0
90,37,0
71,99,1
72,92,1
74,92,1
73,14,0
85,14,0
73,24,0
74,87,1
75,50,1
98,50,1
76,12,0
76,56,1
81,56,1
82,2,0
82,28,0
84,9,0
89,9,0
84,80,1
86,34,0
86,77,1
87,74,1
92,74,1
88,33,0
90,33,0
88,70,1
89,72,1
92,72,1
90,39,0
91,39,0
91,8,0
91,60,1
97,40,0
98,93,1
