vertex_1,vertex_2,is_treated
0,97,1
78,97,1
1,11,0
35,11,0
1,39,0
45,39,0
48,39,0
2,10,0
6,10,0
15,10,0
2,15,0
10,15,0
42,15,0
2,53,1
12,53,1
36,53,1
70,53,1
82,53,1
3,65,1
8,65,1
63,65,1
76,65,1
4,19,0
40,19,0
51,19,0
98,19,0
4,29,0
23,29,0
5,43,0
22,43,0
5,60,1
33,60,1
5,62,1
21,62,1
28,62,1
47,62,1
6,21,0
52,21,0
59,21,0
62,21,0
6,26,0
58,26,0
6,48,0
35,48,0
39,48,0
45,48,0
7,99,1
20,99,1
46,99,1
72,99,1
8,89,1
41,89,1
49,89,1
91,89,1
8,96,1
46,96,1
57,96,1
9,38,0
22,38,0
32,38,0
56,38,0
98,38,0
10,2,0
15,2,0
53,2,0
10,6,0
21,6,0
26,6,0
48,6,0
11,1,0
39,1,0
11,35,0
17,35,0
48,35,0
13,90,1
30,90,1
70,90,1
14,33,0
52,33,0
55,33,0
60,33,0
14,45,0
39,45,0
48,45,0
50,45,0
52,45,0
15,42,0
18,42,0
40,42,0
16,50,1
44,50,1
45,50,1
49,50,1
86,50,1
17,58,1
26,58,1
19,4,0
29,4,0
19,40,0
31,40,0
42,40,0
19,51,1
19,98,1
38,98,1
75,98,1
21,52,1
33,52,1
45,52,1
21,59,1
24,63,1
65,63,1
66,63,1
25,31,0
27,31,0
28,31,0
40,31,0
27,54,1
29,23,0
30,91,1
89,91,1
31,25,0
31,27,0
54,27,0
31,28,0
62,28,0
32,47,0
62,47,0
33,14,0
45,14,0
33,55,1
34,85,1
71,85,1
35,17,0
58,17,0
36,64,1
67,64,1
95,64,1
36,75,1
98,75,1
37,95,1
64,95,1
71,95,1
38,9,0
38,22,0
43,22,0
38,32,0
47,32,0
38,56,1
73,56,1
42,18,0
43,5,0
60,5,0
62,5,0
50,16,0
50,44,0
50,49,0
89,49,0
50,86,1
74,86,1
53,12,0
53,36,0
64,36,0
75,36,0
53,70,1
90,70,1
53,82,1
56,73,1
88,73,1
57,69,1
93,69,1
57,71,1
79,71,1
85,71,1
92,71,1
95,71,1
57,81,1
61,68,1
61,84,1
67,84,1
77,84,1
87,84,1
63,24,0
63,66,1
94,66,1
64,67,1
84,67,1
65,3,0
65,8,0
89,8,0
96,8,0
65,76,1
66,94,1
68,61,1
84,61,1
69,57,1
71,57,1
81,57,1
96,57,1
69,93,1
71,79,1
78,79,1
71,92,1
72,83,1
80,83,1
73,88,1
79,78,1
97,78,1
83,72,1
99,72,1
83,80,1
84,77,1
84,87,1
85,34,0
86,74,1
89,41,0
90,13,0
90,30,0
91,30,0
95,37,0
96,46,0
99,46,0
97,0,0
99,7,0
99,20,0
