vertex_1,vertex_2,is_treated
0,36,0
53,36,0
58,36,0
0,46,0
60,46,0
86,46,0
1,24,0
12,24,0
1,67,1
20,67,1
39,67,1
81,67,1
2,26,0
10,26,0
11,26,0
2,43,0
22,43,0
28,43,0
61,43,0
3,86,1
31,86,1
35,86,1
39,86,1
46,86,1
59,86,1
4,7,0
44,7,0
58,7,0
4,16,0
6,16,0
30,16,0
4,49,0
40,49,0
5,6,0
16,6,0
51,6,0
52,6,0
6,5,0
6,51,1
6,52,1
11,52,1
33,52,1
7,4,0
16,4,0
49,4,0
7,44,0
22,44,0
7,58,1
11,58,1
36,58,1
8,81,1
12,81,1
67,81,1
8,90,1
29,90,1
59,90,1
9,35,0
42,35,0
72,35,0
83,35,0
86,35,0
9,82,1
15,82,1
98,82,1
10,28,0
43,28,0
48,28,0
10,30,0
16,30,0
23,30,0
12,62,1
20,62,1
27,62,1
12,65,1
48,65,1
13,25,0
27,25,0
13,54,1
13,56,1
13,63,1
42,63,1
14,47,0
20,47,0
33,47,0
34,47,0
17,72,1
21,72,1
35,72,1
96,72,1
17,84,1
70,84,1
18,83,1
35,83,1
76,83,1
89,83,1
19,91,1
64,91,1
24,1,0
67,1,0
24,12,0
62,12,0
65,12,0
81,12,0
25,13,0
54,13,0
56,13,0
63,13,0
25,27,0
62,27,0
26,2,0
43,2,0
26,10,0
28,10,0
30,10,0
26,11,0
52,11,0
58,11,0
28,48,0
65,48,0
29,69,1
50,69,1
29,89,1
83,89,1
29,97,1
88,97,1
30,23,0
31,80,1
45,80,1
92,80,1
32,94,1
45,94,1
73,94,1
35,9,0
82,9,0
35,42,0
63,42,0
66,42,0
85,42,0
36,0,0
46,0,0
36,53,1
37,85,1
42,85,1
50,85,1
78,85,1
37,99,1
75,99,1
38,78,1
85,78,1
93,78,1
41,98,1
82,98,1
96,98,1
42,66,1
43,22,0
44,22,0
43,61,1
46,60,1
47,14,0
47,20,0
62,20,0
67,20,0
47,33,0
52,33,0
47,34,0
49,40,0
55,76,1
83,76,1
57,68,1
73,68,1
57,88,1
97,88,1
64,74,1
64,77,1
64,87,1
73,87,1
64,95,1
75,95,1
67,39,0
86,39,0
68,57,1
88,57,1
68,73,1
71,73,1
87,73,1
94,73,1
96,73,1
69,29,0
89,29,0
90,29,0
97,29,0
69,50,1
85,50,1
72,17,0
84,17,0
72,21,0
72,96,1
73,96,1
79,96,1
98,96,1
73,71,1
74,64,1
77,64,1
87,64,1
91,64,1
95,64,1
76,55,1
78,38,0
78,93,1
80,31,0
86,31,0
80,45,0
94,45,0
80,92,1
81,8,0
90,8,0
82,15,0
83,18,0
84,70,1
85,37,0
99,37,0
86,3,0
86,59,1
90,59,1
91,19,0
94,32,0
95,75,1
99,75,1
96,79,1
98,41,0
