vertex_1,vertex_2,is_treated
0,27,0
65,27,0
0,29,0
8,29,0
10,29,0
0,32,0
12,32,0
53,32,0
57,32,0
69,32,0
0,42,0
49,42,0
1,7,0
52,7,0
53,7,0
60,7,0
1,62,1
1,65,1
27,65,1
2,36,0
2,49,0
23,49,0
42,49,0
2,51,1
2,57,1
10,57,1
30,57,1
32,57,1
39,57,1
3,44,0
6,44,0
19,44,0
4,6,0
44,6,0
46,6,0
70,6,0
4,39,0
57,39,0
5,47,0
38,47,0
6,4,0
39,4,0
6,46,0
28,46,0
53,46,0
6,70,1
7,1,0
62,1,0
65,1,0
7,52,1
99,52,1
7,53,1
32,53,1
46,53,1
7,60,1
20,60,1
8,9,0
8,43,0
9,8,0
29,8,0
43,8,0
10,50,1
12,50,1
10,56,1
11,99,1
18,99,1
52,99,1
12,59,1
13,23,0
30,23,0
49,23,0
61,23,0
14,68,1
16,68,1
18,68,1
35,68,1
89,68,1
15,82,1
22,82,1
75,82,1
97,82,1
15,87,1
26,87,1
45,87,1
80,87,1
17,73,1
89,73,1
17,77,1
21,77,1
31,77,1
54,77,1
20,34,0
20,63,1
22,74,1
76,74,1
23,13,0
23,30,0
57,30,0
61,30,0
23,61,1
30,61,1
24,58,1
25,58,1
45,58,1
92,58,1
24,72,1
25,72,1
40,72,1
95,72,1
25,75,1
41,75,1
82,75,1
25,83,1
88,83,1
26,90,1
41,90,1
94,90,1
27,0,0
29,0,0
32,0,0
42,0,0
29,10,0
50,10,0
56,10,0
57,10,0
32,12,0
50,12,0
59,12,0
32,69,1
37,69,1
38,69,1
33,37,0
67,37,0
69,37,0
34,20,0
60,20,0
63,20,0
36,2,0
49,2,0
51,2,0
57,2,0
37,33,0
37,67,1
38,55,1
44,3,0
44,19,0
46,28,0
47,5,0
47,38,0
55,38,0
69,38,0
48,76,1
74,76,1
54,93,1
58,24,0
72,24,0
58,25,0
72,25,0
75,25,0
83,25,0
58,45,0
87,45,0
58,92,1
64,85,1
66,85,1
91,85,1
95,85,1
66,78,1
81,78,1
88,78,1
66,89,1
68,89,1
73,89,1
68,14,0
68,16,0
68,18,0
99,18,0
68,35,0
71,79,1
71,91,1
85,91,1
72,40,0
72,95,1
84,95,1
85,95,1
86,95,1
98,95,1
73,17,0
77,17,0
74,22,0
82,22,0
75,41,0
90,41,0
76,48,0
77,21,0
77,31,0
77,54,1
93,54,1
78,66,1
85,66,1
89,66,1
78,81,1
78,88,1
83,88,1
79,71,1
91,71,1
82,15,0
87,15,0
82,97,1
84,96,1
85,64,1
87,26,0
90,26,0
87,80,1
90,94,1
95,84,1
96,84,1
95,86,1
95,98,1
99,11,0
