vertex_1,vertex_2,is_treated
0,66,1
12,66,1
29,66,1
39,66,1
46,66,1
95,66,1
0,72,1
42,72,1
48,72,1
80,72,1
0,79,1
49,79,1
90,79,1
91,79,1
0,98,1
23,98,1
62,98,1
78,98,1
1,11,0
1,28,0
8,28,0
40,28,0
44,28,0
2,3,0
54,3,0
64,3,0
2,22,0
6,22,0
3,2,0
22,2,0
3,54,1
7,54,1
8,54,1
3,64,1
17,64,1
31,64,1
4,7,0
54,7,0
69,7,0
4,59,1
26,59,1
37,59,1
5,32,0
21,32,0
5,33,0
43,33,0
6,9,0
10,9,0
7,4,0
59,4,0
7,69,1
23,69,1
25,69,1
65,69,1
8,31,0
64,31,0
8,36,0
61,36,0
8,55,1
13,55,1
9,6,0
22,6,0
9,10,0
11,1,0
28,1,0
13,19,0
17,19,0
43,19,0
47,19,0
13,50,1
13,57,1
44,57,1
13,63,1
14,17,0
19,17,0
64,17,0
15,24,0
35,24,0
15,38,0
47,38,0
15,56,1
16,94,1
76,94,1
17,14,0
18,84,1
23,84,1
76,84,1
19,13,0
50,13,0
55,13,0
57,13,0
63,13,0
19,43,0
33,43,0
19,47,0
38,47,0
45,47,0
20,37,0
59,37,0
60,37,0
80,37,0
20,45,0
47,45,0
23,80,1
37,80,1
46,80,1
72,80,1
24,15,0
38,15,0
56,15,0
24,35,0
53,35,0
25,87,1
75,87,1
26,40,0
28,40,0
52,40,0
27,67,1
92,67,1
28,8,0
31,8,0
36,8,0
54,8,0
55,8,0
28,44,0
57,44,0
30,77,1
74,77,1
93,77,1
32,5,0
33,5,0
32,21,0
34,62,1
48,62,1
98,62,1
35,53,1
36,61,1
37,20,0
45,20,0
37,60,1
39,83,1
58,83,1
39,99,1
41,99,1
78,99,1
96,99,1
40,26,0
59,26,0
40,52,1
46,75,1
87,75,1
49,71,1
95,71,1
51,81,1
93,81,1
51,86,1
68,86,1
73,86,1
51,89,1
62,34,0
62,48,0
72,48,0
66,0,0
72,0,0
79,0,0
98,0,0
66,12,0
66,29,0
66,39,0
83,39,0
99,39,0
66,46,0
75,46,0
80,46,0
66,95,1
71,95,1
67,27,0
67,92,1
70,92,1
69,23,0
80,23,0
84,23,0
98,23,0
69,25,0
87,25,0
69,65,1
70,85,1
88,85,1
90,85,1
71,49,0
79,49,0
72,42,0
73,96,1
82,96,1
99,96,1
76,97,1
77,30,0
77,74,1
77,93,1
81,93,1
79,90,1
85,90,1
79,91,1
81,51,1
86,51,1
89,51,1
83,58,1
84,18,0
84,76,1
94,76,1
97,76,1
85,70,1
92,70,1
85,88,1
86,68,1
86,73,1
96,73,1
94,16,0
96,82,1
98,78,1
99,78,1
99,41,0
