vertex_1,vertex_2,is_treated
0,38,0
10,38,0
0,68,1
37,68,1
1,85,1
25,85,1
94,85,1
1,86,1
46,86,1
92,86,1
2,87,1
16,87,1
47,87,1
58,87,1
2,88,1
23,88,1
97,88,1
2,90,1
16,90,1
36,90,1
94,90,1
3,18,0
30,18,0
40,18,0
3,30,0
18,30,0
3,42,0
8,42,0
28,42,0
33,42,0
4,20,0
44,20,0
67,20,0
69,20,0
4,31,0
11,31,0
19,31,0
5,35,0
54,35,0
56,35,0
5,52,1
6,14,0
51,14,0
56,14,0
67,14,0
69,14,0
7,77,1
16,77,1
25,77,1
76,77,1
7,78,1
13,78,1
46,78,1
49,78,1
82,78,1
7,92,1
70,92,1
86,92,1
7,99,1
46,99,1
70,99,1
8,12,0
8,28,0
42,28,0
45,28,0
9,41,0
27,41,0
71,41,0
11,22,0
51,22,0
60,22,0
67,22,0
71,22,0
11,47,0
17,47,0
66,47,0
87,47,0
12,8,0
28,8,0
42,8,0
14,6,0
14,51,1
19,51,1
22,51,1
14,56,1
35,56,1
14,67,1
19,67,1
20,67,1
22,67,1
14,69,1
20,69,1
15,34,0
15,45,0
28,45,0
17,60,1
19,60,1
22,60,1
26,60,1
18,3,0
30,3,0
42,3,0
18,40,0
37,40,0
20,4,0
31,4,0
20,44,0
39,44,0
71,44,0
72,44,0
21,26,0
60,26,0
21,50,1
22,11,0
31,11,0
47,11,0
22,71,1
41,71,1
44,71,1
24,91,1
29,91,1
73,91,1
26,21,0
50,21,0
27,32,0
33,32,0
27,39,0
44,39,0
31,19,0
51,19,0
60,19,0
67,19,0
32,27,0
39,27,0
41,27,0
32,33,0
42,33,0
34,15,0
45,15,0
35,5,0
52,5,0
35,54,1
36,89,1
57,89,1
38,0,0
68,0,0
38,10,0
40,37,0
68,37,0
41,9,0
43,73,1
91,73,1
43,74,1
48,74,1
93,74,1
98,74,1
44,72,1
47,17,0
60,17,0
47,66,1
53,57,1
89,57,1
53,59,1
65,59,1
53,98,1
62,98,1
74,98,1
55,64,1
63,64,1
96,64,1
55,65,1
59,65,1
55,84,1
93,84,1
57,53,1
59,53,1
98,53,1
58,95,1
63,95,1
61,62,1
98,62,1
61,80,1
79,80,1
62,61,1
80,61,1
64,55,1
65,55,1
84,55,1
64,63,1
95,63,1
64,96,1
73,43,0
74,43,0
74,48,0
74,93,1
84,93,1
75,94,1
81,94,1
85,94,1
90,94,1
97,94,1
77,7,0
78,7,0
92,7,0
99,7,0
77,16,0
87,16,0
90,16,0
77,25,0
85,25,0
77,76,1
78,13,0
78,46,0
86,46,0
99,46,0
78,49,0
78,82,1
80,79,1
83,97,1
88,97,1
94,97,1
85,1,0
86,1,0
87,2,0
88,2,0
90,2,0
87,58,1
95,58,1
88,23,0
89,36,0
90,36,0
91,24,0
91,29,0
92,70,1
99,70,1
94,75,1
94,81,1
97,83,1
