vertex_1,vertex_2,is_treated
0,17,0
20,17,0
1,53,1
30,53,1
98,53,1
1,70,1
30,70,1
82,70,1
2,85,1
37,85,1
49,85,1
93,85,1
3,71,1
19,71,1
37,71,1
38,71,1
49,71,1
94,71,1
4,9,0
5,9,0
21,9,0
4,27,0
41,27,0
4,42,0
50,42,0
99,42,0
4,48,0
40,48,0
45,48,0
5,10,0
32,10,0
63,10,0
6,47,0
34,47,0
7,34,0
14,34,0
47,34,0
7,56,1
11,56,1
32,56,1
8,21,0
9,21,0
8,39,0
13,39,0
24,39,0
8,64,1
9,4,0
27,4,0
42,4,0
48,4,0
9,5,0
10,5,0
10,32,0
56,32,0
63,32,0
10,63,1
20,63,1
32,63,1
11,44,0
22,44,0
11,60,1
11,68,1
31,68,1
67,68,1
12,33,0
14,33,0
13,16,0
29,16,0
43,16,0
15,80,1
84,80,1
15,99,1
42,99,1
65,99,1
16,13,0
39,13,0
16,29,0
24,29,0
16,43,0
17,0,0
17,20,0
26,20,0
63,20,0
18,86,1
95,86,1
18,98,1
37,98,1
53,98,1
19,79,1
35,79,1
95,79,1
20,26,0
21,8,0
39,8,0
64,8,0
22,51,1
22,55,1
23,78,1
61,78,1
74,78,1
92,78,1
23,91,1
25,91,1
72,91,1
23,96,1
88,96,1
24,54,1
24,62,1
25,89,1
37,89,1
81,89,1
95,89,1
27,41,0
28,69,1
38,69,1
49,69,1
52,69,1
29,24,0
39,24,0
54,24,0
62,24,0
30,67,1
68,67,1
30,84,1
80,84,1
31,65,1
49,65,1
99,65,1
31,66,1
59,66,1
31,76,1
83,76,1
33,12,0
33,14,0
34,14,0
34,7,0
56,7,0
36,40,0
48,40,0
40,36,0
42,50,1
44,11,0
56,11,0
60,11,0
68,11,0
44,22,0
51,22,0
55,22,0
46,73,1
90,73,1
47,6,0
48,45,0
49,74,1
78,74,1
49,97,1
58,97,1
53,1,0
70,1,0
53,30,0
67,30,0
70,30,0
84,30,0
57,61,1
78,61,1
87,61,1
59,94,1
71,94,1
81,94,1
93,94,1
61,57,1
61,87,1
65,31,0
66,31,0
68,31,0
76,31,0
65,49,0
69,49,0
71,49,0
74,49,0
85,49,0
97,49,0
66,59,1
94,59,1
69,28,0
69,38,0
71,38,0
69,52,1
70,82,1
71,3,0
71,19,0
79,19,0
71,37,0
85,37,0
89,37,0
98,37,0
73,46,0
73,90,1
75,90,1
81,90,1
92,90,1
76,83,1
77,93,1
85,93,1
94,93,1
78,23,0
91,23,0
96,23,0
78,92,1
90,92,1
79,35,0
79,95,1
81,95,1
86,95,1
89,95,1
80,15,0
99,15,0
85,2,0
86,18,0
98,18,0
89,25,0
91,25,0
89,81,1
90,81,1
94,81,1
95,81,1
90,75,1
91,72,1
93,77,1
96,88,1
97,58,1
