vertex_1,vertex_2,is_treated
0,14,0
33,14,0
0,66,1
6,66,1
34,66,1
1,34,0
37,34,0
66,34,0
1,39,0
1,41,0
43,41,0
57,41,0
2,13,0
37,13,0
3,71,1
78,71,1
3,76,1
55,76,1
3,90,1
36,90,1
87,90,1
4,78,1
71,78,1
5,77,1
85,77,1
92,77,1
5,93,1
12,93,1
74,93,1
5,96,1
9,96,1
15,96,1
82,96,1
6,30,0
8,30,0
43,30,0
64,30,0
68,30,0
7,81,1
20,81,1
23,81,1
98,81,1
7,98,1
12,98,1
25,98,1
81,98,1
9,82,1
96,82,1
10,48,0
22,48,0
37,48,0
11,32,0
52,32,0
64,32,0
68,32,0
11,59,1
12,72,1
91,72,1
13,2,0
13,37,0
34,37,0
40,37,0
48,37,0
14,0,0
66,0,0
14,33,0
15,28,0
57,28,0
15,44,0
49,44,0
16,46,0
16,64,1
29,64,1
30,64,1
32,64,1
17,63,1
89,63,1
18,70,1
62,70,1
80,70,1
19,38,0
40,38,0
56,38,0
58,38,0
19,42,0
21,42,0
19,56,1
21,56,1
38,56,1
19,65,1
19,94,1
35,94,1
50,94,1
20,62,1
70,62,1
21,54,1
22,40,0
37,40,0
38,40,0
45,40,0
23,50,1
94,50,1
97,50,1
23,95,1
27,95,1
53,95,1
24,61,1
31,61,1
89,61,1
26,29,0
64,29,0
26,47,0
36,47,0
28,15,0
44,15,0
96,15,0
28,57,1
36,57,1
41,57,1
29,26,0
47,26,0
30,6,0
66,6,0
30,8,0
30,43,0
41,43,0
30,68,1
32,68,1
32,11,0
59,11,0
32,52,1
36,52,1
34,1,0
39,1,0
41,1,0
38,19,0
42,19,0
56,19,0
65,19,0
94,19,0
38,58,1
40,22,0
48,22,0
40,45,0
42,21,0
54,21,0
56,21,0
44,49,0
46,16,0
64,16,0
47,36,0
52,36,0
57,36,0
90,36,0
48,10,0
50,23,0
81,23,0
95,23,0
50,97,1
73,97,1
84,97,1
51,85,1
53,85,1
77,85,1
83,85,1
53,75,1
55,86,1
69,86,1
55,89,1
61,89,1
63,89,1
79,89,1
60,67,1
69,67,1
61,24,0
61,31,0
62,20,0
81,20,0
63,17,0
67,60,1
67,69,1
86,69,1
88,69,1
69,88,1
70,18,0
70,80,1
71,3,0
76,3,0
90,3,0
72,12,0
93,12,0
98,12,0
72,91,1
75,53,1
85,53,1
95,53,1
76,55,1
86,55,1
89,55,1
77,5,0
93,5,0
96,5,0
77,92,1
78,4,0
81,7,0
98,7,0
82,9,0
96,9,0
85,51,1
85,83,1
87,99,1
89,79,1
90,87,1
99,87,1
93,74,1
94,35,0
95,27,0
97,73,1
97,84,1
98,25,0
