vertex_1,vertex_2,is_treated
0,10,0
21,10,0
41,10,0
46,10,0
0,14,0
15,14,0
54,14,0
57,14,0
63,14,0
0,26,0
3,26,0
5,26,0
0,36,0
44,36,0
45,36,0
1,67,1
19,67,1
27,67,1
30,67,1
96,67,1
2,68,1
6,68,1
24,68,1
30,68,1
62,68,1
78,68,1
4,50,1
85,50,1
89,50,1
5,8,0
22,8,0
31,8,0
37,8,0
46,8,0
5,48,0
7,48,0
6,86,1
30,86,1
74,86,1
7,58,1
7,79,1
13,79,1
47,79,1
89,79,1
8,5,0
26,5,0
48,5,0
8,22,0
37,22,0
94,22,0
96,22,0
8,31,0
44,31,0
8,37,0
20,37,0
22,37,0
8,46,0
10,46,0
44,46,0
9,11,0
35,11,0
49,11,0
9,23,0
45,23,0
60,23,0
10,0,0
14,0,0
26,0,0
36,0,0
10,21,0
10,41,0
25,41,0
34,41,0
11,9,0
23,9,0
11,35,0
16,35,0
29,35,0
11,49,0
45,49,0
55,49,0
57,49,0
12,29,0
35,29,0
53,29,0
55,29,0
13,80,1
71,80,1
14,15,0
14,54,1
14,57,1
49,57,1
14,63,1
17,73,1
32,73,1
33,73,1
94,73,1
17,92,1
82,92,1
18,65,1
91,65,1
18,97,1
43,97,1
76,97,1
19,93,1
40,93,1
99,93,1
19,96,1
22,96,1
30,96,1
51,96,1
67,96,1
20,56,1
22,94,1
38,94,1
73,94,1
23,45,0
36,45,0
49,45,0
61,45,0
23,60,1
25,55,1
29,55,1
49,55,1
26,3,0
28,42,0
44,42,0
28,59,1
28,64,1
29,12,0
29,53,1
30,91,1
40,91,1
65,91,1
88,91,1
89,91,1
31,44,0
36,44,0
42,44,0
46,44,0
35,16,0
37,20,0
56,20,0
39,72,1
70,72,1
41,25,0
55,25,0
41,34,0
42,28,0
59,28,0
64,28,0
45,61,1
48,7,0
58,7,0
79,7,0
50,4,0
50,85,1
50,89,1
76,89,1
79,89,1
81,89,1
91,89,1
51,52,1
84,52,1
52,51,1
96,51,1
52,84,1
83,84,1
87,84,1
62,87,1
84,87,1
65,18,0
97,18,0
66,69,1
66,88,1
70,88,1
91,88,1
67,1,0
67,19,0
93,19,0
96,19,0
67,27,0
67,30,0
68,30,0
86,30,0
91,30,0
96,30,0
68,2,0
68,6,0
86,6,0
68,24,0
68,62,1
87,62,1
68,78,1
71,78,1
69,66,1
88,66,1
71,82,1
92,82,1
72,39,0
72,70,1
88,70,1
73,17,0
92,17,0
73,32,0
73,33,0
74,83,1
75,83,1
84,83,1
98,83,1
74,90,1
95,90,1
75,77,1
77,75,1
83,75,1
78,71,1
80,71,1
82,71,1
79,13,0
80,13,0
79,47,0
83,74,1
86,74,1
90,74,1
83,98,1
95,98,1
89,76,1
97,76,1
89,81,1
90,95,1
98,95,1
91,40,0
93,40,0
93,99,1
94,38,0
97,43,0
