vertex_1,vertex_2,is_treated
0,1,0
14,1,0
43,1,0
0,11,0
30,11,0
49,11,0
66,11,0
1,0,0
11,0,0
1,14,0
47,14,0
1,43,0
37,43,0
48,43,0
51,43,0
2,8,0
40,8,0
46,8,0
2,41,0
5,41,0
3,52,1
28,52,1
89,52,1
4,79,1
13,79,1
40,79,1
55,79,1
5,32,0
58,32,0
5,54,1
6,70,1
26,70,1
29,70,1
63,70,1
6,86,1
26,86,1
44,86,1
84,86,1
6,96,1
25,96,1
67,96,1
7,62,1
22,62,1
34,62,1
81,62,1
7,95,1
21,95,1
83,95,1
7,97,1
26,97,1
27,97,1
98,97,1
8,2,0
41,2,0
8,40,0
42,40,0
79,40,0
8,46,0
28,46,0
9,60,1
16,60,1
63,60,1
10,35,0
19,35,0
20,35,0
31,35,0
48,35,0
10,66,1
11,66,1
11,30,0
50,30,0
57,30,0
11,49,0
58,49,0
12,36,0
12,82,1
13,82,1
93,82,1
14,47,0
58,47,0
15,20,0
17,20,0
35,20,0
50,20,0
16,92,1
72,92,1
91,92,1
17,24,0
18,24,0
48,24,0
18,39,0
42,39,0
65,39,0
19,53,1
19,56,1
19,59,1
19,69,1
19,78,1
26,78,1
81,78,1
20,15,0
20,17,0
24,17,0
20,50,1
30,50,1
21,85,1
29,85,1
77,85,1
23,80,1
34,80,1
55,80,1
24,18,0
39,18,0
24,48,0
35,48,0
43,48,0
30,57,1
42,57,1
32,5,0
41,5,0
54,5,0
32,58,1
47,58,1
49,58,1
33,72,1
92,72,1
35,10,0
66,10,0
35,19,0
53,19,0
56,19,0
59,19,0
69,19,0
78,19,0
35,31,0
36,12,0
82,12,0
37,61,1
37,87,1
81,87,1
37,90,1
38,90,1
44,90,1
74,90,1
91,90,1
39,42,0
40,42,0
57,42,0
39,65,1
43,37,0
61,37,0
87,37,0
90,37,0
43,51,1
44,68,1
76,68,1
45,88,1
98,88,1
46,28,0
52,28,0
52,3,0
52,89,1
98,89,1
55,77,1
85,77,1
55,94,1
71,94,1
60,9,0
60,16,0
92,16,0
60,63,1
70,63,1
62,7,0
95,7,0
97,7,0
62,22,0
62,34,0
80,34,0
62,81,1
64,81,1
78,81,1
87,81,1
67,75,1
68,44,0
86,44,0
90,44,0
68,76,1
70,6,0
86,6,0
96,6,0
70,26,0
78,26,0
86,26,0
97,26,0
70,29,0
85,29,0
71,98,1
73,98,1
88,98,1
89,98,1
97,98,1
99,98,1
72,33,0
73,99,1
98,99,1
75,67,1
96,67,1
77,55,1
79,55,1
80,55,1
94,55,1
79,4,0
79,13,0
82,13,0
80,23,0
81,64,1
82,93,1
85,21,0
95,21,0
86,84,1
88,45,0
90,38,0
90,74,1
90,91,1
92,91,1
94,71,1
98,71,1
95,83,1
96,25,0
97,27,0
98,73,1
99,73,1
