vertex_1,vertex_2,is_treated
0,15,0
10,15,0
1,5,0
33,5,0
1,47,0
10,47,0
38,47,0
1,63,1
48,63,1
2,50,1
23,50,1
27,50,1
46,50,1
69,50,1
3,8,0
7,8,0
11,8,0
40,8,0
3,11,0
8,11,0
19,11,0
3,39,0
41,39,0
4,35,0
4,40,0
8,40,0
49,40,0
5,1,0
47,1,0
63,1,0
5,33,0
6,21,0
61,21,0
70,21,0
81,21,0
6,31,0
55,31,0
68,31,0
71,31,0
6,41,0
39,41,0
52,41,0
7,34,0
44,34,0
8,3,0
11,3,0
39,3,0
8,7,0
34,7,0
9,43,0
13,43,0
36,43,0
9,55,1
31,55,1
10,16,0
71,16,0
72,16,0
73,16,0
10,22,0
14,22,0
11,19,0
20,19,0
12,81,1
21,81,1
51,81,1
13,58,1
14,58,1
15,0,0
15,10,0
16,10,0
22,10,0
47,10,0
16,71,1
24,71,1
31,71,1
16,72,1
24,72,1
38,72,1
48,72,1
16,73,1
17,89,1
29,89,1
53,89,1
18,77,1
64,77,1
19,20,0
21,6,0
31,6,0
41,6,0
21,61,1
21,70,1
38,70,1
22,14,0
58,14,0
23,66,1
42,66,1
56,66,1
98,66,1
23,76,1
94,76,1
23,82,1
26,82,1
86,82,1
23,85,1
29,85,1
45,85,1
78,85,1
90,85,1
23,97,1
62,97,1
24,48,0
32,48,0
63,48,0
65,48,0
72,48,0
24,68,1
31,68,1
37,68,1
25,56,1
66,56,1
84,56,1
25,96,1
59,96,1
92,96,1
27,67,1
51,67,1
91,67,1
28,62,1
83,62,1
97,62,1
30,44,0
34,44,0
35,4,0
40,4,0
37,49,0
40,49,0
37,57,1
37,60,1
38,65,1
48,65,1
41,52,1
43,9,0
55,9,0
43,13,0
58,13,0
43,36,0
44,30,0
45,54,1
80,54,1
86,54,1
46,87,1
64,87,1
47,38,0
65,38,0
70,38,0
72,38,0
48,24,0
68,24,0
71,24,0
72,24,0
48,32,0
49,37,0
57,37,0
60,37,0
68,37,0
50,2,0
50,23,0
66,23,0
76,23,0
82,23,0
85,23,0
97,23,0
50,27,0
67,27,0
50,46,0
87,46,0
50,69,1
86,69,1
93,69,1
51,79,1
51,99,1
53,90,1
78,90,1
85,90,1
54,45,0
85,45,0
54,80,1
54,86,1
69,86,1
82,86,1
98,86,1
56,25,0
96,25,0
56,84,1
59,64,1
77,64,1
87,64,1
62,28,0
62,83,1
95,83,1
64,59,1
96,59,1
66,42,0
66,98,1
86,98,1
67,51,1
79,51,1
81,51,1
99,51,1
67,91,1
75,91,1
69,93,1
74,94,1
75,94,1
76,94,1
78,94,1
77,18,0
78,88,1
81,12,0
82,26,0
83,95,1
85,29,0
89,29,0
85,78,1
88,78,1
90,78,1
94,78,1
89,17,0
89,53,1
90,53,1
91,75,1
94,75,1
94,74,1
96,92,1
