vertex_1,vertex_2,is_treated
0,64,1
43,64,1
63,64,1
85,64,1
1,57,1
15,57,1
59,57,1
1,59,1
16,59,1
44,59,1
57,59,1
1,68,1
70,68,1
83,68,1
2,30,0
65,30,0
2,55,1
2,61,1
3,31,0
10,31,0
25,31,0
39,31,0
41,31,0
3,52,1
3,96,1
34,96,1
46,96,1
74,96,1
4,54,1
28,54,1
82,54,1
4,87,1
27,87,1
49,87,1
88,87,1
4,92,1
8,92,1
40,92,1
93,92,1
5,27,0
87,27,0
6,77,1
16,77,1
73,77,1
6,83,1
12,83,1
16,83,1
39,83,1
68,83,1
7,24,0
32,24,0
38,24,0
7,36,0
35,36,0
9,41,0
31,41,0
10,32,0
14,32,0
24,32,0
11,93,1
13,93,1
26,93,1
92,93,1
14,29,0
19,29,0
38,29,0
16,85,1
33,85,1
64,85,1
17,48,0
42,48,0
18,37,0
62,37,0
66,37,0
18,65,1
30,65,1
42,65,1
18,66,1
20,66,1
21,66,1
37,66,1
19,81,1
86,81,1
20,28,0
54,28,0
20,69,1
21,34,0
53,34,0
60,34,0
82,34,0
91,34,0
94,34,0
96,34,0
21,71,1
22,25,0
23,25,0
31,25,0
22,76,1
23,35,0
36,35,0
23,47,0
24,7,0
36,7,0
24,38,0
29,38,0
25,22,0
76,22,0
25,23,0
35,23,0
47,23,0
26,88,1
87,88,1
26,97,1
45,97,1
73,97,1
27,5,0
28,20,0
66,20,0
69,20,0
29,14,0
32,14,0
29,19,0
81,19,0
30,2,0
55,2,0
61,2,0
31,3,0
52,3,0
96,3,0
31,10,0
32,10,0
31,39,0
62,39,0
83,39,0
34,21,0
66,21,0
71,21,0
34,53,1
34,60,1
34,82,1
54,82,1
78,82,1
95,82,1
34,91,1
90,91,1
34,94,1
45,94,1
72,94,1
37,18,0
65,18,0
66,18,0
37,62,1
39,62,1
41,9,0
43,75,1
46,75,1
67,75,1
48,17,0
48,42,0
65,42,0
50,51,1
98,51,1
50,58,1
51,50,1
58,50,1
51,98,1
72,98,1
54,4,0
87,4,0
92,4,0
56,63,1
64,63,1
57,1,0
59,1,0
68,1,0
57,15,0
59,16,0
77,16,0
83,16,0
85,16,0
59,44,0
63,56,1
64,0,0
64,43,0
75,43,0
67,89,1
68,70,1
80,70,1
70,80,1
73,99,1
74,79,1
75,46,0
96,46,0
75,67,1
89,67,1
77,6,0
83,6,0
77,73,1
97,73,1
99,73,1
78,84,1
79,74,1
96,74,1
81,86,1
82,78,1
84,78,1
82,95,1
83,12,0
85,33,0
87,49,0
88,26,0
93,26,0
97,26,0
91,90,1
92,8,0
92,40,0
93,11,0
93,13,0
94,45,0
97,45,0
94,72,1
98,72,1
