vertex_1,vertex_2,is_treated
0,77,1
36,77,1
67,77,1
1,78,1
36,78,1
39,78,1
51,78,1
1,80,1
73,80,1
1,89,1
26,89,1
98,89,1
2,16,0
8,16,0
10,16,0
17,16,0
27,16,0
64,16,0
2,62,1
11,62,1
24,62,1
2,65,1
19,65,1
3,7,0
42,7,0
4,53,1
82,53,1
4,58,1
73,58,1
4,88,1
32,88,1
85,88,1
4,97,1
5,97,1
32,97,1
41,97,1
61,97,1
5,49,0
5,57,1
11,57,1
21,57,1
28,57,1
5,64,1
16,64,1
21,64,1
25,64,1
5,76,1
35,76,1
6,35,0
43,35,0
76,35,0
6,48,0
17,48,0
7,3,0
7,42,0
22,42,0
56,42,0
8,15,0
47,15,0
8,22,0
24,22,0
29,22,0
37,22,0
42,22,0
8,46,0
9,12,0
56,12,0
9,21,0
57,21,0
64,21,0
9,68,1
11,37,0
22,37,0
12,9,0
21,9,0
68,9,0
12,56,1
42,56,1
13,66,1
36,66,1
44,66,1
99,66,1
13,98,1
36,98,1
40,98,1
89,98,1
14,25,0
64,25,0
14,33,0
15,8,0
16,8,0
22,8,0
46,8,0
15,47,0
27,47,0
16,2,0
62,2,0
65,2,0
16,10,0
16,17,0
48,17,0
79,17,0
16,27,0
47,27,0
17,79,1
18,81,1
30,81,1
95,81,1
19,28,0
57,28,0
19,72,1
20,72,1
20,23,0
20,38,0
20,74,1
22,24,0
62,24,0
22,29,0
23,20,0
38,20,0
72,20,0
74,20,0
25,14,0
33,14,0
28,19,0
65,19,0
72,19,0
31,52,1
54,52,1
75,52,1
31,90,1
60,90,1
32,82,1
53,82,1
34,63,1
85,63,1
95,63,1
34,91,1
95,91,1
96,91,1
35,6,0
48,6,0
35,43,0
55,43,0
36,92,1
61,92,1
37,11,0
57,11,0
62,11,0
39,70,1
69,70,1
43,55,1
44,84,1
69,84,1
45,94,1
59,94,1
49,5,0
57,5,0
64,5,0
76,5,0
97,5,0
50,60,1
90,60,1
93,60,1
50,69,1
70,69,1
84,69,1
52,31,0
90,31,0
52,54,1
83,54,1
52,75,1
53,4,0
58,4,0
88,4,0
97,4,0
54,83,1
58,73,1
80,73,1
59,86,1
59,95,1
63,95,1
81,95,1
91,95,1
60,50,1
69,50,1
60,93,1
63,34,0
91,34,0
63,85,1
88,85,1
66,13,0
98,13,0
66,36,0
77,36,0
78,36,0
92,36,0
98,36,0
66,44,0
84,44,0
66,99,1
67,71,1
70,39,0
78,39,0
71,67,1
77,67,1
77,0,0
78,1,0
80,1,0
89,1,0
78,51,1
81,18,0
81,30,0
82,32,0
88,32,0
97,32,0
86,59,1
94,59,1
95,59,1
87,96,1
91,96,1
89,26,0
92,61,1
97,61,1
94,45,0
96,87,1
97,41,0
98,40,0
