vertex_1,vertex_2,is_treated
0,9,0
24,9,0
65,9,0
0,19,0
42,19,0
0,49,0
2,49,0
10,49,0
1,43,0
45,43,0
76,43,0
1,46,0
18,46,0
1,50,1
3,50,1
1,63,1
1,95,1
62,95,1
2,61,1
40,61,1
41,61,1
45,61,1
2,84,1
37,84,1
87,84,1
93,84,1
2,92,1
16,92,1
39,92,1
57,92,1
3,18,0
34,18,0
46,18,0
3,51,1
7,51,1
41,51,1
4,11,0
33,11,0
4,21,0
10,21,0
31,21,0
4,36,0
97,36,0
5,80,1
81,80,1
98,80,1
6,42,0
19,42,0
7,23,0
20,23,0
30,23,0
7,56,1
45,56,1
8,68,1
12,68,1
47,68,1
62,68,1
90,68,1
9,0,0
19,0,0
49,0,0
9,24,0
9,65,1
14,65,1
11,4,0
21,4,0
36,4,0
11,33,0
59,33,0
97,33,0
12,97,1
33,97,1
36,97,1
69,97,1
13,73,1
57,73,1
13,94,1
17,94,1
44,94,1
45,94,1
81,94,1
14,41,0
35,41,0
51,41,0
54,41,0
61,41,0
14,78,1
77,78,1
15,34,0
18,34,0
48,34,0
18,3,0
50,3,0
51,3,0
21,10,0
49,10,0
21,31,0
22,74,1
38,74,1
75,74,1
23,7,0
51,7,0
56,7,0
23,20,0
23,30,0
40,30,0
45,30,0
25,27,0
35,27,0
25,48,0
34,48,0
26,55,1
44,55,1
47,55,1
66,55,1
83,55,1
27,25,0
48,25,0
27,35,0
41,35,0
28,32,0
53,32,0
29,69,1
97,69,1
30,40,0
53,40,0
61,40,0
30,45,0
43,45,0
52,45,0
56,45,0
61,45,0
94,45,0
32,28,0
32,53,1
40,53,1
33,59,1
34,15,0
37,85,1
72,85,1
39,67,1
86,67,1
41,14,0
65,14,0
78,14,0
41,54,1
42,6,0
43,1,0
46,1,0
50,1,0
63,1,0
95,1,0
43,76,1
79,76,1
45,52,1
47,71,1
66,71,1
90,71,1
49,2,0
61,2,0
84,2,0
92,2,0
55,26,0
55,44,0
94,44,0
55,47,0
68,47,0
71,47,0
55,66,1
71,66,1
55,83,1
58,83,1
57,58,1
83,58,1
57,96,1
91,96,1
58,57,1
73,57,1
92,57,1
96,57,1
60,89,1
64,89,1
60,90,1
68,90,1
71,90,1
64,75,1
72,75,1
74,75,1
67,39,0
92,39,0
67,86,1
68,8,0
68,12,0
97,12,0
68,62,1
95,62,1
69,29,0
70,93,1
84,93,1
73,13,0
94,13,0
74,22,0
74,38,0
75,64,1
89,64,1
75,72,1
85,72,1
76,79,1
88,79,1
77,99,1
78,77,1
99,77,1
79,88,1
80,5,0
80,81,1
82,81,1
94,81,1
80,98,1
81,82,1
84,37,0
85,37,0
84,87,1
89,60,1
90,60,1
92,16,0
93,70,1
94,17,0
96,91,1
