vertex_1,vertex_2,is_treated
0,11,0
0,58,1
45,58,1
0,74,1
4,74,1
8,74,1
1,13,0
15,13,0
18,13,0
68,13,0
2,8,0
17,8,0
37,8,0
74,8,0
3,49,0
57,49,0
3,55,1
3,57,1
4,57,1
49,57,1
3,65,1
5,65,1
4,5,0
61,5,0
65,5,0
68,5,0
5,4,0
57,4,0
74,4,0
5,61,1
38,61,1
5,68,1
13,68,1
31,68,1
34,68,1
6,50,1
20,50,1
33,50,1
95,50,1
6,63,1
19,63,1
20,63,1
89,63,1
7,52,1
12,52,1
27,52,1
73,52,1
7,95,1
43,95,1
50,95,1
8,2,0
8,17,0
44,17,0
62,17,0
8,37,0
23,37,0
46,37,0
71,37,0
9,42,0
15,42,0
10,34,0
51,34,0
68,34,0
11,0,0
58,0,0
74,0,0
12,77,1
35,77,1
84,77,1
12,82,1
81,82,1
12,93,1
33,93,1
76,93,1
13,1,0
13,15,0
42,15,0
13,18,0
72,18,0
14,22,0
38,22,0
14,36,0
16,36,0
69,36,0
17,44,0
31,44,0
47,44,0
17,62,1
45,62,1
18,72,1
21,31,0
44,31,0
68,31,0
21,54,1
38,54,1
22,14,0
36,14,0
22,38,0
54,38,0
61,38,0
23,45,0
58,45,0
62,45,0
24,99,1
32,99,1
92,99,1
25,47,0
44,47,0
25,64,1
26,30,0
26,39,0
29,39,0
48,39,0
28,78,1
70,78,1
28,97,1
41,97,1
67,97,1
29,59,1
43,59,1
66,59,1
30,26,0
39,26,0
31,21,0
54,21,0
32,85,1
40,85,1
87,85,1
33,75,1
40,75,1
92,75,1
34,10,0
34,51,1
83,51,1
87,51,1
36,16,0
36,69,1
46,69,1
37,23,0
45,23,0
37,46,0
69,46,0
37,71,1
39,29,0
59,29,0
39,48,0
40,56,1
94,56,1
42,9,0
47,25,0
64,25,0
49,3,0
55,3,0
57,3,0
65,3,0
50,6,0
63,6,0
50,20,0
63,20,0
50,33,0
75,33,0
93,33,0
51,83,1
51,87,1
53,87,1
70,87,1
85,87,1
52,7,0
95,7,0
52,12,0
77,12,0
82,12,0
93,12,0
52,27,0
52,73,1
88,73,1
56,40,0
75,40,0
85,40,0
56,94,1
67,94,1
59,43,0
95,43,0
59,66,1
76,66,1
80,66,1
98,66,1
60,70,1
78,70,1
87,70,1
91,70,1
63,19,0
63,89,1
66,76,1
93,76,1
66,80,1
90,80,1
66,98,1
67,79,1
67,86,1
70,60,1
70,91,1
73,88,1
75,92,1
99,92,1
77,35,0
77,84,1
78,28,0
97,28,0
79,67,1
86,67,1
94,67,1
97,67,1
80,90,1
96,90,1
82,81,1
85,32,0
99,32,0
87,53,1
90,96,1
97,41,0
99,24,0
