vertex_1,vertex_2,is_treated
0,22,0
14,22,0
48,22,0
0,50,1
5,50,1
0,61,1
16,61,1
33,61,1
64,61,1
0,82,1
15,82,1
76,82,1
1,64,1
41,64,1
61,64,1
1,76,1
27,76,1
82,76,1
1,87,1
7,87,1
8,87,1
45,87,1
81,87,1
2,69,1
97,69,1
98,69,1
2,78,1
25,78,1
94,78,1
2,83,1
70,83,1
2,89,1
75,89,1
3,5,0
31,5,0
50,5,0
56,5,0
4,32,0
59,32,0
5,3,0
5,31,0
5,56,1
23,56,1
26,56,1
6,8,0
52,8,0
65,8,0
87,8,0
8,6,0
8,52,1
40,52,1
8,65,1
23,65,1
44,65,1
9,29,0
18,29,0
10,13,0
19,13,0
44,13,0
10,26,0
42,26,0
56,26,0
68,26,0
10,66,1
23,66,1
49,66,1
11,88,1
97,88,1
12,92,1
39,92,1
45,92,1
85,92,1
13,10,0
26,10,0
66,10,0
13,19,0
14,19,0
49,19,0
13,44,0
65,44,0
70,44,0
14,18,0
29,18,0
48,18,0
15,79,1
86,79,1
17,24,0
38,24,0
18,14,0
19,14,0
22,14,0
18,48,0
20,48,0
22,48,0
53,48,0
19,49,0
38,49,0
66,49,0
20,23,0
56,23,0
57,23,0
65,23,0
66,23,0
20,28,0
34,28,0
20,30,0
21,30,0
43,30,0
21,35,0
36,35,0
22,0,0
50,0,0
61,0,0
82,0,0
23,20,0
28,20,0
30,20,0
48,20,0
23,57,1
24,17,0
24,38,0
49,38,0
26,42,0
58,42,0
26,68,1
28,34,0
58,34,0
29,9,0
30,21,0
35,21,0
30,43,0
32,4,0
32,59,1
41,59,1
46,59,1
77,59,1
34,58,1
42,58,1
35,36,0
40,36,0
36,40,0
52,40,0
37,99,1
93,99,1
39,90,1
95,90,1
44,70,1
62,70,1
83,70,1
45,96,1
46,96,1
55,96,1
47,84,1
75,84,1
48,53,1
51,63,1
98,63,1
51,93,1
60,93,1
71,93,1
72,93,1
99,93,1
51,98,1
63,98,1
67,98,1
69,98,1
54,74,1
62,74,1
75,74,1
59,41,0
64,41,0
59,46,0
96,46,0
59,77,1
60,91,1
61,16,0
61,33,0
62,80,1
63,51,1
93,51,1
98,51,1
64,1,0
76,1,0
87,1,0
67,73,1
69,2,0
78,2,0
83,2,0
89,2,0
69,97,1
88,97,1
70,62,1
74,62,1
80,62,1
73,67,1
98,67,1
74,54,1
74,75,1
84,75,1
89,75,1
76,27,0
78,25,0
78,94,1
79,15,0
82,15,0
79,86,1
84,47,0
87,7,0
87,45,0
92,45,0
96,45,0
87,81,1
88,11,0
90,39,0
92,39,0
90,95,1
91,60,1
93,60,1
92,12,0
92,85,1
93,71,1
93,72,1
96,55,1
99,37,0
