vertex_1,vertex_2,is_treated
0,19,0
57,19,0
0,62,1
31,62,1
37,62,1
0,67,1
1,75,1
7,75,1
60,75,1
91,75,1
1,76,1
16,76,1
23,76,1
38,76,1
96,76,1
1,84,1
95,84,1
1,90,1
58,90,1
2,31,0
62,31,0
3,37,0
20,37,0
49,37,0
62,37,0
3,55,1
8,55,1
21,55,1
24,55,1
30,55,1
3,56,1
4,56,1
33,56,1
46,56,1
3,68,1
4,8,0
13,8,0
55,8,0
66,8,0
4,24,0
6,24,0
55,24,0
5,74,1
79,74,1
5,94,1
9,94,1
39,94,1
58,94,1
6,28,0
57,28,0
7,33,0
56,33,0
7,59,1
8,4,0
24,4,0
56,4,0
8,13,0
8,66,1
41,66,1
81,66,1
9,87,1
21,87,1
73,87,1
9,93,1
23,93,1
42,93,1
92,93,1
10,18,0
40,18,0
10,26,0
17,26,0
30,26,0
36,26,0
10,46,0
56,46,0
10,51,1
11,12,0
34,12,0
71,12,0
11,45,0
44,45,0
63,45,0
11,52,1
11,69,1
12,11,0
45,11,0
52,11,0
69,11,0
12,34,0
32,34,0
48,34,0
12,71,1
16,71,1
99,71,1
14,35,0
22,35,0
32,35,0
15,85,1
53,85,1
97,85,1
17,63,1
45,63,1
18,10,0
26,10,0
46,10,0
51,10,0
18,40,0
22,40,0
19,0,0
62,0,0
67,0,0
19,57,1
28,57,1
20,32,0
34,32,0
35,32,0
21,30,0
26,30,0
55,30,0
23,86,1
29,86,1
47,86,1
97,86,1
24,6,0
28,6,0
25,88,1
96,88,1
25,91,1
75,91,1
26,17,0
63,17,0
26,36,0
65,36,0
27,79,1
74,79,1
30,21,0
55,21,0
87,21,0
31,2,0
32,20,0
37,20,0
33,7,0
59,7,0
75,7,0
34,48,0
35,14,0
35,22,0
40,22,0
36,65,1
37,3,0
55,3,0
56,3,0
68,3,0
37,49,0
39,61,1
50,61,1
39,73,1
87,73,1
98,73,1
41,83,1
89,83,1
43,82,1
64,82,1
45,44,0
50,72,1
50,98,1
73,98,1
77,98,1
80,98,1
54,64,1
77,64,1
82,64,1
96,64,1
58,96,1
64,96,1
76,96,1
88,96,1
61,39,0
73,39,0
94,39,0
61,50,1
72,50,1
98,50,1
64,54,1
64,77,1
70,77,1
78,77,1
98,77,1
66,41,0
83,41,0
66,81,1
71,16,0
76,16,0
71,99,1
74,5,0
94,5,0
75,1,0
76,1,0
84,1,0
90,1,0
75,60,1
76,23,0
86,23,0
93,23,0
76,38,0
77,70,1
77,78,1
79,27,0
82,43,0
83,89,1
97,89,1
84,95,1
85,15,0
85,53,1
85,97,1
86,97,1
89,97,1
86,29,0
86,47,0
87,9,0
93,9,0
94,9,0
88,25,0
91,25,0
90,58,1
94,58,1
96,58,1
93,42,0
93,92,1
98,80,1
