vertex_1,vertex_2,is_treated
0,68,1
18,68,1
38,68,1
79,68,1
0,81,1
69,81,1
90,81,1
1,3,0
26,3,0
42,3,0
43,3,0
54,3,0
1,23,0
5,23,0
89,23,0
2,48,0
10,48,0
44,48,0
46,48,0
3,1,0
23,1,0
3,26,0
12,26,0
34,26,0
50,26,0
3,42,0
13,42,0
3,43,0
5,43,0
16,43,0
27,43,0
3,54,1
4,30,0
56,30,0
4,56,1
25,56,1
30,56,1
5,41,0
11,41,0
55,41,0
6,44,0
48,44,0
6,63,1
35,63,1
7,22,0
19,22,0
34,22,0
7,67,1
49,67,1
8,95,1
80,95,1
8,97,1
9,97,1
24,97,1
33,97,1
76,97,1
9,76,1
18,76,1
47,76,1
96,76,1
97,76,1
11,45,0
25,45,0
53,45,0
64,45,0
12,13,0
42,13,0
13,12,0
26,12,0
14,29,0
32,29,0
53,29,0
15,31,0
15,53,1
17,53,1
29,53,1
45,53,1
15,55,1
41,55,1
17,27,0
43,27,0
18,59,1
24,59,1
28,59,1
47,59,1
72,59,1
19,60,1
20,34,0
22,34,0
26,34,0
21,62,1
87,62,1
21,70,1
24,70,1
28,70,1
74,70,1
21,90,1
81,90,1
22,7,0
67,7,0
22,19,0
60,19,0
23,5,0
41,5,0
43,5,0
23,89,1
39,89,1
94,89,1
25,51,1
26,50,1
27,17,0
53,17,0
29,14,0
29,32,0
30,4,0
56,4,0
31,15,0
53,15,0
55,15,0
33,57,1
52,57,1
34,20,0
35,49,0
67,49,0
36,91,1
39,91,1
69,91,1
75,91,1
37,86,1
47,86,1
99,86,1
38,65,1
93,65,1
39,80,1
88,80,1
95,80,1
39,83,1
87,83,1
40,58,1
52,58,1
41,11,0
45,11,0
43,16,0
44,6,0
63,6,0
45,25,0
51,25,0
56,25,0
45,64,1
47,82,1
52,82,1
48,2,0
48,10,0
48,46,0
49,35,0
63,35,0
57,33,0
97,33,0
57,52,1
58,52,1
82,52,1
58,40,0
59,18,0
68,18,0
76,18,0
59,24,0
70,24,0
97,24,0
59,28,0
70,28,0
59,47,0
76,47,0
82,47,0
86,47,0
59,72,1
61,73,1
61,74,1
66,74,1
70,74,1
61,85,1
88,85,1
62,21,0
70,21,0
90,21,0
62,87,1
83,87,1
65,38,0
68,38,0
65,93,1
71,93,1
66,84,1
77,84,1
68,0,0
81,0,0
68,79,1
88,79,1
69,98,1
92,98,1
73,61,1
74,61,1
85,61,1
74,66,1
84,66,1
76,9,0
97,9,0
76,96,1
77,78,1
77,94,1
89,94,1
78,77,1
84,77,1
94,77,1
79,88,1
80,88,1
85,88,1
80,39,0
83,39,0
89,39,0
91,39,0
81,69,1
91,69,1
98,69,1
86,37,0
86,99,1
91,36,0
91,75,1
93,71,1
95,8,0
97,8,0
98,92,1
