vertex_1,vertex_2,is_treated
0,4,0
33,4,0
0,54,1
17,54,1
19,54,1
0,62,1
18,62,1
1,77,1
22,77,1
79,77,1
1,86,1
60,86,1
1,92,1
16,92,1
70,92,1
88,92,1
2,7,0
32,7,0
2,8,0
3,8,0
2,32,0
7,32,0
20,32,0
58,32,0
3,39,0
37,39,0
41,39,0
43,39,0
4,0,0
54,0,0
62,0,0
4,33,0
67,33,0
5,28,0
14,28,0
35,28,0
5,59,1
43,59,1
6,84,1
9,84,1
48,84,1
60,84,1
6,90,1
22,90,1
34,90,1
44,90,1
56,90,1
6,96,1
87,96,1
7,2,0
8,2,0
32,2,0
8,3,0
39,3,0
10,19,0
13,19,0
54,19,0
10,25,0
10,50,1
11,36,0
11,69,1
48,69,1
98,69,1
12,15,0
51,15,0
57,15,0
58,15,0
61,15,0
12,24,0
58,24,0
64,24,0
12,49,0
46,49,0
47,49,0
61,49,0
13,18,0
27,18,0
62,18,0
13,58,1
15,58,1
24,58,1
32,58,1
13,68,1
14,40,0
14,42,0
30,42,0
53,42,0
15,12,0
24,12,0
49,12,0
15,51,1
15,57,1
15,61,1
38,61,1
41,61,1
49,61,1
16,89,1
22,89,1
43,89,1
63,89,1
79,89,1
16,94,1
75,94,1
17,23,0
18,13,0
19,13,0
58,13,0
68,13,0
18,27,0
19,10,0
25,10,0
50,10,0
20,38,0
61,38,0
20,55,1
21,85,1
34,85,1
44,85,1
78,85,1
23,17,0
54,17,0
24,64,1
30,64,1
26,76,1
82,76,1
26,83,1
73,83,1
28,5,0
59,5,0
28,14,0
40,14,0
42,14,0
28,35,0
29,91,1
60,91,1
65,91,1
31,37,0
39,37,0
31,45,0
32,20,0
38,20,0
55,20,0
33,67,1
36,11,0
69,11,0
37,31,0
45,31,0
39,41,0
61,41,0
39,43,0
59,43,0
89,43,0
42,30,0
64,30,0
42,53,1
46,53,1
44,98,1
69,98,1
48,82,1
76,82,1
81,82,1
99,82,1
49,46,0
53,46,0
49,47,0
52,63,1
74,63,1
89,63,1
52,81,1
82,81,1
95,81,1
56,74,1
63,74,1
60,73,1
83,73,1
63,52,1
81,52,1
66,71,1
87,71,1
66,87,1
71,87,1
72,87,1
96,87,1
69,48,0
82,48,0
84,48,0
70,99,1
82,99,1
71,66,1
87,66,1
72,97,1
73,60,1
84,60,1
86,60,1
91,60,1
74,56,1
90,56,1
75,79,1
77,79,1
80,79,1
89,79,1
76,26,0
83,26,0
77,1,0
86,1,0
92,1,0
77,22,0
89,22,0
90,22,0
78,93,1
79,75,1
94,75,1
79,80,1
81,95,1
84,6,0
90,6,0
96,6,0
84,9,0
85,21,0
85,34,0
90,34,0
85,44,0
90,44,0
98,44,0
85,78,1
93,78,1
87,72,1
97,72,1
89,16,0
92,16,0
94,16,0
91,29,0
91,65,1
92,70,1
99,70,1
92,88,1
