vertex_1,vertex_2,is_treated
0,50,1
95,50,1
0,56,1
39,56,1
96,56,1
0,89,1
22,89,1
51,89,1
1,4,0
17,4,0
1,20,0
29,20,0
2,78,1
3,78,1
18,78,1
34,78,1
69,78,1
2,80,1
95,80,1
2,81,1
8,81,1
43,81,1
94,81,1
2,82,1
8,82,1
41,82,1
61,82,1
4,1,0
20,1,0
4,17,0
21,17,0
65,17,0
5,18,0
78,18,0
5,62,1
27,62,1
6,55,1
39,55,1
95,55,1
7,29,0
20,29,0
7,30,0
19,30,0
32,30,0
7,74,1
11,74,1
9,46,0
26,46,0
27,46,0
41,46,0
10,90,1
94,90,1
11,44,0
53,44,0
54,44,0
60,44,0
11,67,1
12,27,0
25,27,0
46,27,0
62,27,0
13,14,0
34,14,0
13,25,0
27,25,0
32,25,0
14,13,0
25,13,0
14,34,0
58,34,0
77,34,0
78,34,0
15,32,0
25,32,0
30,32,0
16,79,1
40,79,1
84,79,1
16,85,1
70,85,1
88,85,1
16,97,1
83,97,1
17,21,0
68,21,0
17,65,1
38,65,1
18,5,0
62,5,0
19,52,1
21,68,1
22,99,1
24,99,1
42,99,1
93,99,1
98,99,1
23,35,0
45,35,0
66,35,0
23,49,0
27,12,0
28,38,0
57,38,0
65,38,0
28,48,0
53,48,0
58,48,0
29,7,0
30,7,0
74,7,0
30,19,0
52,19,0
31,76,1
69,76,1
92,76,1
31,83,1
97,83,1
32,15,0
33,64,1
37,64,1
72,64,1
88,64,1
34,58,1
48,58,1
34,77,1
35,23,0
49,23,0
35,45,0
53,45,0
66,45,0
73,45,0
86,45,0
35,66,1
45,66,1
36,70,1
85,70,1
88,70,1
38,28,0
48,28,0
38,57,1
43,51,1
89,51,1
44,11,0
67,11,0
74,11,0
44,53,1
45,53,1
48,53,1
44,54,1
44,60,1
45,73,1
45,86,1
47,86,1
71,86,1
46,9,0
46,26,0
46,41,0
82,41,0
47,87,1
63,87,1
50,0,0
56,0,0
89,0,0
50,95,1
55,95,1
72,95,1
80,95,1
51,43,0
81,43,0
55,6,0
55,39,0
56,39,0
56,96,1
59,92,1
76,92,1
64,33,0
64,37,0
64,72,1
95,72,1
64,88,1
70,88,1
85,88,1
70,36,0
71,93,1
99,93,1
75,98,1
91,98,1
99,98,1
76,31,0
83,31,0
76,69,1
78,69,1
78,2,0
80,2,0
81,2,0
82,2,0
78,3,0
79,16,0
85,16,0
97,16,0
79,40,0
79,84,1
81,8,0
82,8,0
81,94,1
90,94,1
82,61,1
86,47,0
87,47,0
86,71,1
93,71,1
87,63,1
89,22,0
99,22,0
90,10,0
92,59,1
98,75,1
98,91,1
99,24,0
99,42,0
