vertex_1,vertex_2,is_treated
0,19,0
44,19,0
70,19,0
0,25,0
3,25,0
18,25,0
43,25,0
1,9,0
39,9,0
1,61,1
11,61,1
59,61,1
82,61,1
2,27,0
37,27,0
2,38,0
2,43,0
3,43,0
25,43,0
33,43,0
2,73,1
20,73,1
23,73,1
2,75,1
14,75,1
31,75,1
3,14,0
50,14,0
70,14,0
75,14,0
76,14,0
3,30,0
18,30,0
4,45,0
36,45,0
40,45,0
5,20,0
73,20,0
6,98,1
8,98,1
96,98,1
7,40,0
45,40,0
56,40,0
71,40,0
8,87,1
22,87,1
29,87,1
42,87,1
52,87,1
8,89,1
93,89,1
9,1,0
61,1,0
9,39,0
33,39,0
10,54,1
11,54,1
15,54,1
26,54,1
29,54,1
48,54,1
92,54,1
11,86,1
55,86,1
11,97,1
53,97,1
74,97,1
12,23,0
60,23,0
73,23,0
12,63,1
12,70,1
14,70,1
19,70,1
12,71,1
40,71,1
13,80,1
29,80,1
60,80,1
14,3,0
25,3,0
30,3,0
43,3,0
14,50,1
31,50,1
14,76,1
15,94,1
69,94,1
16,17,0
21,17,0
32,17,0
16,41,0
16,64,1
31,64,1
17,16,0
41,16,0
64,16,0
17,21,0
17,32,0
18,28,0
19,0,0
25,0,0
19,44,0
20,5,0
22,53,1
46,53,1
97,53,1
22,92,1
24,92,1
42,92,1
54,92,1
23,12,0
63,12,0
70,12,0
71,12,0
23,60,1
26,60,1
34,60,1
49,60,1
80,60,1
25,18,0
28,18,0
30,18,0
27,2,0
38,2,0
43,2,0
73,2,0
75,2,0
27,37,0
66,37,0
31,35,0
31,56,1
40,56,1
31,77,1
36,77,1
35,31,0
50,31,0
56,31,0
64,31,0
75,31,0
77,31,0
37,66,1
39,33,0
43,33,0
40,7,0
45,4,0
45,36,0
77,36,0
46,67,1
57,67,1
58,67,1
47,79,1
82,79,1
48,81,1
69,81,1
51,62,1
59,62,1
52,68,1
78,68,1
52,88,1
53,22,0
87,22,0
92,22,0
53,46,0
67,46,0
54,10,0
54,11,0
61,11,0
86,11,0
97,11,0
54,15,0
94,15,0
54,26,0
60,26,0
54,29,0
80,29,0
87,29,0
54,48,0
81,48,0
57,83,1
85,83,1
58,91,1
59,65,1
72,65,1
60,34,0
60,49,0
61,59,1
62,59,1
65,59,1
61,82,1
79,82,1
62,51,1
65,72,1
67,57,1
83,57,1
67,58,1
91,58,1
68,52,1
87,52,1
88,52,1
68,78,1
69,96,1
98,96,1
69,99,1
74,84,1
95,84,1
79,47,0
80,13,0
81,69,1
94,69,1
96,69,1
99,69,1
83,85,1
84,74,1
97,74,1
84,95,1
86,55,1
87,8,0
89,8,0
98,8,0
87,42,0
92,42,0
89,93,1
90,93,1
92,24,0
93,90,1
98,6,0
