vertex_1,vertex_2,is_treated
0,32,0
25,32,0
55,32,0
0,47,0
65,47,0
88,47,0
1,35,0
63,35,0
1,70,1
10,70,1
28,70,1
1,79,1
62,79,1
2,92,1
21,92,1
62,92,1
3,6,0
18,6,0
22,6,0
41,6,0
48,6,0
3,54,1
10,54,1
4,66,1
30,66,1
34,66,1
73,66,1
5,15,0
23,15,0
53,15,0
5,17,0
28,17,0
6,3,0
54,3,0
6,18,0
10,18,0
22,18,0
6,22,0
18,22,0
6,41,0
11,41,0
14,41,0
43,41,0
6,48,0
7,38,0
7,50,1
46,50,1
7,52,1
13,52,1
7,69,1
36,69,1
7,78,1
29,78,1
95,78,1
7,85,1
20,85,1
43,85,1
59,85,1
8,13,0
52,13,0
8,28,0
17,28,0
40,28,0
70,28,0
9,82,1
16,82,1
42,82,1
76,82,1
11,37,0
14,37,0
31,37,0
97,37,0
11,65,1
23,65,1
36,65,1
47,65,1
12,71,1
20,71,1
76,71,1
12,83,1
42,83,1
87,83,1
12,96,1
16,96,1
90,96,1
13,8,0
28,8,0
15,5,0
17,5,0
15,23,0
46,23,0
65,23,0
15,53,1
16,98,1
72,98,1
18,10,0
54,10,0
70,10,0
19,73,1
26,73,1
66,73,1
23,46,0
45,46,0
50,46,0
60,46,0
24,81,1
34,81,1
42,81,1
76,81,1
25,45,0
46,45,0
27,36,0
56,36,0
65,36,0
68,36,0
69,36,0
28,40,0
31,49,0
44,49,0
32,0,0
47,0,0
32,25,0
45,25,0
32,55,1
33,51,1
99,51,1
33,84,1
86,84,1
35,1,0
70,1,0
79,1,0
35,63,1
36,27,0
36,56,1
36,68,1
37,11,0
41,11,0
65,11,0
37,14,0
41,14,0
37,31,0
49,31,0
37,97,1
58,97,1
38,7,0
50,7,0
52,7,0
69,7,0
78,7,0
85,7,0
39,77,1
64,77,1
41,43,0
60,43,0
85,43,0
42,64,1
77,64,1
43,60,1
46,60,1
58,60,1
47,88,1
67,88,1
49,44,0
51,33,0
84,33,0
51,99,1
58,99,1
89,99,1
57,67,1
61,67,1
80,67,1
88,67,1
57,76,1
71,76,1
81,76,1
82,76,1
59,62,1
79,62,1
92,62,1
59,89,1
94,89,1
99,89,1
60,58,1
97,58,1
99,58,1
62,59,1
85,59,1
89,59,1
64,42,0
81,42,0
82,42,0
83,42,0
66,4,0
66,30,0
66,34,0
81,34,0
67,57,1
76,57,1
67,61,1
67,80,1
87,80,1
93,80,1
71,12,0
83,12,0
96,12,0
71,20,0
85,20,0
73,19,0
73,26,0
74,87,1
80,87,1
83,87,1
91,87,1
75,93,1
80,93,1
77,39,0
78,29,0
78,95,1
81,24,0
82,9,0
82,16,0
96,16,0
98,16,0
84,86,1
87,74,1
87,91,1
89,94,1
92,2,0
92,21,0
93,75,1
96,90,1
98,72,1
