vertex_1,vertex_2,is_treated
0,41,0
17,41,0
20,41,0
35,41,0
0,43,0
21,43,0
29,43,0
37,43,0
1,61,1
87,61,1
1,79,1
3,79,1
24,79,1
45,79,1
49,79,1
67,79,1
2,8,0
57,8,0
2,28,0
50,28,0
3,83,1
97,83,1
3,90,1
78,90,1
91,90,1
4,20,0
41,20,0
5,74,1
62,74,1
5,98,1
40,98,1
70,98,1
78,98,1
6,27,0
19,27,0
51,27,0
78,27,0
6,56,1
6,64,1
7,68,1
76,68,1
7,73,1
22,73,1
94,73,1
7,80,1
11,80,1
18,80,1
96,80,1
8,2,0
28,2,0
8,57,1
9,70,1
47,70,1
67,70,1
98,70,1
10,99,1
52,99,1
75,99,1
12,15,0
36,15,0
63,15,0
12,16,0
21,16,0
52,16,0
12,25,0
14,25,0
34,25,0
13,36,0
15,36,0
21,36,0
13,60,1
13,76,1
68,76,1
15,12,0
16,12,0
25,12,0
15,63,1
29,63,1
32,63,1
16,21,0
36,21,0
43,21,0
16,52,1
22,52,1
26,52,1
40,52,1
99,52,1
18,81,1
42,81,1
85,81,1
18,88,1
39,88,1
54,88,1
77,88,1
19,37,0
43,37,0
50,37,0
19,45,0
66,45,0
79,45,0
20,4,0
23,46,0
31,46,0
48,46,0
53,46,0
25,14,0
25,34,0
50,34,0
27,6,0
56,6,0
64,6,0
27,19,0
37,19,0
45,19,0
27,51,1
27,78,1
90,78,1
98,78,1
28,50,1
34,50,1
37,50,1
29,30,0
29,31,0
46,31,0
30,29,0
31,29,0
43,29,0
63,29,0
32,35,0
41,35,0
32,55,1
32,58,1
33,92,1
95,92,1
35,32,0
55,32,0
58,32,0
63,32,0
36,13,0
60,13,0
76,13,0
38,72,1
67,72,1
41,0,0
43,0,0
41,17,0
44,48,0
46,48,0
45,66,1
46,23,0
46,53,1
47,91,1
90,91,1
48,44,0
52,22,0
73,22,0
52,26,0
52,40,0
98,40,0
54,96,1
80,96,1
59,65,1
62,65,1
61,1,0
79,1,0
61,87,1
65,59,1
65,62,1
74,62,1
67,82,1
68,7,0
73,7,0
80,7,0
69,84,1
95,84,1
69,89,1
71,89,1
85,89,1
97,89,1
70,9,0
70,47,0
91,47,0
70,67,1
72,67,1
79,67,1
82,67,1
72,38,0
73,94,1
74,5,0
98,5,0
79,3,0
83,3,0
90,3,0
79,24,0
79,49,0
80,11,0
80,18,0
81,18,0
88,18,0
81,42,0
81,85,1
89,85,1
83,97,1
89,97,1
84,69,1
89,69,1
84,95,1
86,95,1
92,95,1
93,95,1
88,39,0
88,54,1
96,54,1
88,77,1
89,71,1
92,33,0
95,86,1
95,93,1
99,10,0
99,75,1
