vertex_1,vertex_2,is_treated
0,20,0
59,20,0
1,22,0
59,22,0
73,22,0
1,98,1
3,98,1
28,98,1
33,98,1
85,98,1
2,10,0
30,10,0
41,10,0
3,40,0
6,40,0
3,62,1
90,62,1
4,50,1
65,50,1
4,76,1
15,76,1
97,76,1
5,99,1
12,99,1
23,99,1
38,99,1
49,99,1
75,99,1
6,18,0
63,18,0
70,18,0
6,34,0
41,34,0
57,34,0
66,34,0
79,34,0
6,42,0
30,42,0
7,24,0
57,24,0
68,24,0
72,24,0
7,57,1
14,57,1
24,57,1
34,57,1
47,57,1
8,74,1
64,74,1
8,95,1
96,95,1
9,27,0
67,27,0
9,67,1
27,67,1
47,67,1
10,2,0
10,30,0
42,30,0
55,30,0
10,41,0
34,41,0
11,71,1
69,71,1
11,94,1
25,94,1
36,94,1
84,94,1
12,89,1
56,89,1
12,90,1
62,90,1
13,32,0
14,32,0
61,32,0
73,32,0
14,73,1
21,73,1
22,73,1
32,73,1
15,21,0
48,21,0
53,21,0
54,21,0
59,21,0
73,21,0
16,52,1
29,52,1
49,52,1
86,52,1
17,60,1
92,60,1
18,6,0
34,6,0
40,6,0
42,6,0
18,63,1
18,70,1
19,45,0
37,45,0
44,45,0
20,0,0
20,59,1
21,59,1
22,59,1
21,15,0
76,15,0
21,48,0
54,48,0
75,48,0
21,53,1
21,54,1
48,54,1
22,1,0
98,1,0
24,7,0
57,7,0
24,68,1
24,72,1
26,96,1
28,96,1
95,96,1
27,9,0
67,9,0
30,55,1
31,77,1
39,77,1
51,77,1
31,86,1
52,86,1
78,86,1
32,13,0
32,14,0
57,14,0
73,14,0
32,61,1
33,51,1
77,51,1
34,66,1
34,79,1
35,37,0
45,37,0
36,80,1
87,80,1
37,35,0
40,3,0
62,3,0
98,3,0
43,44,0
45,44,0
47,44,0
44,43,0
44,47,0
46,47,0
57,47,0
67,47,0
45,19,0
47,46,0
48,75,1
99,75,1
50,4,0
76,4,0
50,65,1
51,33,0
98,33,0
52,16,0
52,29,0
52,49,0
99,49,0
58,83,1
58,87,1
69,87,1
80,87,1
97,87,1
60,17,0
60,92,1
93,92,1
64,82,1
71,11,0
94,11,0
71,69,1
87,69,1
74,8,0
95,8,0
74,64,1
82,64,1
76,97,1
87,97,1
93,97,1
77,31,0
86,31,0
77,39,0
78,91,1
80,36,0
94,36,0
81,93,1
92,93,1
97,93,1
83,58,1
87,58,1
85,88,1
86,78,1
91,78,1
88,85,1
98,85,1
89,12,0
90,12,0
99,12,0
89,56,1
93,81,1
94,25,0
94,84,1
96,26,0
96,28,0
98,28,0
99,5,0
99,23,0
99,38,0
