vertex_1,vertex_2,is_treated
0,4,0
20,4,0
34,4,0
0,13,0
33,13,0
53,13,0
1,38,0
21,38,0
71,38,0
1,67,1
14,67,1
27,67,1
35,67,1
40,67,1
44,67,1
2,23,0
3,23,0
2,26,0
3,26,0
28,26,0
61,26,0
2,32,0
3,60,1
7,60,1
3,64,1
35,64,1
4,0,0
13,0,0
4,20,0
54,20,0
4,34,0
40,34,0
5,63,1
10,63,1
43,63,1
81,63,1
5,85,1
12,85,1
30,85,1
41,85,1
51,85,1
6,66,1
30,66,1
88,66,1
7,42,0
65,42,0
7,46,0
8,19,0
48,19,0
9,22,0
44,22,0
48,22,0
9,61,1
24,61,1
26,61,1
10,73,1
12,73,1
86,73,1
11,62,1
31,62,1
40,62,1
80,62,1
11,86,1
16,86,1
73,86,1
12,87,1
18,87,1
93,87,1
13,33,0
35,33,0
13,53,1
14,15,0
15,14,0
67,14,0
16,79,1
77,79,1
17,24,0
61,24,0
17,37,0
19,8,0
19,48,0
22,48,0
20,54,1
29,54,1
36,54,1
81,54,1
93,54,1
96,54,1
21,39,0
27,39,0
57,39,0
22,9,0
61,9,0
22,44,0
56,44,0
67,44,0
23,2,0
26,2,0
32,2,0
23,3,0
26,3,0
60,3,0
64,3,0
24,17,0
37,17,0
25,51,1
29,51,1
85,51,1
25,72,1
95,72,1
26,28,0
65,28,0
27,57,1
39,57,1
28,65,1
35,65,1
42,65,1
29,68,1
75,68,1
30,98,1
47,98,1
78,98,1
33,35,0
52,35,0
64,35,0
65,35,0
67,35,0
34,40,0
50,40,0
58,40,0
62,40,0
67,40,0
35,52,1
36,82,1
91,82,1
36,90,1
92,90,1
38,1,0
67,1,0
38,21,0
39,21,0
38,71,1
39,27,0
57,27,0
67,27,0
40,50,1
40,58,1
41,74,1
99,74,1
42,7,0
46,7,0
60,7,0
44,56,1
45,49,0
70,49,0
45,59,1
47,70,1
49,70,1
83,70,1
49,45,0
59,45,0
51,25,0
72,25,0
51,29,0
54,29,0
68,29,0
54,36,0
82,36,0
90,36,0
54,81,1
63,81,1
95,81,1
54,93,1
87,93,1
54,96,1
69,96,1
80,96,1
55,89,1
55,97,1
80,97,1
94,97,1
62,11,0
86,11,0
62,31,0
62,80,1
96,80,1
97,80,1
99,80,1
63,5,0
85,5,0
63,10,0
73,10,0
63,43,0
66,6,0
66,30,0
85,30,0
98,30,0
66,88,1
68,75,1
76,75,1
70,47,0
98,47,0
70,83,1
72,95,1
81,95,1
73,12,0
85,12,0
87,12,0
74,41,0
85,41,0
74,99,1
80,99,1
84,99,1
75,76,1
79,16,0
86,16,0
79,77,1
82,91,1
87,18,0
89,55,1
97,55,1
90,92,1
94,92,1
92,94,1
97,94,1
96,69,1
98,78,1
99,84,1
