vertex_1,vertex_2,is_treated
0,55,1
19,55,1
90,55,1
0,77,1
3,77,1
29,77,1
82,77,1
1,28,0
4,28,0
9,28,0
71,28,0
1,97,1
74,97,1
2,26,0
75,26,0
2,36,0
14,36,0
49,36,0
2,38,0
31,38,0
58,38,0
62,38,0
2,59,1
48,59,1
49,59,1
2,72,1
49,72,1
3,52,1
13,52,1
30,52,1
42,52,1
96,52,1
5,51,1
60,51,1
89,51,1
6,37,0
31,37,0
40,37,0
6,53,1
11,53,1
23,53,1
6,69,1
7,66,1
34,66,1
47,66,1
56,66,1
7,79,1
92,79,1
7,99,1
63,99,1
8,21,0
68,21,0
8,44,0
33,44,0
35,44,0
41,44,0
8,45,0
31,45,0
9,12,0
9,49,0
36,49,0
59,49,0
72,49,0
10,94,1
42,94,1
88,94,1
11,17,0
39,17,0
11,46,0
35,46,0
11,50,1
12,9,0
28,9,0
49,9,0
13,75,1
22,75,1
26,75,1
30,75,1
76,75,1
14,54,1
14,71,1
28,71,1
15,60,1
20,60,1
22,60,1
24,60,1
51,60,1
16,39,0
17,39,0
48,39,0
17,11,0
46,11,0
50,11,0
53,11,0
18,65,1
81,65,1
91,65,1
18,84,1
27,84,1
30,84,1
83,84,1
21,8,0
44,8,0
45,8,0
21,68,1
23,43,0
25,43,0
23,90,1
55,90,1
26,2,0
36,2,0
38,2,0
59,2,0
72,2,0
28,1,0
97,1,0
28,4,0
29,80,1
78,80,1
29,96,1
52,96,1
70,96,1
30,78,1
80,78,1
32,64,1
67,64,1
34,91,1
65,91,1
36,14,0
54,14,0
71,14,0
37,6,0
53,6,0
69,6,0
37,31,0
38,31,0
45,31,0
37,40,0
38,58,1
38,62,1
39,16,0
39,48,0
59,48,0
41,57,1
42,56,1
66,56,1
42,61,1
67,61,1
43,23,0
53,23,0
90,23,0
43,25,0
44,33,0
44,35,0
46,35,0
44,41,0
57,41,0
51,5,0
51,89,1
52,3,0
77,3,0
52,13,0
75,13,0
52,30,0
75,30,0
78,30,0
84,30,0
52,42,0
56,42,0
61,42,0
94,42,0
55,0,0
77,0,0
55,19,0
60,15,0
60,20,0
60,22,0
75,22,0
60,24,0
61,67,1
64,67,1
92,67,1
63,86,1
95,86,1
63,93,1
64,32,0
65,18,0
84,18,0
65,81,1
66,7,0
79,7,0
99,7,0
66,34,0
91,34,0
66,47,0
67,92,1
70,92,1
79,92,1
95,92,1
98,92,1
73,74,1
85,74,1
87,74,1
97,74,1
98,74,1
74,73,1
74,85,1
74,87,1
74,98,1
92,98,1
75,76,1
77,29,0
80,29,0
96,29,0
77,82,1
84,27,0
84,83,1
86,63,1
93,63,1
99,63,1
86,95,1
92,95,1
92,70,1
96,70,1
94,10,0
94,88,1
