vertex_1,vertex_2,is_treated
0,30,0
0,32,0
4,32,0
43,32,0
1,51,1
28,51,1
39,51,1
48,51,1
53,51,1
2,33,0
12,33,0
49,33,0
68,33,0
77,33,0
2,40,0
66,40,0
2,62,1
2,63,1
41,63,1
3,82,1
25,82,1
85,82,1
4,45,0
5,19,0
22,19,0
5,76,1
8,76,1
37,76,1
41,76,1
6,93,1
92,93,1
7,84,1
15,84,1
21,84,1
60,84,1
7,90,1
50,90,1
8,9,0
9,8,0
76,8,0
10,44,0
18,44,0
11,35,0
23,35,0
26,35,0
49,35,0
11,61,1
12,67,1
16,67,1
13,20,0
37,20,0
46,20,0
49,20,0
13,47,0
26,47,0
14,64,1
69,64,1
97,64,1
14,69,1
36,69,1
42,69,1
64,69,1
92,69,1
16,17,0
16,60,1
24,60,1
28,60,1
38,60,1
84,60,1
16,72,1
16,78,1
46,78,1
16,79,1
17,16,0
60,16,0
67,16,0
72,16,0
78,16,0
79,16,0
18,23,0
35,23,0
19,5,0
76,5,0
19,22,0
56,22,0
73,22,0
20,13,0
47,13,0
20,37,0
76,37,0
20,46,0
75,46,0
78,46,0
20,49,0
33,49,0
35,49,0
43,49,0
22,56,1
22,73,1
23,18,0
44,18,0
24,55,1
36,55,1
65,55,1
24,83,1
28,83,1
92,83,1
24,85,1
48,85,1
82,85,1
25,81,1
94,81,1
27,87,1
74,87,1
28,97,1
64,97,1
29,98,1
36,98,1
65,98,1
88,98,1
30,0,0
32,0,0
31,74,1
48,74,1
87,74,1
32,4,0
45,4,0
32,43,0
41,43,0
49,43,0
33,2,0
40,2,0
62,2,0
63,2,0
33,12,0
67,12,0
33,68,1
33,77,1
34,70,1
71,70,1
91,70,1
34,96,1
91,96,1
35,11,0
61,11,0
35,26,0
47,26,0
39,52,1
59,52,1
39,53,1
48,53,1
51,53,1
40,66,1
41,57,1
43,41,0
57,41,0
63,41,0
76,41,0
44,10,0
46,75,1
50,71,1
70,71,1
80,71,1
51,1,0
51,28,0
60,28,0
83,28,0
97,28,0
51,39,0
52,39,0
53,39,0
51,48,0
53,48,0
74,48,0
85,48,0
52,59,1
54,65,1
55,65,1
95,65,1
98,65,1
99,65,1
55,24,0
60,24,0
83,24,0
85,24,0
55,36,0
69,36,0
98,36,0
58,91,1
70,91,1
96,91,1
58,94,1
81,94,1
60,38,0
64,14,0
69,14,0
65,54,1
65,95,1
89,95,1
65,99,1
69,42,0
69,92,1
83,92,1
89,92,1
93,92,1
70,34,0
96,34,0
71,50,1
90,50,1
71,80,1
74,31,0
81,25,0
82,25,0
82,3,0
84,7,0
90,7,0
84,15,0
84,21,0
86,89,1
92,89,1
95,89,1
87,27,0
89,86,1
91,58,1
94,58,1
93,6,0
98,29,0
98,88,1
