vertex_1,vertex_2,is_treated
0,80,1
6,80,1
23,80,1
81,80,1
0,81,1
28,81,1
80,81,1
0,82,1
27,82,1
30,82,1
53,82,1
86,82,1
1,34,0
11,34,0
46,34,0
1,38,0
2,11,0
34,11,0
44,11,0
2,15,0
26,15,0
54,15,0
90,15,0
3,8,0
13,8,0
3,43,0
16,43,0
4,20,0
4,31,0
26,31,0
4,60,1
4,75,1
91,75,1
5,12,0
5,17,0
24,17,0
50,17,0
65,17,0
6,91,1
57,91,1
75,91,1
6,99,1
85,99,1
7,76,1
9,76,1
21,76,1
27,76,1
32,76,1
88,76,1
7,94,1
30,94,1
35,94,1
78,94,1
8,3,0
43,3,0
8,13,0
26,13,0
9,46,0
25,46,0
34,46,0
9,61,1
9,62,1
36,62,1
10,88,1
21,88,1
27,88,1
39,88,1
45,88,1
47,88,1
76,88,1
11,2,0
15,2,0
11,44,0
23,44,0
24,44,0
12,5,0
17,5,0
13,26,0
15,26,0
31,26,0
14,24,0
17,24,0
44,24,0
14,97,1
18,97,1
33,97,1
51,97,1
15,54,1
22,54,1
23,54,1
15,90,1
21,90,1
63,90,1
16,58,1
17,50,1
17,65,1
36,65,1
18,89,1
40,89,1
56,89,1
19,22,0
54,22,0
20,4,0
31,4,0
60,4,0
75,4,0
21,74,1
72,74,1
22,19,0
23,45,0
55,45,0
64,45,0
88,45,0
24,14,0
97,14,0
25,49,0
83,49,0
27,96,1
59,96,1
28,42,0
29,83,1
49,83,1
84,83,1
34,1,0
38,1,0
35,52,1
68,52,1
70,52,1
35,87,1
48,87,1
73,87,1
36,37,0
37,36,0
62,36,0
65,36,0
40,95,1
63,95,1
41,48,0
87,48,0
42,28,0
81,28,0
43,16,0
58,16,0
44,23,0
45,23,0
54,23,0
80,23,0
45,55,1
45,64,1
46,9,0
61,9,0
62,9,0
76,9,0
46,25,0
49,25,0
48,41,0
51,86,1
82,86,1
52,35,0
87,35,0
94,35,0
52,68,1
52,70,1
53,92,1
78,92,1
59,84,1
66,84,1
83,84,1
63,67,1
71,67,1
79,67,1
67,63,1
90,63,1
95,63,1
67,71,1
67,79,1
69,98,1
85,98,1
72,93,1
73,77,1
74,21,0
76,21,0
88,21,0
90,21,0
74,72,1
93,72,1
76,7,0
94,7,0
76,27,0
82,27,0
88,27,0
96,27,0
76,32,0
77,73,1
87,73,1
80,0,0
81,0,0
82,0,0
80,6,0
91,6,0
99,6,0
82,30,0
94,30,0
82,53,1
92,53,1
83,29,0
84,59,1
96,59,1
84,66,1
86,51,1
97,51,1
88,10,0
88,39,0
88,47,0
89,18,0
97,18,0
89,40,0
95,40,0
89,56,1
91,57,1
92,78,1
94,78,1
97,33,0
98,69,1
98,85,1
99,85,1
