vertex_1,vertex_2,is_treated
0,35,0
13,35,0
1,24,0
17,24,0
1,40,0
36,40,0
2,38,0
22,38,0
32,38,0
2,51,1
5,51,1
12,51,1
42,51,1
46,51,1
2,55,1
2,62,1
29,62,1
2,76,1
7,76,1
12,76,1
3,10,0
3,46,0
51,46,0
63,46,0
4,83,1
39,83,1
84,83,1
5,33,0
42,33,0
75,33,0
5,54,1
29,54,1
6,20,0
12,20,0
36,20,0
6,66,1
14,66,1
7,49,0
12,49,0
27,49,0
43,49,0
8,47,0
8,69,1
17,69,1
9,58,1
59,58,1
9,80,1
65,80,1
10,3,0
46,3,0
11,36,0
20,36,0
29,36,0
40,36,0
12,79,1
41,79,1
91,79,1
13,45,0
64,45,0
14,37,0
22,37,0
52,37,0
14,73,1
42,73,1
15,78,1
16,78,1
53,78,1
16,94,1
34,94,1
44,94,1
57,94,1
17,70,1
18,89,1
23,89,1
28,89,1
87,89,1
19,88,1
34,88,1
44,88,1
96,88,1
20,6,0
66,6,0
20,12,0
49,12,0
51,12,0
76,12,0
79,12,0
21,26,0
29,26,0
32,26,0
42,26,0
21,60,1
21,64,1
45,64,1
24,1,0
40,1,0
24,17,0
69,17,0
70,17,0
25,87,1
28,87,1
39,87,1
89,87,1
26,21,0
60,21,0
64,21,0
26,29,0
36,29,0
54,29,0
62,29,0
26,32,0
30,32,0
38,32,0
26,42,0
33,42,0
51,42,0
73,42,0
28,96,1
31,96,1
44,96,1
48,96,1
88,96,1
32,30,0
33,5,0
51,5,0
54,5,0
33,75,1
35,0,0
35,13,0
45,13,0
36,11,0
37,14,0
66,14,0
73,14,0
37,22,0
38,22,0
37,52,1
38,2,0
51,2,0
55,2,0
62,2,0
76,2,0
41,74,1
44,74,1
85,74,1
41,77,1
56,77,1
46,63,1
72,63,1
82,63,1
90,63,1
47,8,0
69,8,0
49,7,0
76,7,0
49,27,0
49,43,0
50,99,1
68,99,1
95,99,1
53,57,1
81,57,1
94,57,1
53,95,1
99,95,1
57,53,1
78,53,1
95,53,1
57,81,1
71,81,1
58,9,0
80,9,0
58,59,1
65,59,1
68,59,1
59,65,1
80,65,1
98,65,1
59,68,1
61,68,1
99,68,1
61,86,1
61,98,1
65,98,1
67,98,1
63,72,1
63,82,1
63,90,1
97,90,1
68,61,1
86,61,1
98,61,1
71,85,1
74,85,1
71,92,1
74,41,0
77,41,0
79,41,0
74,44,0
88,44,0
94,44,0
96,44,0
77,56,1
78,15,0
78,16,0
94,16,0
79,91,1
81,71,1
85,71,1
92,71,1
83,4,0
83,39,0
87,39,0
83,84,1
87,25,0
87,28,0
89,28,0
96,28,0
88,19,0
88,34,0
94,34,0
89,18,0
89,23,0
90,97,1
93,97,1
96,31,0
96,48,0
97,93,1
98,67,1
99,50,1
