vertex_1,vertex_2,is_treated
0,38,0
11,38,0
31,38,0
1,94,1
2,94,1
17,94,1
22,94,1
47,94,1
50,94,1
2,42,0
11,42,0
13,42,0
14,42,0
2,53,1
2,68,1
17,68,1
3,64,1
35,64,1
89,64,1
4,89,1
64,89,1
95,89,1
5,14,0
42,14,0
5,69,1
5,83,1
22,83,1
48,83,1
6,92,1
15,92,1
25,92,1
41,92,1
81,92,1
7,30,0
13,30,0
17,30,0
7,48,0
82,48,0
83,48,0
99,48,0
7,65,1
7,95,1
16,95,1
89,95,1
8,21,0
9,21,0
8,36,0
9,15,0
80,15,0
92,15,0
10,40,0
29,40,0
10,43,0
70,43,0
71,43,0
77,43,0
82,43,0
12,26,0
19,26,0
39,26,0
14,5,0
69,5,0
83,5,0
15,9,0
21,9,0
15,80,1
17,46,0
57,46,0
62,46,0
67,46,0
18,31,0
25,31,0
38,31,0
18,37,0
19,24,0
20,59,1
54,59,1
93,59,1
21,8,0
36,8,0
22,28,0
58,28,0
63,28,0
73,28,0
98,28,0
22,76,1
23,34,0
73,34,0
24,19,0
26,19,0
26,12,0
26,39,0
52,39,0
71,39,0
27,56,1
49,56,1
72,56,1
27,90,1
29,90,1
60,90,1
28,22,0
76,22,0
83,22,0
94,22,0
28,58,1
28,63,1
28,73,1
34,73,1
28,98,1
45,98,1
99,98,1
30,7,0
48,7,0
65,7,0
95,7,0
30,13,0
42,13,0
30,17,0
46,17,0
68,17,0
94,17,0
31,18,0
37,18,0
31,25,0
92,25,0
32,51,1
54,51,1
32,79,1
50,79,1
84,79,1
33,99,1
48,99,1
98,99,1
34,23,0
35,57,1
45,57,1
46,57,1
70,57,1
35,85,1
96,85,1
38,0,0
38,11,0
42,11,0
39,52,1
39,71,1
43,71,1
40,10,0
43,10,0
40,29,0
90,29,0
41,75,1
55,75,1
42,2,0
53,2,0
68,2,0
94,2,0
43,70,1
57,70,1
43,77,1
43,82,1
48,82,1
44,96,1
85,96,1
46,62,1
46,67,1
50,55,1
75,55,1
50,66,1
74,66,1
50,74,1
60,74,1
66,74,1
50,86,1
51,32,0
79,32,0
51,54,1
59,54,1
55,50,1
66,50,1
74,50,1
79,50,1
86,50,1
94,50,1
56,27,0
90,27,0
56,49,0
56,72,1
57,35,0
64,35,0
85,35,0
57,45,0
98,45,0
59,20,0
59,93,1
60,81,1
78,81,1
92,81,1
60,97,1
91,97,1
61,84,1
79,84,1
88,84,1
64,3,0
74,60,1
81,60,1
90,60,1
97,60,1
75,41,0
92,41,0
78,88,1
84,88,1
81,78,1
88,78,1
84,61,1
87,91,1
97,91,1
89,4,0
91,87,1
92,6,0
94,1,0
94,47,0
95,16,0
96,44,0
99,33,0
