vertex_1,vertex_2,is_treated
0,58,1
16,58,1
91,58,1
0,85,1
7,85,1
66,85,1
1,10,0
5,10,0
9,10,0
14,10,0
38,10,0
41,10,0
2,11,0
91,11,0
2,56,1
21,56,1
24,56,1
31,56,1
2,71,1
33,71,1
3,89,1
42,89,1
83,89,1
4,54,1
25,54,1
98,54,1
4,78,1
64,78,1
5,45,0
51,45,0
6,14,0
10,14,0
47,14,0
6,18,0
38,18,0
7,59,1
99,59,1
7,76,1
39,76,1
87,76,1
7,92,1
13,92,1
17,92,1
75,92,1
7,95,1
17,95,1
25,95,1
65,95,1
7,97,1
23,97,1
24,97,1
49,97,1
50,97,1
8,24,0
56,24,0
72,24,0
97,24,0
8,48,0
12,48,0
9,12,0
48,12,0
10,1,0
10,5,0
45,5,0
10,9,0
12,9,0
10,38,0
18,38,0
10,41,0
60,41,0
11,2,0
56,2,0
71,2,0
11,91,1
28,91,1
58,91,1
14,6,0
18,6,0
14,47,0
19,47,0
62,47,0
67,47,0
15,21,0
33,21,0
56,21,0
19,20,0
55,20,0
20,19,0
47,19,0
20,55,1
32,55,1
21,15,0
21,33,0
51,33,0
52,33,0
71,33,0
22,66,1
85,66,1
23,74,1
25,74,1
90,74,1
24,8,0
48,8,0
24,72,1
46,72,1
25,79,1
61,79,1
26,35,0
26,43,0
46,43,0
57,43,0
63,43,0
26,51,1
33,51,1
45,51,1
46,51,1
26,53,1
27,31,0
56,31,0
28,77,1
80,77,1
29,68,1
73,68,1
93,68,1
29,86,1
36,86,1
49,86,1
82,86,1
30,44,0
37,44,0
31,27,0
32,37,0
44,37,0
33,52,1
34,65,1
95,65,1
35,26,0
43,26,0
51,26,0
53,26,0
37,32,0
55,32,0
40,80,1
77,80,1
41,60,1
43,46,0
51,46,0
69,46,0
72,46,0
43,57,1
43,63,1
44,30,0
46,69,1
47,62,1
47,67,1
50,81,1
50,98,1
54,98,1
75,98,1
54,4,0
78,4,0
54,25,0
74,25,0
79,25,0
95,25,0
58,0,0
85,0,0
58,16,0
59,7,0
76,7,0
85,7,0
92,7,0
95,7,0
97,7,0
59,99,1
82,99,1
61,75,1
92,75,1
98,75,1
61,83,1
89,83,1
64,94,1
64,96,1
65,34,0
66,22,0
68,29,0
86,29,0
68,73,1
68,93,1
70,93,1
74,23,0
97,23,0
74,90,1
75,61,1
79,61,1
83,61,1
76,39,0
76,87,1
77,28,0
91,28,0
78,64,1
94,64,1
96,64,1
80,40,0
81,50,1
97,50,1
98,50,1
82,88,1
84,88,1
86,36,0
86,49,0
97,49,0
86,82,1
88,82,1
99,82,1
88,84,1
89,3,0
89,42,0
92,13,0
92,17,0
95,17,0
93,70,1
