vertex_1,vertex_2,is_treated
0,28,0
57,28,0
63,28,0
75,28,0
99,28,0
0,33,0
8,33,0
37,33,0
0,54,1
45,54,1
0,62,1
1,51,1
23,51,1
94,51,1
1,56,1
12,56,1
80,56,1
2,24,0
78,24,0
2,71,1
15,71,1
44,71,1
3,40,0
11,40,0
27,40,0
3,45,0
52,45,0
54,45,0
65,45,0
3,76,1
3,89,1
20,89,1
32,89,1
49,89,1
83,89,1
4,60,1
31,60,1
87,60,1
4,85,1
32,85,1
50,85,1
5,64,1
25,64,1
39,64,1
66,64,1
5,92,1
91,92,1
6,67,1
23,67,1
88,67,1
7,12,0
56,12,0
7,37,0
16,37,0
33,37,0
8,15,0
71,15,0
8,34,0
9,34,0
9,22,0
65,22,0
9,44,0
71,44,0
10,61,1
21,61,1
93,61,1
11,73,1
12,7,0
37,7,0
13,70,1
88,70,1
14,16,0
37,16,0
15,8,0
33,8,0
34,8,0
16,14,0
17,35,0
18,35,0
30,35,0
75,35,0
17,65,1
22,65,1
45,65,1
47,65,1
18,43,0
19,47,0
29,47,0
46,47,0
65,47,0
19,77,1
20,48,0
38,48,0
21,80,1
56,80,1
22,9,0
34,9,0
44,9,0
24,2,0
71,2,0
24,78,1
72,78,1
25,84,1
82,84,1
25,97,1
94,97,1
99,97,1
26,86,1
31,86,1
87,86,1
28,0,0
33,0,0
54,0,0
62,0,0
28,57,1
28,63,1
31,63,1
28,75,1
35,75,1
28,99,1
94,99,1
97,99,1
29,31,0
36,31,0
60,31,0
63,31,0
69,31,0
86,31,0
31,29,0
47,29,0
31,36,0
31,69,1
35,17,0
65,17,0
35,18,0
43,18,0
35,30,0
39,93,1
61,93,1
40,3,0
45,3,0
76,3,0
89,3,0
40,11,0
73,11,0
40,27,0
41,79,1
66,79,1
42,82,1
84,82,1
45,52,1
46,68,1
47,19,0
77,19,0
47,46,0
68,46,0
48,20,0
89,20,0
48,38,0
50,81,1
51,1,0
56,1,0
51,23,0
67,23,0
51,94,1
97,94,1
99,94,1
53,55,1
53,96,1
87,96,1
55,53,1
96,53,1
58,59,1
88,59,1
58,88,1
59,88,1
67,88,1
70,88,1
72,88,1
95,88,1
59,58,1
88,58,1
60,4,0
85,4,0
60,87,1
86,87,1
96,87,1
61,10,0
61,21,0
80,21,0
64,5,0
92,5,0
64,25,0
84,25,0
97,25,0
64,39,0
93,39,0
64,66,1
74,66,1
79,66,1
66,74,1
67,6,0
70,13,0
72,90,1
78,72,1
88,72,1
90,72,1
79,41,0
81,50,1
85,50,1
82,42,0
85,32,0
89,32,0
86,26,0
88,95,1
98,95,1
89,49,0
89,83,1
92,91,1
95,98,1
