vertex_1,vertex_2,is_treated
0,4,0
79,4,0
0,21,0
15,21,0
32,21,0
0,23,0
63,23,0
1,18,0
27,18,0
45,18,0
1,64,1
76,64,1
93,64,1
1,98,1
35,98,1
85,98,1
2,52,1
62,52,1
2,78,1
25,78,1
30,78,1
89,78,1
90,78,1
3,88,1
7,88,1
19,88,1
33,88,1
89,88,1
3,91,1
60,91,1
4,0,0
21,0,0
23,0,0
4,79,1
14,79,1
36,79,1
5,36,0
12,36,0
79,36,0
84,36,0
6,90,1
19,90,1
78,90,1
7,60,1
20,60,1
91,60,1
8,11,0
47,11,0
8,67,1
44,67,1
72,67,1
9,75,1
29,75,1
80,75,1
10,13,0
38,13,0
10,46,0
24,46,0
47,46,0
10,82,1
48,82,1
11,8,0
67,8,0
11,47,0
46,47,0
12,40,0
13,10,0
46,10,0
82,10,0
13,38,0
37,38,0
53,38,0
14,24,0
28,24,0
46,24,0
48,24,0
14,50,1
14,70,1
15,32,0
21,32,0
15,63,1
23,63,1
48,63,1
49,63,1
16,22,0
16,61,1
48,61,1
16,71,1
16,84,1
36,84,1
17,45,0
18,45,0
27,45,0
37,45,0
17,48,0
24,48,0
61,48,0
63,48,0
82,48,0
17,74,1
18,1,0
64,1,0
98,1,0
18,27,0
28,27,0
31,27,0
45,27,0
20,87,1
43,87,1
65,87,1
21,15,0
32,15,0
63,15,0
22,16,0
61,16,0
71,16,0
84,16,0
24,14,0
50,14,0
70,14,0
79,14,0
24,28,0
27,28,0
68,28,0
26,57,1
44,57,1
83,57,1
27,31,0
49,31,0
28,68,1
62,68,1
29,66,1
35,66,1
69,66,1
95,66,1
29,94,1
35,94,1
96,94,1
30,55,1
41,55,1
72,55,1
31,49,0
63,49,0
34,56,1
77,56,1
36,5,0
36,12,0
40,12,0
38,37,0
45,37,0
38,53,1
39,96,1
94,96,1
42,59,1
95,59,1
45,17,0
48,17,0
74,17,0
51,89,1
78,89,1
81,89,1
88,89,1
52,2,0
78,2,0
52,62,1
58,62,1
68,62,1
72,62,1
54,83,1
57,83,1
54,99,1
55,30,0
78,30,0
55,41,0
55,72,1
62,72,1
67,72,1
56,34,0
56,77,1
69,77,1
73,77,1
57,26,0
57,44,0
67,44,0
59,42,0
59,95,1
66,95,1
93,95,1
60,7,0
88,7,0
60,20,0
87,20,0
62,58,1
64,76,1
64,93,1
95,93,1
66,29,0
75,29,0
94,29,0
66,35,0
94,35,0
98,35,0
66,69,1
77,69,1
75,9,0
75,80,1
86,80,1
97,80,1
77,73,1
78,25,0
80,86,1
80,97,1
81,92,1
83,54,1
99,54,1
87,43,0
87,65,1
88,3,0
91,3,0
88,19,0
90,19,0
88,33,0
89,51,1
89,81,1
92,81,1
90,6,0
96,39,0
98,85,1
