vertex_1,vertex_2,is_treated
0,40,0
4,40,0
44,40,0
0,69,1
0,90,1
19,90,1
75,90,1
0,97,1
82,97,1
1,84,1
64,84,1
2,94,1
85,94,1
3,14,0
47,14,0
62,14,0
68,14,0
3,65,1
23,65,1
4,6,0
4,22,0
23,22,0
48,22,0
5,10,0
5,53,1
23,53,1
28,53,1
5,68,1
14,68,1
6,4,0
22,4,0
40,4,0
7,34,0
42,34,0
7,35,0
26,35,0
7,59,1
7,61,1
12,61,1
8,24,0
17,24,0
31,24,0
37,24,0
8,33,0
15,33,0
9,79,1
23,79,1
88,79,1
10,5,0
53,5,0
68,5,0
11,12,0
61,12,0
62,12,0
11,46,0
32,46,0
49,46,0
12,11,0
46,11,0
12,62,1
14,62,1
23,62,1
13,28,0
32,28,0
53,28,0
13,31,0
24,31,0
29,31,0
45,31,0
14,3,0
65,3,0
14,47,0
30,47,0
16,78,1
51,78,1
18,54,1
39,54,1
43,54,1
58,54,1
89,54,1
95,54,1
18,55,1
27,55,1
39,55,1
74,55,1
96,55,1
18,77,1
73,77,1
19,80,1
82,80,1
20,67,1
64,67,1
76,67,1
98,67,1
21,45,0
31,45,0
37,45,0
22,23,0
49,23,0
53,23,0
62,23,0
65,23,0
79,23,0
22,48,0
26,48,0
30,48,0
23,49,0
29,49,0
46,49,0
24,8,0
33,8,0
24,17,0
24,37,0
45,37,0
60,37,0
25,70,1
39,70,1
57,70,1
58,70,1
28,13,0
31,13,0
28,32,0
42,32,0
46,32,0
29,66,1
30,42,0
32,42,0
34,42,0
44,42,0
31,29,0
49,29,0
66,29,0
33,15,0
34,7,0
35,7,0
59,7,0
61,7,0
35,26,0
48,26,0
36,93,1
57,93,1
37,60,1
38,83,1
41,83,1
63,83,1
38,86,1
56,86,1
40,0,0
69,0,0
90,0,0
97,0,0
40,44,0
42,44,0
41,73,1
77,73,1
42,30,0
47,30,0
48,30,0
43,71,1
51,71,1
87,71,1
43,74,1
55,74,1
91,74,1
45,21,0
50,56,1
86,56,1
50,82,1
52,82,1
80,82,1
91,82,1
97,82,1
50,89,1
54,89,1
52,72,1
52,96,1
55,96,1
88,96,1
54,18,0
55,18,0
77,18,0
54,39,0
55,39,0
70,39,0
54,43,0
71,43,0
74,43,0
54,58,1
70,58,1
54,95,1
55,27,0
56,50,1
82,50,1
89,50,1
57,63,1
83,63,1
63,57,1
70,57,1
93,57,1
67,20,0
67,64,1
84,64,1
67,76,1
81,76,1
88,76,1
99,76,1
67,98,1
70,25,0
71,51,1
78,51,1
71,87,1
72,52,1
82,52,1
96,52,1
73,41,0
83,41,0
74,91,1
82,91,1
75,85,1
94,85,1
75,88,1
76,88,1
79,88,1
92,88,1
96,88,1
76,81,1
76,99,1
78,16,0
79,9,0
80,19,0
90,19,0
83,38,0
86,38,0
84,1,0
85,75,1
88,75,1
90,75,1
88,92,1
93,36,0
94,2,0
