vertex_1,vertex_2,is_treated
0,9,0
8,9,0
40,9,0
44,9,0
0,22,0
1,22,0
0,41,0
0,54,1
35,54,1
1,46,0
4,46,0
26,46,0
2,42,0
4,42,0
39,42,0
2,58,1
10,58,1
16,58,1
29,58,1
33,58,1
2,62,1
16,62,1
3,32,0
45,32,0
4,5,0
50,5,0
4,21,0
5,4,0
21,4,0
42,4,0
46,4,0
5,50,1
19,50,1
6,78,1
52,78,1
6,93,1
15,93,1
31,93,1
98,93,1
7,16,0
58,16,0
62,16,0
7,28,0
7,59,1
19,59,1
39,59,1
9,0,0
22,0,0
41,0,0
54,0,0
9,8,0
9,40,0
37,40,0
47,40,0
9,44,0
43,44,0
10,27,0
30,27,0
11,69,1
57,69,1
75,69,1
12,57,1
60,57,1
69,57,1
12,92,1
18,92,1
31,92,1
88,92,1
97,92,1
13,30,0
27,30,0
70,30,0
14,33,0
29,33,0
58,33,0
65,33,0
14,35,0
39,35,0
54,35,0
63,35,0
14,37,0
40,37,0
14,47,0
40,47,0
14,49,0
39,49,0
15,51,1
61,51,1
15,72,1
34,72,1
99,72,1
15,80,1
23,80,1
73,80,1
16,7,0
28,7,0
59,7,0
17,95,1
25,95,1
38,95,1
64,95,1
94,95,1
19,20,0
19,53,1
20,19,0
50,19,0
53,19,0
59,19,0
22,1,0
46,1,0
23,84,1
66,84,1
24,83,1
76,83,1
26,65,1
33,65,1
39,65,1
48,65,1
26,67,1
48,67,1
27,10,0
58,10,0
29,87,1
38,87,1
52,87,1
30,13,0
30,70,1
32,3,0
32,45,0
48,45,0
33,14,0
35,14,0
37,14,0
47,14,0
49,14,0
33,29,0
58,29,0
87,29,0
35,39,0
42,39,0
49,39,0
59,39,0
65,39,0
35,63,1
36,88,1
92,88,1
36,89,1
91,89,1
94,89,1
42,2,0
58,2,0
62,2,0
43,48,0
45,48,0
65,48,0
67,48,0
44,43,0
48,43,0
46,26,0
65,26,0
67,26,0
51,15,0
72,15,0
80,15,0
93,15,0
51,61,1
71,61,1
52,56,1
85,56,1
52,79,1
77,79,1
86,79,1
52,90,1
81,90,1
55,74,1
55,85,1
56,85,1
96,85,1
56,52,1
78,52,1
79,52,1
87,52,1
90,52,1
57,12,0
92,12,0
57,60,1
91,60,1
60,91,1
66,91,1
89,91,1
61,71,1
64,66,1
84,66,1
91,66,1
66,64,1
95,64,1
68,76,1
75,76,1
83,76,1
68,98,1
93,98,1
69,11,0
69,75,1
76,75,1
81,75,1
72,34,0
72,99,1
74,55,1
85,55,1
75,81,1
82,81,1
90,81,1
76,68,1
98,68,1
78,6,0
93,6,0
79,77,1
79,86,1
80,23,0
84,23,0
80,73,1
81,82,1
83,24,0
85,96,1
87,38,0
95,38,0
88,36,0
89,36,0
89,94,1
95,94,1
92,18,0
92,31,0
93,31,0
92,97,1
95,17,0
95,25,0
