vertex_1,vertex_2,is_treated
0,23,0
0,53,1
33,53,1
0,65,1
8,65,1
24,65,1
26,65,1
30,65,1
1,47,0
3,47,0
37,47,0
39,47,0
44,47,0
2,3,0
16,3,0
47,3,0
2,10,0
43,10,0
61,10,0
62,10,0
2,21,0
33,21,0
42,21,0
2,38,0
8,38,0
11,38,0
41,38,0
45,38,0
52,38,0
3,2,0
10,2,0
21,2,0
38,2,0
3,16,0
4,32,0
35,32,0
45,32,0
5,19,0
52,19,0
6,70,1
56,70,1
6,96,1
12,96,1
14,96,1
29,96,1
60,96,1
7,63,1
28,63,1
85,63,1
94,63,1
7,91,1
14,91,1
28,91,1
34,91,1
80,91,1
7,99,1
57,99,1
8,52,1
19,52,1
38,52,1
49,52,1
9,95,1
14,95,1
25,95,1
93,95,1
10,43,0
15,43,0
36,43,0
10,61,1
13,61,1
10,62,1
12,94,1
63,94,1
13,17,0
15,17,0
46,17,0
13,59,1
14,78,1
67,78,1
14,79,1
27,79,1
51,79,1
14,80,1
91,80,1
14,92,1
22,92,1
29,92,1
76,92,1
15,44,0
39,44,0
46,44,0
47,44,0
17,13,0
59,13,0
61,13,0
17,15,0
43,15,0
44,15,0
17,46,0
44,46,0
18,76,1
92,76,1
19,5,0
20,49,0
35,49,0
40,49,0
52,49,0
21,33,0
53,33,0
64,33,0
68,33,0
21,42,0
50,42,0
23,0,0
53,0,0
65,0,0
24,37,0
39,37,0
47,37,0
24,64,1
33,64,1
24,90,1
31,90,1
66,90,1
88,90,1
26,30,0
65,30,0
27,77,1
66,77,1
30,26,0
65,26,0
32,4,0
32,35,0
49,35,0
32,45,0
36,45,0
38,45,0
33,68,1
71,68,1
37,24,0
64,24,0
65,24,0
90,24,0
37,39,0
44,39,0
47,39,0
38,8,0
52,8,0
65,8,0
38,11,0
38,41,0
40,41,0
41,40,0
49,40,0
42,50,1
43,36,0
45,36,0
47,1,0
48,58,1
82,58,1
49,20,0
51,83,1
73,83,1
74,83,1
54,87,1
81,87,1
54,98,1
97,98,1
55,73,1
72,73,1
74,73,1
83,73,1
55,89,1
66,89,1
88,89,1
56,57,1
71,57,1
99,57,1
56,69,1
74,69,1
56,74,1
69,74,1
73,74,1
83,74,1
57,56,1
69,56,1
70,56,1
74,56,1
57,71,1
68,71,1
58,48,0
58,82,1
81,82,1
60,75,1
63,7,0
91,7,0
99,7,0
63,28,0
91,28,0
63,85,1
86,85,1
66,97,1
98,97,1
70,6,0
96,6,0
73,55,1
89,55,1
73,72,1
75,60,1
96,60,1
76,18,0
77,27,0
79,27,0
77,66,1
89,66,1
90,66,1
97,66,1
78,14,0
79,14,0
80,14,0
91,14,0
92,14,0
95,14,0
96,14,0
78,67,1
79,51,1
83,51,1
82,81,1
87,81,1
84,93,1
95,93,1
85,86,1
87,54,1
98,54,1
89,88,1
90,88,1
90,31,0
91,34,0
92,22,0
92,29,0
96,29,0
93,84,1
94,12,0
96,12,0
95,9,0
95,25,0
