vertex_1,vertex_2,is_treated
0,73,1
72,73,1
0,78,1
13,78,1
53,78,1
1,2,0
1,6,0
35,6,0
2,1,0
6,1,0
3,20,0
46,20,0
3,23,0
3,30,0
5,30,0
10,30,0
3,44,0
8,44,0
56,44,0
4,72,1
16,72,1
66,72,1
73,72,1
6,35,0
42,35,0
7,13,0
25,13,0
78,13,0
8,40,0
22,40,0
9,26,0
27,26,0
47,26,0
9,56,1
25,56,1
44,56,1
9,62,1
10,12,0
21,12,0
10,15,0
36,15,0
11,31,0
33,31,0
47,31,0
12,10,0
15,10,0
30,10,0
12,21,0
28,21,0
13,7,0
13,25,0
47,25,0
56,25,0
58,25,0
14,33,0
31,33,0
47,33,0
51,33,0
14,51,1
33,51,1
14,52,1
15,36,0
81,36,0
17,28,0
21,28,0
54,28,0
61,28,0
63,28,0
17,54,1
28,54,1
46,54,1
17,58,1
25,58,1
17,63,1
28,63,1
49,63,1
18,46,0
20,46,0
54,46,0
57,46,0
19,65,1
29,65,1
39,65,1
76,65,1
19,71,1
41,71,1
94,71,1
19,80,1
79,80,1
19,93,1
95,93,1
20,3,0
23,3,0
30,3,0
44,3,0
22,37,0
49,37,0
22,42,0
35,42,0
22,49,0
37,49,0
63,49,0
24,92,1
38,92,1
43,92,1
90,92,1
99,92,1
25,47,0
26,47,0
31,47,0
33,47,0
26,9,0
56,9,0
62,9,0
26,27,0
59,27,0
60,27,0
27,59,1
34,59,1
84,59,1
85,59,1
27,60,1
28,17,0
54,17,0
58,17,0
63,17,0
28,61,1
30,5,0
31,11,0
32,94,1
68,94,1
71,94,1
32,97,1
64,97,1
74,97,1
33,14,0
51,14,0
52,14,0
36,81,1
43,81,1
45,81,1
76,81,1
37,22,0
40,22,0
42,22,0
49,22,0
40,8,0
44,8,0
41,91,1
74,91,1
95,91,1
96,91,1
43,75,1
86,75,1
87,75,1
45,66,1
72,66,1
45,88,1
69,88,1
46,18,0
46,57,1
48,90,1
92,90,1
50,74,1
55,74,1
91,74,1
97,74,1
50,76,1
55,76,1
65,76,1
81,76,1
50,77,1
89,77,1
95,77,1
50,82,1
53,67,1
59,34,0
59,84,1
59,85,1
70,85,1
89,85,1
65,19,0
71,19,0
80,19,0
93,19,0
65,29,0
65,39,0
66,45,0
81,45,0
88,45,0
67,53,1
78,53,1
71,41,0
91,41,0
72,4,0
72,16,0
73,0,0
78,0,0
74,50,1
76,50,1
77,50,1
82,50,1
74,55,1
76,55,1
75,43,0
81,43,0
92,43,0
75,86,1
75,87,1
83,87,1
89,87,1
98,87,1
77,89,1
85,89,1
87,89,1
98,89,1
77,95,1
91,95,1
93,95,1
80,79,1
85,70,1
87,83,1
87,98,1
89,98,1
88,69,1
90,48,0
91,96,1
92,24,0
92,38,0
92,99,1
94,32,0
97,32,0
94,68,1
97,64,1
