vertex_1,vertex_2,is_treated
0,19,0
55,19,0
0,44,0
42,44,0
0,55,1
19,55,1
23,55,1
1,70,1
5,70,1
35,70,1
67,70,1
1,72,1
69,72,1
2,25,0
46,25,0
2,54,1
6,54,1
9,54,1
12,54,1
2,62,1
2,65,1
85,65,1
3,20,0
31,20,0
56,20,0
80,20,0
4,8,0
16,8,0
4,12,0
54,12,0
94,12,0
5,76,1
52,76,1
6,18,0
6,57,1
17,57,1
6,59,1
6,92,1
7,92,1
14,92,1
22,92,1
30,92,1
82,92,1
7,53,1
33,53,1
37,53,1
41,53,1
61,53,1
7,79,1
21,79,1
22,79,1
48,79,1
87,79,1
7,94,1
12,94,1
16,94,1
21,94,1
35,94,1
98,94,1
8,4,0
12,4,0
8,16,0
94,16,0
9,32,0
50,32,0
9,51,1
10,34,0
17,34,0
24,34,0
26,34,0
10,58,1
11,26,0
34,26,0
47,26,0
11,45,0
13,98,1
94,98,1
15,99,1
38,99,1
40,99,1
71,99,1
17,68,1
18,6,0
54,6,0
57,6,0
59,6,0
92,6,0
19,0,0
44,0,0
55,0,0
20,3,0
20,31,0
20,56,1
24,56,1
20,80,1
64,80,1
22,95,1
40,95,1
83,95,1
23,42,0
24,42,0
44,42,0
25,2,0
54,2,0
62,2,0
65,2,0
25,46,0
36,46,0
26,11,0
45,11,0
26,47,0
36,47,0
49,47,0
27,28,0
39,28,0
96,28,0
27,29,0
28,27,0
29,27,0
28,39,0
36,39,0
43,39,0
28,96,1
77,96,1
30,82,1
60,82,1
92,82,1
93,82,1
32,9,0
51,9,0
54,9,0
32,50,1
66,50,1
33,81,1
41,81,1
84,81,1
34,10,0
58,10,0
34,17,0
57,17,0
68,17,0
34,24,0
42,24,0
56,24,0
35,36,0
39,36,0
46,36,0
47,36,0
36,35,0
70,35,0
94,35,0
37,90,1
64,90,1
39,43,0
42,23,0
55,23,0
47,49,0
63,49,0
49,63,1
50,66,1
52,86,1
53,7,0
79,7,0
92,7,0
94,7,0
53,33,0
81,33,0
53,37,0
90,37,0
53,41,0
81,41,0
53,61,1
60,64,1
80,64,1
87,64,1
90,64,1
60,73,1
83,73,1
64,60,1
73,60,1
82,60,1
64,87,1
79,87,1
65,85,1
91,85,1
70,1,0
72,1,0
70,5,0
76,5,0
70,67,1
72,69,1
73,83,1
95,83,1
74,89,1
74,91,1
75,91,1
85,91,1
75,78,1
88,78,1
97,78,1
76,52,1
86,52,1
78,75,1
91,75,1
78,88,1
97,88,1
78,97,1
88,97,1
79,21,0
94,21,0
79,22,0
92,22,0
95,22,0
79,48,0
81,84,1
82,30,0
92,30,0
82,93,1
89,74,1
91,74,1
92,14,0
95,40,0
99,40,0
96,77,1
98,13,0
99,15,0
99,38,0
99,71,1
