vertex_1,vertex_2,is_treated
0,61,1
3,61,1
33,61,1
42,61,1
44,61,1
84,61,1
1,4,0
17,4,0
1,62,1
10,62,1
2,45,0
21,45,0
58,45,0
2,56,1
8,56,1
10,56,1
11,56,1
13,56,1
20,56,1
25,56,1
3,68,1
50,68,1
3,90,1
51,90,1
4,1,0
62,1,0
4,17,0
66,17,0
5,14,0
41,14,0
63,14,0
6,84,1
38,84,1
39,84,1
61,84,1
7,25,0
56,25,0
7,58,1
45,58,1
7,96,1
98,96,1
8,46,0
23,46,0
34,46,0
8,83,1
87,83,1
9,74,1
43,74,1
79,74,1
10,31,0
67,31,0
75,31,0
76,31,0
10,34,0
11,34,0
13,34,0
21,34,0
26,34,0
46,34,0
11,71,1
12,52,1
33,52,1
87,52,1
12,59,1
15,59,1
94,59,1
13,19,0
22,19,0
41,19,0
75,19,0
14,5,0
14,41,0
16,41,0
19,41,0
14,63,1
18,63,1
15,57,1
86,57,1
16,55,1
16,65,1
16,72,1
16,73,1
28,73,1
16,75,1
19,75,1
31,75,1
17,66,1
18,28,0
73,28,0
19,13,0
34,13,0
56,13,0
19,22,0
49,22,0
20,29,0
60,29,0
67,29,0
20,76,1
31,76,1
21,24,0
60,24,0
22,49,0
24,21,0
34,21,0
45,21,0
24,60,1
29,60,1
25,7,0
58,7,0
96,7,0
26,35,0
26,48,0
30,48,0
27,30,0
48,30,0
27,47,0
28,18,0
63,18,0
29,20,0
56,20,0
76,20,0
29,67,1
31,67,1
30,27,0
47,27,0
31,10,0
34,10,0
56,10,0
62,10,0
32,50,1
68,50,1
98,50,1
32,54,1
91,54,1
32,93,1
37,93,1
79,93,1
34,11,0
56,11,0
71,11,0
34,26,0
35,26,0
48,26,0
36,64,1
91,64,1
40,81,1
78,81,1
41,16,0
55,16,0
65,16,0
72,16,0
73,16,0
75,16,0
44,77,1
70,77,1
85,77,1
45,2,0
56,2,0
46,8,0
56,8,0
83,8,0
46,23,0
50,32,0
54,32,0
93,32,0
50,98,1
69,98,1
92,98,1
96,98,1
99,98,1
51,80,1
79,80,1
52,12,0
59,12,0
52,33,0
61,33,0
52,87,1
78,87,1
83,87,1
53,69,1
98,69,1
54,91,1
64,91,1
97,91,1
57,15,0
59,15,0
57,86,1
82,86,1
59,94,1
61,0,0
61,3,0
68,3,0
90,3,0
61,42,0
61,44,0
77,44,0
64,36,0
69,53,1
70,89,1
74,9,0
74,43,0
74,79,1
80,79,1
88,79,1
93,79,1
77,70,1
89,70,1
77,85,1
79,88,1
95,88,1
97,88,1
80,51,1
90,51,1
81,40,0
81,78,1
87,78,1
84,6,0
84,38,0
84,39,0
86,82,1
88,95,1
88,97,1
91,97,1
93,37,0
98,92,1
98,99,1
