vertex_1,vertex_2,is_treated
0,3,0
33,3,0
0,50,1
21,50,1
0,75,1
16,75,1
35,75,1
82,75,1
0,93,1
16,93,1
36,93,1
67,93,1
69,93,1
1,14,0
32,14,0
67,14,0
98,14,0
1,53,1
1,55,1
24,55,1
1,56,1
29,56,1
1,62,1
60,62,1
1,85,1
48,85,1
74,85,1
2,76,1
15,76,1
83,76,1
2,77,1
68,77,1
2,98,1
14,98,1
20,98,1
22,98,1
65,98,1
3,0,0
50,0,0
75,0,0
93,0,0
3,33,0
8,33,0
4,28,0
15,28,0
4,30,0
49,30,0
4,44,0
32,44,0
45,44,0
5,15,0
24,15,0
28,15,0
76,15,0
5,34,0
37,34,0
45,34,0
46,34,0
5,38,0
24,38,0
49,38,0
6,45,0
9,45,0
34,45,0
42,45,0
44,45,0
7,57,1
10,57,1
54,57,1
7,67,1
14,67,1
19,67,1
41,67,1
93,67,1
7,89,1
16,89,1
23,89,1
25,89,1
52,89,1
8,11,0
31,11,0
8,40,0
17,40,0
37,40,0
8,42,0
39,42,0
45,42,0
49,42,0
11,8,0
33,8,0
40,8,0
42,8,0
11,31,0
17,31,0
12,17,0
31,17,0
40,17,0
13,72,1
20,72,1
43,72,1
51,72,1
14,1,0
53,1,0
55,1,0
56,1,0
62,1,0
85,1,0
14,32,0
44,32,0
15,5,0
34,5,0
38,5,0
15,24,0
38,24,0
55,24,0
90,24,0
16,69,1
93,69,1
17,12,0
18,88,1
97,88,1
20,99,1
60,99,1
21,29,0
36,29,0
56,29,0
23,82,1
75,82,1
24,90,1
81,90,1
26,66,1
47,66,1
87,66,1
97,66,1
27,54,1
57,54,1
87,54,1
28,4,0
30,4,0
44,4,0
29,21,0
50,21,0
29,36,0
46,36,0
93,36,0
30,49,0
38,49,0
42,49,0
34,37,0
39,37,0
40,37,0
34,46,0
36,46,0
37,39,0
42,39,0
41,78,1
81,78,1
45,6,0
45,9,0
48,83,1
76,83,1
51,61,1
86,61,1
51,71,1
84,71,1
97,71,1
52,70,1
64,70,1
68,70,1
52,94,1
54,27,0
54,87,1
66,87,1
57,7,0
67,7,0
89,7,0
57,10,0
58,73,1
58,91,1
63,91,1
74,91,1
95,91,1
58,92,1
59,63,1
91,63,1
61,51,1
71,51,1
72,51,1
61,86,1
62,60,1
99,60,1
63,59,1
64,95,1
91,95,1
66,26,0
66,47,0
66,97,1
71,97,1
88,97,1
67,19,0
67,41,0
78,41,0
69,16,0
75,16,0
89,16,0
93,16,0
70,52,1
89,52,1
94,52,1
70,64,1
95,64,1
70,68,1
77,68,1
71,84,1
96,84,1
72,13,0
72,20,0
98,20,0
99,20,0
72,43,0
73,58,1
91,58,1
92,58,1
75,35,0
76,2,0
77,2,0
98,2,0
78,81,1
90,81,1
79,80,1
96,80,1
80,79,1
80,96,1
84,96,1
82,23,0
89,23,0
83,48,0
85,48,0
85,74,1
91,74,1
88,18,0
89,25,0
98,22,0
98,65,1
