vertex_1,vertex_2,is_treated
0,51,1
2,51,1
52,51,1
91,51,1
0,56,1
30,56,1
86,56,1
0,95,1
81,95,1
1,44,0
12,44,0
43,44,0
3,80,1
82,80,1
4,67,1
26,67,1
77,67,1
4,70,1
48,70,1
78,70,1
91,70,1
5,27,0
40,27,0
47,27,0
6,7,0
6,34,0
6,35,0
28,35,0
37,35,0
6,43,0
33,43,0
44,43,0
6,45,0
7,6,0
34,6,0
35,6,0
43,6,0
45,6,0
8,25,0
8,59,1
22,59,1
41,59,1
9,69,1
68,69,1
9,90,1
23,90,1
24,90,1
89,90,1
10,13,0
12,13,0
32,13,0
10,53,1
46,53,1
11,89,1
16,89,1
19,89,1
24,89,1
75,89,1
90,89,1
11,99,1
96,99,1
13,10,0
53,10,0
13,12,0
44,12,0
13,32,0
57,32,0
62,32,0
66,32,0
14,73,1
68,73,1
15,33,0
21,33,0
28,33,0
29,33,0
37,33,0
43,33,0
16,61,1
23,61,1
65,61,1
16,77,1
23,77,1
67,77,1
74,77,1
17,50,1
23,50,1
24,50,1
58,50,1
17,71,1
36,71,1
87,71,1
17,97,1
55,97,1
18,39,0
31,39,0
18,40,0
27,40,0
38,40,0
19,46,0
53,46,0
19,62,1
32,62,1
19,64,1
22,64,1
28,64,1
20,29,0
33,29,0
20,63,1
21,49,0
47,49,0
22,41,0
59,41,0
22,60,1
25,8,0
59,8,0
26,84,1
42,84,1
79,84,1
27,5,0
27,47,0
49,47,0
29,20,0
63,20,0
31,54,1
32,57,1
32,66,1
33,15,0
33,21,0
49,21,0
33,28,0
35,28,0
64,28,0
33,37,0
35,37,0
38,37,0
37,38,0
40,38,0
39,18,0
40,18,0
39,31,0
54,31,0
41,22,0
59,22,0
60,22,0
64,22,0
44,1,0
46,19,0
62,19,0
64,19,0
89,19,0
48,52,1
51,52,1
50,17,0
71,17,0
97,17,0
50,23,0
61,23,0
77,23,0
90,23,0
50,24,0
89,24,0
90,24,0
50,58,1
83,58,1
51,0,0
56,0,0
95,0,0
51,2,0
51,91,1
70,91,1
52,48,0
70,48,0
56,30,0
56,86,1
68,86,1
58,83,1
61,16,0
77,16,0
89,16,0
61,65,1
72,65,1
94,65,1
98,65,1
65,72,1
82,72,1
65,94,1
75,94,1
65,98,1
79,98,1
67,4,0
70,4,0
67,26,0
84,26,0
68,93,1
88,93,1
69,9,0
90,9,0
69,68,1
73,68,1
86,68,1
93,68,1
70,78,1
85,78,1
71,36,0
71,87,1
81,87,1
72,82,1
80,82,1
73,14,0
74,92,1
76,88,1
93,88,1
77,74,1
92,74,1
78,85,1
80,3,0
84,42,0
84,79,1
98,79,1
87,81,1
95,81,1
88,76,1
89,11,0
99,11,0
89,75,1
94,75,1
97,55,1
99,96,1
