vertex_1,vertex_2,is_treated
0,11,0
10,11,0
25,11,0
31,11,0
0,24,0
29,24,0
70,24,0
1,3,0
29,3,0
1,72,1
26,72,1
2,23,0
57,23,0
73,23,0
98,23,0
2,56,1
41,56,1
3,1,0
72,1,0
3,29,0
18,29,0
24,29,0
73,29,0
4,42,0
19,42,0
30,42,0
90,42,0
4,71,1
4,77,1
18,77,1
34,77,1
5,37,0
14,37,0
5,38,0
48,38,0
5,53,1
98,53,1
6,9,0
15,9,0
7,79,1
22,79,1
88,79,1
7,84,1
80,84,1
99,84,1
8,14,0
37,14,0
9,6,0
9,15,0
25,15,0
34,15,0
10,57,1
19,57,1
23,57,1
41,57,1
10,62,1
10,86,1
13,86,1
17,86,1
60,86,1
11,0,0
24,0,0
11,10,0
57,10,0
62,10,0
86,10,0
11,25,0
12,25,0
15,25,0
11,31,0
12,20,0
12,63,1
45,63,1
12,74,1
47,74,1
14,8,0
15,34,0
69,34,0
77,34,0
16,26,0
55,26,0
72,26,0
97,26,0
16,44,0
19,44,0
36,44,0
16,45,0
63,45,0
75,45,0
17,78,1
43,78,1
46,78,1
68,78,1
17,92,1
58,92,1
19,28,0
20,12,0
25,12,0
63,12,0
74,12,0
21,59,1
67,59,1
23,2,0
56,2,0
23,73,1
29,73,1
66,73,1
23,98,1
53,98,1
81,98,1
24,70,1
26,16,0
44,16,0
45,16,0
26,55,1
26,97,1
43,97,1
85,97,1
27,41,0
56,41,0
57,41,0
28,19,0
42,19,0
44,19,0
57,19,0
29,18,0
77,18,0
32,95,1
33,95,1
49,95,1
54,95,1
33,61,1
35,61,1
40,61,1
83,61,1
93,61,1
33,80,1
84,80,1
34,69,1
36,47,0
48,47,0
74,47,0
37,5,0
38,5,0
53,5,0
38,48,0
47,48,0
39,90,1
42,90,1
67,90,1
39,93,1
40,93,1
61,93,1
41,27,0
42,4,0
71,4,0
77,4,0
42,30,0
43,81,1
98,81,1
44,36,0
47,36,0
45,75,1
50,52,1
85,52,1
50,85,1
52,85,1
64,85,1
97,85,1
51,76,1
64,76,1
68,76,1
51,94,1
99,94,1
52,50,1
85,50,1
58,65,1
66,65,1
91,65,1
58,89,1
59,21,0
59,67,1
68,67,1
82,67,1
90,67,1
61,33,0
80,33,0
95,33,0
61,35,0
61,40,0
93,40,0
61,83,1
65,58,1
89,58,1
92,58,1
65,66,1
73,66,1
87,66,1
65,91,1
66,87,1
67,68,1
76,68,1
78,68,1
82,68,1
67,82,1
68,82,1
96,82,1
76,51,1
94,51,1
76,64,1
85,64,1
78,17,0
86,17,0
92,17,0
78,43,0
81,43,0
97,43,0
78,46,0
79,7,0
84,7,0
79,22,0
79,88,1
82,96,1
84,99,1
94,99,1
86,13,0
86,60,1
90,39,0
93,39,0
95,32,0
95,49,0
95,54,1
