vertex_1,vertex_2,is_treated
0,2,0
0,40,0
10,40,0
15,40,0
39,40,0
1,74,1
85,74,1
91,74,1
1,80,1
11,80,1
22,80,1
67,80,1
2,0,0
40,0,0
3,6,0
61,6,0
66,6,0
3,10,0
32,10,0
40,10,0
3,43,0
4,43,0
12,43,0
4,61,1
6,61,1
9,61,1
35,61,1
4,64,1
34,64,1
47,64,1
4,66,1
6,66,1
9,66,1
27,66,1
28,66,1
4,70,1
5,16,0
13,16,0
33,16,0
35,16,0
44,16,0
5,42,0
36,42,0
5,65,1
22,65,1
6,3,0
10,3,0
43,3,0
7,21,0
63,21,0
7,37,0
60,37,0
7,49,0
85,49,0
8,73,1
41,73,1
99,73,1
9,28,0
12,28,0
66,28,0
9,47,0
51,47,0
64,47,0
69,47,0
10,32,0
34,32,0
11,53,1
87,53,1
12,39,0
22,39,0
35,39,0
36,39,0
40,39,0
63,39,0
12,44,0
16,44,0
38,44,0
13,30,0
14,97,1
45,97,1
56,97,1
15,25,0
16,5,0
42,5,0
65,5,0
16,13,0
30,13,0
16,33,0
27,33,0
16,35,0
39,35,0
61,35,0
17,59,1
55,59,1
17,67,1
24,67,1
41,67,1
80,67,1
17,75,1
52,75,1
17,78,1
23,78,1
54,78,1
18,71,1
93,71,1
19,88,1
29,88,1
45,88,1
46,88,1
55,88,1
96,88,1
20,89,1
48,89,1
92,89,1
21,7,0
37,7,0
49,7,0
21,63,1
39,63,1
23,81,1
84,81,1
24,93,1
31,93,1
71,93,1
25,15,0
40,15,0
26,90,1
54,90,1
83,90,1
27,69,1
47,69,1
28,9,0
47,9,0
61,9,0
66,9,0
28,12,0
39,12,0
43,12,0
44,12,0
29,52,1
75,52,1
29,95,1
55,95,1
76,95,1
32,34,0
64,34,0
33,27,0
66,27,0
69,27,0
37,60,1
38,57,1
39,22,0
65,22,0
80,22,0
39,36,0
42,36,0
43,4,0
61,4,0
64,4,0
66,4,0
70,4,0
44,38,0
57,38,0
45,98,1
85,98,1
46,94,1
76,94,1
47,51,1
49,85,1
74,85,1
98,85,1
50,82,1
56,82,1
52,29,0
88,29,0
95,29,0
53,11,0
80,11,0
53,87,1
55,87,1
68,87,1
54,68,1
62,68,1
87,68,1
56,77,1
56,86,1
96,86,1
58,84,1
72,84,1
81,84,1
59,17,0
67,17,0
75,17,0
78,17,0
59,55,1
87,55,1
88,55,1
95,55,1
67,24,0
93,24,0
67,41,0
73,41,0
68,54,1
78,54,1
90,54,1
68,62,1
71,18,0
73,8,0
73,99,1
74,1,0
80,1,0
74,91,1
76,92,1
83,92,1
89,92,1
77,56,1
82,56,1
86,56,1
97,56,1
78,23,0
81,23,0
79,83,1
90,83,1
92,83,1
82,50,1
83,79,1
84,58,1
84,72,1
86,96,1
88,96,1
88,19,0
88,45,0
97,45,0
98,45,0
88,46,0
94,46,0
89,20,0
89,48,0
90,26,0
92,76,1
94,76,1
95,76,1
93,31,0
97,14,0
