vertex_1,vertex_2,is_treated
0,49,0
20,49,0
1,3,0
8,3,0
14,3,0
1,51,1
32,51,1
63,51,1
68,51,1
97,51,1
2,33,0
39,33,0
46,33,0
3,1,0
51,1,0
3,8,0
17,8,0
19,8,0
3,14,0
24,14,0
4,15,0
59,15,0
69,15,0
92,15,0
97,15,0
4,59,1
15,59,1
37,59,1
5,26,0
6,26,0
5,70,1
35,70,1
41,70,1
6,28,0
20,28,0
6,62,1
32,62,1
7,83,1
66,83,1
7,97,1
15,97,1
51,97,1
8,17,0
8,19,0
9,19,0
9,24,0
14,24,0
34,24,0
40,24,0
9,43,0
11,43,0
9,45,0
16,45,0
35,45,0
36,45,0
37,45,0
10,27,0
10,57,1
60,57,1
92,57,1
12,64,1
25,64,1
31,64,1
44,64,1
61,64,1
77,64,1
12,74,1
13,74,1
44,74,1
80,74,1
12,85,1
22,85,1
67,85,1
12,87,1
29,87,1
38,87,1
93,87,1
13,76,1
50,76,1
15,4,0
59,4,0
15,69,1
21,69,1
15,92,1
30,92,1
57,92,1
16,39,0
33,39,0
36,39,0
18,90,1
22,90,1
81,90,1
18,93,1
53,93,1
87,93,1
19,9,0
24,9,0
43,9,0
45,9,0
20,31,0
64,31,0
20,36,0
39,36,0
45,36,0
21,40,0
24,40,0
46,40,0
22,53,1
30,53,1
93,53,1
99,53,1
22,86,1
67,86,1
22,94,1
41,94,1
80,94,1
23,41,0
56,41,0
70,41,0
71,41,0
72,41,0
94,41,0
24,34,0
26,5,0
70,5,0
26,6,0
28,6,0
62,6,0
27,10,0
57,10,0
28,20,0
31,20,0
36,20,0
49,20,0
32,46,0
33,46,0
40,46,0
58,46,0
32,54,1
33,2,0
38,98,1
47,98,1
75,98,1
39,16,0
45,16,0
40,21,0
69,21,0
41,23,0
41,56,1
41,71,1
41,72,1
42,78,1
77,78,1
43,11,0
45,35,0
70,35,0
45,37,0
59,37,0
46,32,0
51,32,0
54,32,0
62,32,0
46,58,1
47,80,1
74,80,1
94,80,1
48,79,1
55,79,1
49,0,0
50,89,1
51,63,1
65,63,1
51,68,1
75,68,1
84,68,1
96,68,1
52,60,1
57,60,1
61,60,1
52,95,1
91,95,1
53,22,0
85,22,0
86,22,0
90,22,0
94,22,0
53,30,0
92,30,0
53,99,1
55,84,1
66,84,1
68,84,1
60,52,1
95,52,1
60,61,1
64,61,1
65,61,1
61,65,1
63,65,1
66,65,1
88,65,1
64,12,0
74,12,0
85,12,0
87,12,0
64,25,0
64,44,0
74,44,0
64,77,1
78,77,1
65,66,1
82,66,1
83,66,1
84,66,1
65,88,1
66,82,1
67,73,1
68,75,1
98,75,1
68,96,1
73,67,1
85,67,1
86,67,1
74,13,0
76,13,0
76,50,1
89,50,1
78,42,0
79,48,0
79,55,1
84,55,1
80,47,0
98,47,0
83,7,0
97,7,0
87,29,0
87,38,0
98,38,0
90,18,0
93,18,0
90,81,1
95,91,1
