vertex_1,vertex_2,is_treated
0,28,0
24,28,0
1,90,1
30,90,1
39,90,1
62,90,1
2,24,0
18,24,0
28,24,0
2,88,1
12,88,1
99,88,1
3,74,1
10,74,1
23,74,1
39,74,1
73,74,1
4,11,0
60,11,0
4,45,0
37,45,0
5,70,1
16,70,1
83,70,1
5,82,1
84,82,1
6,31,0
9,31,0
6,36,0
26,36,0
53,36,0
7,75,1
41,75,1
93,75,1
7,98,1
40,98,1
61,98,1
8,18,0
24,18,0
8,51,1
8,54,1
19,54,1
83,54,1
8,65,1
89,65,1
9,20,0
49,20,0
9,42,0
17,42,0
44,42,0
47,42,0
11,4,0
45,4,0
11,60,1
12,41,0
14,41,0
53,41,0
75,41,0
12,59,1
27,59,1
48,59,1
13,27,0
58,27,0
59,27,0
13,32,0
15,32,0
38,32,0
16,79,1
21,79,1
71,79,1
17,29,0
46,29,0
18,8,0
51,8,0
54,8,0
65,8,0
19,72,1
78,72,1
19,85,1
23,85,1
87,85,1
20,9,0
31,9,0
42,9,0
20,49,0
30,49,0
33,49,0
37,49,0
21,68,1
22,68,1
23,68,1
92,68,1
24,2,0
88,2,0
25,91,1
40,91,1
69,91,1
27,13,0
32,13,0
27,58,1
28,0,0
29,17,0
42,17,0
29,46,0
47,46,0
55,46,0
30,93,1
62,93,1
75,93,1
31,6,0
36,6,0
32,15,0
32,38,0
47,38,0
34,43,0
47,43,0
34,48,0
59,48,0
34,55,1
46,55,1
34,95,1
57,95,1
73,95,1
35,64,1
52,64,1
36,26,0
36,53,1
41,53,1
38,47,0
42,47,0
43,47,0
46,47,0
40,77,1
57,77,1
41,12,0
59,12,0
88,12,0
41,14,0
42,44,0
43,34,0
48,34,0
55,34,0
95,34,0
45,37,0
49,37,0
49,30,0
90,30,0
93,30,0
49,33,0
50,67,1
66,67,1
92,67,1
52,73,1
56,73,1
74,73,1
86,73,1
95,73,1
54,19,0
72,19,0
85,19,0
54,83,1
70,83,1
80,83,1
56,66,1
67,66,1
76,66,1
97,66,1
63,89,1
65,89,1
81,89,1
64,35,0
64,52,1
73,52,1
66,56,1
73,56,1
66,76,1
66,97,1
67,50,1
67,92,1
68,92,1
68,21,0
79,21,0
68,22,0
68,23,0
74,23,0
85,23,0
69,94,1
69,96,1
70,5,0
82,5,0
70,16,0
79,16,0
72,78,1
73,86,1
74,3,0
74,10,0
74,39,0
90,39,0
75,7,0
98,7,0
77,40,0
91,40,0
98,40,0
77,57,1
95,57,1
79,71,1
82,84,1
83,80,1
85,87,1
99,87,1
87,99,1
88,99,1
89,63,1
89,81,1
90,1,0
90,62,1
93,62,1
91,25,0
91,69,1
94,69,1
96,69,1
98,61,1
