vertex_1,vertex_2,is_treated
0,61,1
90,61,1
97,61,1
0,84,1
13,84,1
28,84,1
62,84,1
0,88,1
65,88,1
1,6,0
37,6,0
52,6,0
60,6,0
1,8,0
2,8,0
1,33,0
16,33,0
31,33,0
44,33,0
49,33,0
1,47,0
9,47,0
56,47,0
1,49,0
33,49,0
2,68,1
19,68,1
3,22,0
41,22,0
3,26,0
35,26,0
56,26,0
4,30,0
24,30,0
75,30,0
4,59,1
7,59,1
78,59,1
4,69,1
4,77,1
20,77,1
5,80,1
38,80,1
39,80,1
97,80,1
5,85,1
7,85,1
71,85,1
6,1,0
8,1,0
33,1,0
47,1,0
49,1,0
6,37,0
53,37,0
57,37,0
6,52,1
34,52,1
6,60,1
7,72,1
39,72,1
93,72,1
8,2,0
68,2,0
9,53,1
37,53,1
9,63,1
10,92,1
11,92,1
25,92,1
32,92,1
55,92,1
12,15,0
19,15,0
12,48,0
23,48,0
13,86,1
93,86,1
14,18,0
19,18,0
29,18,0
15,12,0
48,12,0
15,19,0
18,19,0
68,19,0
99,19,0
16,32,0
50,32,0
92,32,0
17,87,1
20,87,1
90,87,1
18,14,0
18,29,0
19,99,1
40,99,1
42,99,1
79,99,1
98,99,1
20,27,0
74,27,0
21,58,1
42,58,1
94,58,1
96,58,1
22,3,0
26,3,0
22,41,0
24,70,1
24,75,1
30,75,1
25,35,0
26,35,0
45,35,0
26,56,1
43,56,1
47,56,1
27,20,0
77,20,0
87,20,0
27,74,1
28,66,1
71,66,1
73,66,1
83,66,1
30,4,0
59,4,0
69,4,0
77,4,0
30,24,0
70,24,0
75,24,0
32,16,0
33,16,0
32,50,1
33,31,0
33,44,0
57,44,0
34,43,0
56,43,0
35,25,0
92,25,0
35,45,0
57,45,0
36,78,1
42,78,1
46,78,1
59,78,1
37,57,1
44,57,1
45,57,1
40,95,1
81,95,1
42,73,1
66,73,1
43,34,0
52,34,0
47,9,0
53,9,0
63,9,0
48,23,0
51,97,1
61,97,1
76,97,1
80,97,1
54,96,1
58,96,1
55,65,1
82,65,1
88,65,1
55,67,1
64,67,1
58,21,0
58,42,0
73,42,0
78,42,0
99,42,0
58,94,1
81,94,1
59,7,0
72,7,0
85,7,0
61,0,0
84,0,0
88,0,0
61,90,1
87,90,1
65,55,1
67,55,1
92,55,1
65,82,1
66,28,0
84,28,0
66,71,1
85,71,1
98,71,1
66,83,1
67,64,1
71,98,1
99,98,1
72,39,0
80,39,0
72,93,1
86,93,1
76,89,1
91,89,1
78,36,0
78,46,0
80,5,0
85,5,0
80,38,0
84,13,0
86,13,0
84,62,1
87,17,0
89,76,1
97,76,1
89,91,1
92,10,0
92,11,0
94,81,1
95,81,1
95,40,0
99,40,0
96,54,1
97,51,1
99,79,1
