vertex_1,vertex_2,is_treated
0,81,1
20,81,1
41,81,1
54,81,1
1,26,0
2,26,0
45,26,0
2,8,0
7,8,0
37,8,0
2,14,0
51,14,0
52,14,0
59,14,0
65,14,0
2,32,0
3,31,0
18,31,0
22,31,0
3,34,0
40,34,0
47,34,0
4,22,0
11,22,0
31,22,0
4,29,0
30,29,0
4,57,1
12,57,1
24,57,1
33,57,1
5,43,0
38,43,0
5,51,1
14,51,1
18,51,1
41,51,1
5,55,1
11,55,1
12,55,1
5,68,1
13,68,1
25,68,1
33,68,1
6,21,0
35,21,0
6,25,0
67,25,0
68,25,0
6,30,0
12,30,0
29,30,0
38,30,0
8,2,0
14,2,0
26,2,0
32,2,0
8,7,0
8,37,0
38,37,0
9,58,1
94,58,1
9,91,1
46,91,1
99,91,1
10,99,1
39,99,1
91,99,1
11,82,1
78,82,1
11,84,1
76,84,1
12,42,0
59,42,0
13,28,0
14,52,1
41,52,1
14,59,1
42,59,1
14,65,1
15,75,1
27,75,1
95,75,1
16,72,1
20,72,1
93,72,1
17,88,1
56,88,1
18,53,1
41,53,1
19,93,1
23,93,1
48,93,1
54,93,1
72,93,1
20,89,1
23,89,1
77,89,1
21,6,0
25,6,0
30,6,0
21,35,0
22,4,0
29,4,0
57,4,0
22,11,0
55,11,0
82,11,0
84,11,0
24,40,0
34,40,0
44,40,0
25,67,1
26,1,0
26,45,0
27,85,1
46,85,1
61,85,1
28,13,0
68,13,0
30,12,0
42,12,0
55,12,0
57,12,0
30,38,0
37,38,0
43,38,0
31,3,0
34,3,0
31,18,0
51,18,0
53,18,0
33,41,0
51,41,0
52,41,0
53,41,0
60,41,0
62,41,0
81,41,0
92,41,0
33,60,1
41,60,1
34,47,0
66,47,0
36,74,1
79,74,1
40,24,0
57,24,0
40,44,0
41,33,0
57,33,0
60,33,0
68,33,0
41,62,1
41,92,1
50,92,1
64,92,1
43,5,0
51,5,0
55,5,0
68,5,0
47,66,1
49,73,1
96,73,1
49,87,1
76,87,1
49,90,1
96,90,1
50,78,1
82,78,1
54,80,1
70,80,1
54,98,1
56,70,1
80,70,1
56,83,1
56,94,1
58,94,1
58,9,0
91,9,0
61,86,1
63,69,1
64,69,1
63,97,1
76,97,1
77,97,1
69,63,1
97,63,1
69,64,1
92,64,1
70,56,1
83,56,1
88,56,1
94,56,1
71,76,1
84,76,1
87,76,1
97,76,1
72,16,0
72,20,0
81,20,0
89,20,0
73,49,0
87,49,0
90,49,0
73,96,1
90,96,1
74,36,0
74,79,1
95,79,1
75,15,0
75,27,0
85,27,0
75,95,1
79,95,1
76,71,1
78,50,1
92,50,1
80,54,1
81,54,1
93,54,1
98,54,1
81,0,0
85,46,0
91,46,0
85,61,1
86,61,1
88,17,0
89,23,0
93,23,0
89,77,1
97,77,1
93,19,0
93,48,0
99,10,0
99,39,0
