vertex_1,vertex_2,is_treated
0,38,0
45,38,0
0,45,0
38,45,0
44,45,0
1,59,1
70,59,1
79,59,1
83,59,1
1,75,1
13,75,1
25,75,1
43,75,1
57,75,1
2,20,0
23,20,0
37,20,0
2,58,1
5,58,1
30,58,1
3,9,0
49,9,0
51,9,0
3,50,1
7,50,1
37,50,1
4,95,1
15,95,1
68,95,1
91,95,1
93,95,1
5,23,0
10,23,0
20,23,0
47,23,0
5,53,1
7,53,1
22,53,1
34,53,1
6,15,0
28,15,0
34,15,0
47,15,0
95,15,0
7,44,0
45,44,0
49,44,0
8,74,1
25,74,1
72,74,1
8,77,1
29,77,1
80,77,1
9,3,0
50,3,0
9,49,0
18,49,0
41,49,0
44,49,0
48,49,0
9,51,1
14,51,1
30,51,1
10,30,0
51,30,0
54,30,0
58,30,0
92,30,0
10,36,0
19,36,0
11,22,0
19,22,0
32,22,0
53,22,0
12,61,1
26,61,1
76,61,1
98,61,1
12,64,1
13,64,1
60,64,1
12,88,1
57,88,1
13,65,1
26,65,1
82,65,1
13,98,1
16,98,1
61,98,1
14,17,0
56,17,0
15,6,0
15,28,0
52,28,0
15,34,0
19,34,0
53,34,0
15,47,0
21,47,0
23,47,0
39,47,0
17,14,0
51,14,0
17,56,1
19,40,0
33,40,0
19,55,1
20,2,0
58,2,0
20,37,0
33,37,0
41,37,0
50,37,0
21,35,0
24,35,0
22,11,0
22,19,0
34,19,0
36,19,0
40,19,0
55,19,0
22,32,0
23,5,0
53,5,0
58,5,0
23,10,0
30,10,0
36,10,0
25,92,1
30,92,1
31,92,1
46,92,1
80,92,1
27,81,1
46,81,1
78,81,1
27,89,1
63,89,1
28,52,1
29,66,1
91,66,1
30,54,1
35,21,0
47,21,0
35,24,0
37,33,0
40,33,0
37,41,0
48,41,0
49,41,0
38,0,0
45,0,0
39,48,0
41,48,0
49,48,0
42,94,1
85,94,1
43,87,1
76,87,1
44,7,0
50,7,0
53,7,0
46,93,1
95,93,1
47,39,0
48,39,0
49,18,0
57,99,1
70,99,1
72,99,1
59,1,0
75,1,0
59,70,1
82,70,1
99,70,1
59,79,1
72,79,1
59,83,1
60,83,1
85,83,1
60,91,1
66,91,1
71,91,1
95,91,1
61,12,0
64,12,0
88,12,0
61,26,0
65,26,0
61,76,1
87,76,1
97,76,1
62,71,1
91,71,1
62,72,1
73,72,1
74,72,1
79,72,1
99,72,1
64,13,0
65,13,0
75,13,0
98,13,0
64,60,1
83,60,1
91,60,1
65,82,1
70,82,1
66,29,0
77,29,0
67,78,1
81,78,1
67,90,1
68,84,1
69,85,1
83,85,1
94,85,1
71,62,1
72,62,1
72,73,1
86,73,1
73,86,1
74,8,0
77,8,0
74,25,0
75,25,0
92,25,0
75,43,0
87,43,0
75,57,1
88,57,1
99,57,1
76,97,1
96,97,1
77,80,1
92,80,1
78,67,1
90,67,1
81,27,0
89,27,0
81,46,0
92,46,0
93,46,0
84,68,1
95,68,1
85,69,1
89,63,1
92,31,0
94,42,0
95,4,0
97,96,1
98,16,0
